PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Wan'Dale Robinson,WR,NYG,MIA,485,47.50,12.00,17.75,3000,10.70,3.6,0.0,1.3,6.1,7.4,2.5
Matthew Stafford,QB,LAR,PHI,174,50.50,4.50,23.00,5600,16.84,3.0,36.7,0.9,0.0,0.9,6.7
C.J. Stroud,QB,HOU,ATL,108,41.50,1.50,20.00,6000,17.15,2.9,31.9,3.8,0.0,3.8,6.0
Mac Jones,QB,NE,NO,-111,39.00,-1.00,20.00,5100,14.88,2.9,33.3,2.2,0.0,2.2,7.0
Patrick Mahomes,QB,KC,MIN,-188,53.00,-3.50,28.25,8200,24.11,2.9,34.4,4.1,0.0,4.1,4.7
Tua Tagovailoa,QB,MIA,NYG,-673,47.50,-12.00,29.75,7100,20.17,2.8,31.8,2.0,0.0,2.0,4.8
Jared Goff,QB,DET,CAR,-512,44.00,-9.50,26.75,6300,17.48,2.8,31.9,0.7,0.0,0.7,5.2
Jalen Hurts,QB,PHI,LAR,-211,50.50,-4.50,27.50,8000,22.05,2.8,26.9,9.2,0.0,9.2,4.5
Joshua Dobbs,QB,ARI,CIN,139,44.50,3.00,20.75,5200,14.73,2.8,28.0,5.2,0.0,5.2,6.4
Russell Wilson,QB,DEN,NYJ,-137,43.50,-2.50,23.00,5700,15.77,2.8,32.0,3.5,0.0,3.5,6.2
Ryan Tannehill,QB,TEN,IND,-139,43.00,-2.50,22.75,4900,13.91,2.8,29.3,3.1,0.0,3.1,6.6
Derek Carr,QB,NO,NE,-108,39.00,1.00,19.00,5300,14.06,2.7,32.4,0.8,0.0,0.8,6.3
Kirk Cousins,QB,MIN,KC,156,53.00,3.50,24.75,6900,18.34,2.7,36.7,1.9,0.0,1.9,5.6
Kenny Pickett,QB,PIT,BAL,174,38.00,4.50,16.75,5000,13.41,2.7,32.8,2.3,0.0,2.3,7.0
Anthony Richardson,QB,IND,TEN,116,43.00,2.50,20.25,7000,18.75,2.7,29.6,8.6,0.0,8.6,5.5
Daniel Jones,QB,NYG,MIA,485,47.50,12.00,17.75,5800,15.61,2.7,30.1,5.8,0.0,5.8,6.2
Joe Burrow,QB,CIN,ARI,-166,44.50,-3.00,23.75,6200,16.63,2.7,34.3,2.6,0.0,2.6,6.0
Zach Wilson,QB,NYJ,DEN,115,43.50,2.50,20.50,4900,13.43,2.7,33.4,1.2,0.0,1.2,7.1
Calvin Austin,WR,PIT,BAL,174,38.00,4.50,16.75,3500,9.15,2.6,0.0,0.0,5.2,5.2,1.5
Lamar Jackson,QB,BAL,PIT,-210,38.00,-4.50,21.25,7800,20.29,2.6,27.8,9.5,0.0,9.5,4.8
Kyle Pitts,TE,ATL,HOU,-128,41.50,-1.50,21.50,3300,8.41,2.6,0.0,0.0,4.8,4.8,1.5
Justin Jefferson,WR,MIN,KC,156,53.00,3.50,24.75,9400,24.01,2.6,0.0,0.4,10.2,10.6,1.1
Desmond Ridder,QB,ATL,HOU,-128,41.50,-1.50,21.50,4900,12.70,2.6,29.2,2.6,0.0,2.6,6.5
Zach Ertz,TE,ARI,CIN,139,44.50,3.00,20.75,3500,8.71,2.5,0.0,0.0,6.2,6.2,1.8
Marquise Brown,WR,ARI,CIN,139,44.50,3.00,20.75,5000,12.25,2.5,0.0,0.2,8.0,8.2,1.6
Tennessee Titans,D,TEN,IND,-139,43.00,-2.50,22.75,2400,5.88,2.5,0.0,0.0,0.0,0.0,0.0
Jonathan Mingo,WR,CAR,DET,385,44.00,9.50,17.25,3300,7.84,2.4,0.0,0.2,5.3,5.5,1.7
Braxton Berrios,WR,MIA,NYG,-673,47.50,-12.00,29.75,3600,8.62,2.4,0.0,1.0,3.7,4.7,1.3
Isiah Pacheco,RB,KC,MIN,-188,53.00,-3.50,28.25,5700,12.98,2.3,0.0,13.5,2.5,16.0,2.8
Ja'Marr Chase,WR,CIN,ARI,-166,44.50,-3.00,23.75,7900,18.15,2.3,0.0,0.5,9.8,10.3,1.3
Bryce Young,QB,CAR,DET,385,44.00,9.50,17.25,5100,11.66,2.3,32.2,2.3,0.0,2.3,6.8
James Conner,RB,ARI,CIN,139,44.50,3.00,20.75,5800,13.11,2.3,0.0,16.2,2.5,18.7,3.2
Robert Woods,WR,HOU,ATL,108,41.50,1.50,20.00,4000,9.05,2.3,0.0,0.4,5.7,6.1,1.5
Drake London,WR,ATL,HOU,-128,41.50,-1.50,21.50,4700,10.64,2.3,0.0,0.0,6.6,6.6,1.4
Rashid Shaheed,WR,NO,NE,-108,39.00,1.00,19.00,3800,8.83,2.3,0.0,0.6,4.5,5.1,1.3
Alvin Kamara,RB,NO,NE,-108,39.00,1.00,19.00,6300,14.51,2.3,0.0,11.9,5.5,17.4,2.8
Dameon Pierce,RB,HOU,ATL,108,41.50,1.50,20.00,5300,11.92,2.3,0.0,15.3,2.3,17.6,3.3
Travis Kelce,TE,KC,MIN,-188,53.00,-3.50,28.25,7600,17.60,2.3,0.0,0.0,8.6,8.6,1.1
Michael Thomas,WR,NO,NE,-108,39.00,1.00,19.00,4900,11.29,2.3,0.0,0.0,6.8,6.8,1.4
Tyreek Hill,WR,MIA,NYG,-673,47.50,-12.00,29.75,9000,20.27,2.3,0.0,1.1,9.1,10.2,1.1
Detroit Lions,D,DET,CAR,-512,44.00,-9.50,26.75,3800,8.26,2.2,0.0,0.0,0.0,0.0,0.0
Jonnu Smith,TE,ATL,HOU,-128,41.50,-1.50,21.50,2900,6.35,2.2,0.0,0.0,3.8,3.8,1.3
Allen Lazard,WR,NYJ,DEN,115,43.50,2.50,20.50,3900,8.42,2.2,0.0,0.1,5.1,5.2,1.3
Amon-Ra St. Brown,WR,DET,CAR,-512,44.00,-9.50,26.75,7800,17.10,2.2,0.0,0.6,8.6,9.2,1.2
Miami Dolphins,D,MIA,NYG,-673,47.50,-12.00,29.75,3600,8.01,2.2,0.0,0.0,0.0,0.0,0.0
Bijan Robinson,RB,ATL,HOU,-128,41.50,-1.50,21.50,7700,16.96,2.2,0.0,13.3,5.5,18.8,2.4
D'Andre Swift,RB,PHI,LAR,-211,50.50,-4.50,27.50,6000,13.15,2.2,0.0,15.1,2.3,17.4,2.9
Garrett Wilson,WR,NYJ,DEN,115,43.50,2.50,20.50,6000,13.28,2.2,0.0,0.4,7.8,8.2,1.4
Tyler Boyd,WR,CIN,ARI,-166,44.50,-3.00,23.75,4500,9.79,2.2,0.0,0.1,5.1,5.2,1.2
De'Von Achane,RB,MIA,NYG,-673,47.50,-12.00,29.75,6100,13.09,2.2,0.0,10.3,3.4,13.7,2.2
Miles Sanders,RB,CAR,DET,385,44.00,9.50,17.25,5200,11.51,2.2,0.0,13.2,3.1,16.3,3.1
DeAndre Hopkins,WR,TEN,IND,-139,43.00,-2.50,22.75,5700,12.26,2.2,0.0,0.0,7.2,7.2,1.3
A.J. Brown,WR,PHI,LAR,-211,50.50,-4.50,27.50,8000,17.30,2.2,0.0,0.5,8.0,8.5,1.1
New England Patriots,D,NE,NO,-111,39.00,-1.00,20.00,3100,6.90,2.2,0.0,0.0,0.0,0.0,0.0
Adam Thielen,WR,CAR,DET,385,44.00,9.50,17.25,5100,11.15,2.2,0.0,0.0,7.1,7.1,1.4
Joe Mixon,RB,CIN,ARI,-166,44.50,-3.00,23.75,6400,13.98,2.2,0.0,15.1,3.1,18.2,2.8
Michael Pittman,WR,IND,TEN,116,43.00,2.50,20.25,6400,13.43,2.1,0.0,0.4,8.1,8.5,1.3
Kylen Granson,TE,IND,TEN,116,43.00,2.50,20.25,3000,6.25,2.1,0.0,0.0,3.8,3.8,1.3
Hunter Henry,TE,NE,NO,-111,39.00,-1.00,20.00,4400,9.33,2.1,0.0,0.0,5.1,5.1,1.2
Dallas Goedert,TE,PHI,LAR,-211,50.50,-4.50,27.50,4200,8.67,2.1,0.0,0.0,4.5,4.5,1.1
Cooper Kupp,WR,LAR,PHI,174,50.50,4.50,23.00,8600,17.67,2.1,0.0,0.3,8.4,8.7,1.0
Raheem Mostert,RB,MIA,NYG,-673,47.50,-12.00,29.75,6200,13.29,2.1,0.0,10.8,3.3,14.1,2.3
Atlanta Falcons,D,ATL,HOU,-128,41.50,-1.50,21.50,3400,7.24,2.1,0.0,0.0,0.0,0.0,0.0
Michael Wilson,WR,ARI,CIN,139,44.50,3.00,20.75,3700,7.60,2.1,0.0,0.0,4.2,4.2,1.1
Carolina Panthers,D,CAR,DET,385,44.00,9.50,17.25,2200,4.57,2.1,0.0,0.0,0.0,0.0,0.0
Terrace Marshall,WR,CAR,DET,385,44.00,9.50,17.25,3600,7.64,2.1,0.0,0.0,4.8,4.8,1.3
Nico Collins,WR,HOU,ATL,108,41.50,1.50,20.00,5600,11.88,2.1,0.0,0.0,7.1,7.1,1.3
Pittsburgh Steelers,D,PIT,BAL,174,38.00,4.50,16.75,2700,5.67,2.1,0.0,0.0,0.0,0.0,0.0
Najee Harris,RB,PIT,BAL,174,38.00,4.50,16.75,5400,11.16,2.1,0.0,13.9,3.1,17.0,3.1
Kadarius Toney,WR,KC,MIN,-188,53.00,-3.50,28.25,4300,8.91,2.1,0.0,0.7,3.6,4.3,1.0
Rhamondre Stevenson,RB,NE,NO,-111,39.00,-1.00,20.00,5600,11.22,2.0,0.0,14.2,3.3,17.5,3.1
Chris Olave,WR,NO,NE,-108,39.00,1.00,19.00,6900,13.60,2.0,0.0,0.1,7.7,7.8,1.1
New Orleans Saints,D,NO,NE,-108,39.00,1.00,19.00,3000,6.07,2.0,0.0,0.0,0.0,0.0,0.0
Josh Downs,WR,IND,TEN,116,43.00,2.50,20.25,3700,7.44,2.0,0.0,0.3,4.5,4.8,1.3
Sam LaPorta,TE,DET,CAR,-512,44.00,-9.50,26.75,5000,10.04,2.0,0.0,0.0,5.3,5.3,1.1
Jahmyr Gibbs,RB,DET,CAR,-512,44.00,-9.50,26.75,5900,11.73,2.0,0.0,7.1,4.0,11.1,1.9
Kyren Williams,RB,LAR,PHI,174,50.50,4.50,23.00,6700,13.28,2.0,0.0,14.6,3.5,18.1,2.7
Denver Broncos,D,DEN,NYJ,-137,43.50,-2.50,23.00,3200,6.53,2.0,0.0,0.0,0.0,0.0,0.0
New York Jets,D,NYJ,DEN,115,43.50,2.50,20.50,3100,6.12,2.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Rams,D,LAR,PHI,174,50.50,4.50,23.00,2600,5.09,2.0,0.0,0.0,0.0,0.0,0.0
Javonte Williams,RB,DEN,NYJ,-137,43.50,-2.50,23.00,5500,11.11,2.0,0.0,12.0,3.3,15.3,2.8
Alexander Mattison,RB,MIN,KC,156,53.00,3.50,24.75,5700,11.19,2.0,0.0,11.1,2.8,13.9,2.4
Saquon Barkley,RB,NYG,MIA,485,47.50,12.00,17.75,8100,15.27,1.9,0.0,15.5,4.4,19.9,2.5
Rashee Rice,WR,KC,MIN,-188,53.00,-3.50,28.25,3600,6.70,1.9,0.0,0.0,3.1,3.1,0.9
Skyy Moore,WR,KC,MIN,-188,53.00,-3.50,28.25,4400,8.30,1.9,0.0,0.5,3.9,4.4,1.0
Indianapolis Colts,D,IND,TEN,116,43.00,2.50,20.25,3200,5.97,1.9,0.0,0.0,0.0,0.0,0.0
Darius Slayton,WR,NYG,MIA,485,47.50,12.00,17.75,4100,7.84,1.9,0.0,0.1,4.6,4.7,1.2
Odell Beckham,WR,BAL,PIT,-210,38.00,-4.50,21.25,4200,8.14,1.9,0.0,0.1,4.6,4.7,1.1
Jordan Addison,WR,MIN,KC,156,53.00,3.50,24.75,5300,9.98,1.9,0.0,0.3,5.7,6.0,1.1
Breece Hall,RB,NYJ,DEN,115,43.50,2.50,20.50,5400,10.37,1.9,0.0,11.1,2.4,13.5,2.5
Mark Andrews,TE,BAL,PIT,-210,38.00,-4.50,21.25,5500,10.22,1.9,0.0,0.0,5.7,5.7,1.0
Tyler Conklin,TE,NYJ,DEN,115,43.50,2.50,20.50,3200,5.96,1.9,0.0,0.0,3.9,3.9,1.2
DeVante Parker,WR,NE,NO,-111,39.00,-1.00,20.00,3800,7.09,1.9,0.0,0.0,4.3,4.3,1.1
George Pickens,WR,PIT,BAL,174,38.00,4.50,16.75,5200,9.74,1.9,0.0,0.1,6.4,6.5,1.3
Durham Smythe,TE,MIA,NYG,-673,47.50,-12.00,29.75,3000,5.75,1.9,0.0,0.0,3.1,3.1,1.0
Baltimore Ravens,D,BAL,PIT,-210,38.00,-4.50,21.25,4200,8.09,1.9,0.0,0.0,0.0,0.0,0.0
Arizona Cardinals,D,ARI,CIN,139,44.50,3.00,20.75,2800,5.37,1.9,0.0,0.0,0.0,0.0,0.0
Tyler Higbee,TE,LAR,PHI,174,50.50,4.50,23.00,4100,7.81,1.9,0.0,0.0,5.0,5.0,1.2
Jameson Williams,WR,DET,CAR,-512,44.00,-9.50,26.75,4000,7.77,1.9,0.0,0.3,4.0,4.3,1.1
Josh Reynolds,WR,DET,CAR,-512,44.00,-9.50,26.75,4200,7.78,1.9,0.0,0.1,4.4,4.5,1.1
DeVonta Smith,WR,PHI,LAR,-211,50.50,-4.50,27.50,7400,13.76,1.9,0.0,0.1,7.0,7.1,1.0
Connor Heyward,TE,PIT,BAL,174,38.00,4.50,16.75,2500,4.59,1.8,0.0,0.3,3.1,3.4,1.4
David Montgomery,RB,DET,CAR,-512,44.00,-9.50,26.75,6600,12.15,1.8,0.0,17.1,1.1,18.2,2.8
Tank Dell,WR,HOU,ATL,108,41.50,1.50,20.00,4800,8.75,1.8,0.0,0.1,5.1,5.2,1.1
Kalif Raymond,WR,DET,CAR,-512,44.00,-9.50,26.75,3300,5.87,1.8,0.0,0.2,3.0,3.2,1.0
Jaylen Warren,RB,PIT,BAL,174,38.00,4.50,16.75,4900,8.73,1.8,0.0,6.3,3.8,10.1,2.1
JuJu Smith-Schuster,WR,NE,NO,-111,39.00,-1.00,20.00,3500,6.33,1.8,0.0,0.2,4.0,4.2,1.2
Tee Higgins,WR,CIN,ARI,-166,44.50,-3.00,23.75,6600,11.90,1.8,0.0,0.1,7.3,7.4,1.1
Parris Campbell,WR,NYG,MIA,485,47.50,12.00,17.75,3300,6.01,1.8,0.0,0.5,3.8,4.3,1.3
Mike Gesicki,TE,NE,NO,-111,39.00,-1.00,20.00,2700,4.54,1.7,0.0,0.0,2.8,2.8,1.0
T.J. Hockenson,TE,MIN,KC,156,53.00,3.50,24.75,6500,10.85,1.7,0.0,0.0,6.4,6.4,1.0
Irv Smith,TE,CIN,ARI,-166,44.50,-3.00,23.75,3100,5.31,1.7,0.0,0.0,3.1,3.1,1.0
Demario Douglas,WR,NE,NO,-111,39.00,-1.00,20.00,3000,4.95,1.7,0.0,0.1,3.1,3.2,1.1
Kansas City Chiefs,D,KC,MIN,-188,53.00,-3.50,28.25,3300,5.72,1.7,0.0,0.0,0.0,0.0,0.0
Jonathan Taylor,RB,IND,TEN,116,43.00,2.50,20.25,6800,11.49,1.7,0.0,13.5,2.0,15.5,2.3
Mack Hollins,WR,ATL,HOU,-128,41.50,-1.50,21.50,3300,5.60,1.7,0.0,0.0,3.4,3.4,1.0
Courtland Sutton,WR,DEN,NYJ,-137,43.50,-2.50,23.00,5400,8.92,1.7,0.0,0.0,6.0,6.0,1.1
New York Giants,D,NYG,MIA,485,47.50,12.00,17.75,2000,3.35,1.7,0.0,0.0,0.0,0.0,0.0
Jerry Jeudy,WR,DEN,NYJ,-137,43.50,-2.50,23.00,6300,10.62,1.7,0.0,0.3,6.0,6.3,1.0
Houston Texans,D,HOU,ATL,108,41.50,1.50,20.00,3500,6.03,1.7,0.0,0.0,0.0,0.0,0.0
Puka Nacua,WR,LAR,PHI,174,50.50,4.50,23.00,7700,11.98,1.6,0.0,0.0,6.8,6.8,0.9
Ezekiel Elliott,RB,NE,NO,-111,39.00,-1.00,20.00,4700,7.41,1.6,0.0,7.1,2.0,9.1,1.9
Derrick Henry,RB,TEN,IND,-139,43.00,-2.50,22.75,7500,12.16,1.6,0.0,17.1,1.9,19.0,2.5
Marvin Mims,WR,DEN,NYJ,-137,43.50,-2.50,23.00,4000,6.28,1.6,0.0,0.0,3.3,3.3,0.8
Tutu Atwell,WR,LAR,PHI,174,50.50,4.50,23.00,5300,8.63,1.6,0.0,0.4,4.9,5.3,1.0
Darnell Washington,TE,PIT,BAL,174,38.00,4.50,16.75,2500,4.04,1.6,0.0,0.0,2.5,2.5,1.0
Darren Waller,TE,NYG,MIA,485,47.50,12.00,17.75,5400,8.68,1.6,0.0,0.0,5.1,5.1,0.9
Chigoziem Okonkwo,TE,TEN,IND,-139,43.00,-2.50,22.75,3200,4.97,1.6,0.0,0.0,2.9,2.9,0.9
Cincinnati Bengals,D,CIN,ARI,-166,44.50,-3.00,23.75,3700,5.94,1.6,0.0,0.0,0.0,0.0,0.0
Allen Robinson,WR,PIT,BAL,174,38.00,4.50,16.75,3400,5.58,1.6,0.0,0.0,3.4,3.4,1.0
Jaylen Waddle,WR,MIA,NYG,-673,47.50,-12.00,29.75,7500,11.92,1.6,0.0,0.3,5.5,5.8,0.8
Dalton Schultz,TE,HOU,ATL,108,41.50,1.50,20.00,3400,5.58,1.6,0.0,0.0,3.3,3.3,1.0
Gus Edwards,RB,BAL,PIT,-210,38.00,-4.50,21.25,5000,8.06,1.6,0.0,11.5,0.8,12.3,2.5
Chuba Hubbard,RB,CAR,DET,385,44.00,9.50,17.25,4500,7.39,1.6,0.0,7.1,2.4,9.5,2.1
Zay Flowers,WR,BAL,PIT,-210,38.00,-4.50,21.25,5500,9.01,1.6,0.0,0.4,5.2,5.6,1.0
Alec Pierce,WR,IND,TEN,116,43.00,2.50,20.25,3400,5.16,1.5,0.0,0.0,3.0,3.0,0.9
Noah Gray,TE,KC,MIN,-188,53.00,-3.50,28.25,2800,4.17,1.5,0.0,0.0,2.1,2.1,0.8
Rondale Moore,WR,ARI,CIN,139,44.50,3.00,20.75,3200,4.67,1.5,0.0,0.4,2.8,3.2,1.0
Philadelphia Eagles,D,PHI,LAR,-211,50.50,-4.50,27.50,3900,5.78,1.5,0.0,0.0,0.0,0.0,0.0
Justin Watson,WR,KC,MIN,-188,53.00,-3.50,28.25,3400,4.74,1.4,0.0,0.0,2.3,2.3,0.7
Hayden Hurst,TE,CAR,DET,385,44.00,9.50,17.25,3100,4.44,1.4,0.0,0.0,3.0,3.0,1.0
Nick Westbrook-Ikhine,WR,TEN,IND,-139,43.00,-2.50,22.75,3500,5.02,1.4,0.0,0.0,3.1,3.1,0.9
K.J. Osborn,WR,MIN,KC,156,53.00,3.50,24.75,4100,5.65,1.4,0.0,0.0,3.3,3.3,0.8
Nelson Agholor,WR,BAL,PIT,-210,38.00,-4.50,21.25,3300,4.74,1.4,0.0,0.1,2.8,2.9,0.9
Kendrick Bourne,WR,NE,NO,-111,39.00,-1.00,20.00,4600,6.20,1.4,0.0,0.4,3.4,3.8,0.8
Kenneth Gainwell,RB,PHI,LAR,-211,50.50,-4.50,27.50,4800,6.34,1.3,0.0,5.2,1.9,7.1,1.5
Jerick McKinnon,RB,KC,MIN,-188,53.00,-3.50,28.25,4900,6.54,1.3,0.0,1.7,2.8,4.5,0.9
Justice Hill,RB,BAL,PIT,-210,38.00,-4.50,21.25,4400,5.63,1.3,0.0,6.4,1.2,7.6,1.7
Marquez Valdes-Scantling,WR,KC,MIN,-188,53.00,-3.50,28.25,4100,5.15,1.3,0.0,0.0,2.6,2.6,0.6
Randall Cobb,WR,NYJ,DEN,115,43.50,2.50,20.50,3000,3.82,1.3,0.0,0.1,2.5,2.6,0.9
Minnesota Vikings,D,MIN,KC,156,53.00,3.50,24.75,2500,3.33,1.3,0.0,0.0,0.0,0.0,0.0
Drew Ogletree,TE,IND,TEN,116,43.00,2.50,20.25,2700,3.50,1.3,0.0,0.0,2.1,2.1,0.8
Tyler Allgeier,RB,ATL,HOU,-128,41.50,-1.50,21.50,4700,6.26,1.3,0.0,7.7,1.1,8.8,1.9
Devin Singletary,RB,HOU,ATL,108,41.50,1.50,20.00,4400,5.85,1.3,0.0,7.4,1.2,8.6,2.0
Chris Moore,WR,TEN,IND,-139,43.00,-2.50,22.75,3000,3.52,1.2,0.0,0.1,2.0,2.1,0.7
DJ Chark,WR,CAR,DET,385,44.00,9.50,17.25,4000,4.76,1.2,0.0,0.0,3.1,3.1,0.8
Rashod Bateman,WR,BAL,PIT,-210,38.00,-4.50,21.25,4400,5.17,1.2,0.0,0.0,2.9,2.9,0.7
Clyde Edwards-Helaire,RB,KC,MIN,-188,53.00,-3.50,28.25,4500,5.53,1.2,0.0,4.9,1.1,6.0,1.3
Isaiah Hodgins,WR,NYG,MIA,485,47.50,12.00,17.75,4500,5.22,1.2,0.0,0.0,3.0,3.0,0.7
Dalvin Cook,RB,NYJ,DEN,115,43.50,2.50,20.50,5100,5.66,1.1,0.0,5.8,1.6,7.4,1.5
Tyjae Spears,RB,TEN,IND,-139,43.00,-2.50,22.75,4800,5.22,1.1,0.0,4.4,1.9,6.3,1.3
Cam Akers,RB,MIN,KC,156,53.00,3.50,24.75,4900,5.46,1.1,0.0,5.8,0.8,6.6,1.3
Jalin Hyatt,WR,NYG,MIA,485,47.50,12.00,17.75,3600,4.03,1.1,0.0,0.0,2.4,2.4,0.7
Trey McBride,TE,ARI,CIN,139,44.50,3.00,20.75,2500,2.58,1.0,0.0,0.0,1.6,1.6,0.6
Zack Moss,RB,IND,TEN,116,43.00,2.50,20.25,5800,5.71,1.0,0.0,8.0,1.1,9.1,1.6
Jaleel McLaughlin,RB,DEN,NYJ,-137,43.50,-2.50,23.00,5000,4.82,1.0,0.0,5.1,1.2,6.3,1.3
Ronnie Rivers,RB,LAR,PHI,174,50.50,4.50,23.00,4600,4.16,0.9,0.0,4.0,1.2,5.2,1.1
Emari Demercado,RB,ARI,CIN,139,44.50,3.00,20.75,4200,3.93,0.9,0.0,1.6,2.1,3.7,0.9
Isaiah Likely,TE,BAL,PIT,-210,38.00,-4.50,21.25,2500,2.33,0.9,0.0,0.0,1.2,1.2,0.5
Samaje Perine,RB,DEN,NYJ,-137,43.50,-2.50,23.00,4800,4.58,0.9,0.0,4.1,1.6,5.7,1.2
Laviska Shenault,WR,CAR,DET,385,44.00,9.50,17.25,3000,2.61,0.9,0.0,0.5,1.5,2.0,0.7
Michael Carter,RB,NYJ,DEN,115,43.50,2.50,20.50,4000,3.51,0.9,0.0,2.2,1.6,3.8,1.0
