PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Justin Fields,QB,CHI,DET,143,43.50,3.00,20.25,6800,20.89,3.1,30.8,11.4,0.0,11.4,6.2
JuJu Smith-Schuster,WR,NE,PIT,210,39.50,-3.00,21.25,3000,8.84,3.0,0.0,0.3,6.6,6.9,2.3
Russell Wilson,QB,DEN,LAC,122,44.00,3.00,20.50,5800,16.59,2.9,31.8,3.9,0.0,3.9,6.2
Desmond Ridder,QB,ATL,TB,-132,41.00,-2.00,21.50,5000,14.29,2.9,31.0,3.6,0.0,3.6,6.9
Baker Mayfield,QB,TB,ATL,111,41.00,2.00,19.50,5300,15.17,2.9,32.1,3.6,0.0,3.6,6.7
Zach Wilson,QB,NYJ,HOU,148,33.00,3.00,15.00,4700,13.56,2.9,30.2,3.9,0.0,3.9,7.3
Jake Browning,QB,CIN,IND,-136,44.00,-2.50,23.25,5200,14.83,2.8,33.3,3.2,0.0,3.2,7.0
Brock Purdy,QB,SF,SEA,-805,46.00,-13.50,29.75,6500,17.94,2.8,27.0,3.6,0.0,3.6,4.7
Gardner Minshew,QB,IND,CIN,115,44.00,2.50,20.75,5400,14.84,2.8,32.8,1.5,0.0,1.5,6.4
Jordan Love,QB,GB,NYG,-306,37.00,-6.50,21.75,6100,16.96,2.8,28.9,2.6,0.0,2.6,5.2
Mitch Trubisky,QB,PIT,NE,-260,39.50,3.00,18.25,5000,13.93,2.8,29.0,4.8,0.0,4.8,6.8
Joshua Dobbs,QB,MIN,LV,-156,40.50,-3.00,21.75,5900,16.47,2.8,35.5,7.6,0.0,7.6,7.3
Jalen Hurts,QB,PHI,DAL,151,51.50,3.50,24.00,8200,22.70,2.8,26.9,10.0,0.0,10.0,4.5
Dak Prescott,QB,DAL,PHI,-181,51.50,-3.50,27.50,7400,19.82,2.7,31.0,2.7,0.0,2.7,4.6
Joe Flacco,QB,CLE,JAX,-124,35.50,-1.50,18.50,4700,12.67,2.7,33.7,1.4,0.0,1.4,7.5
Lamar Jackson,QB,BAL,LAR,-361,39.50,-7.50,23.50,7700,21.07,2.7,27.8,9.5,0.0,9.5,4.8
