PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Deshaun Watson,QB,CLE,IND,-149,40.00,-2.50,21.25,5700,17.63,3.1,31.4,4.8,0.0,4.8,6.4
Baker Mayfield,QB,TB,ATL,-141,37.50,-2.50,20.00,5300,15.71,3.0,32.1,3.6,0.0,3.6,6.7
Brock Purdy,QB,SF,MIN,-300,44.00,-7.00,25.50,5500,16.22,3.0,28.8,3.6,0.0,3.6,5.9
Geno Smith,QB,SEA,ARI,-365,44.50,-7.50,26.00,6000,18.17,3.0,31.8,2.6,0.0,2.6,5.7
Jalen Hurts,QB,PHI,MIA,-145,52.00,-2.50,27.25,8100,23.96,3.0,26.9,10.0,0.0,10.0,4.6
Sam Howell,QB,WAS,NYG,-145,39.00,-2.50,20.75,5500,16.42,3.0,36.0,3.5,0.0,3.5,7.2
Daniel Jones,QB,NYG,WAS,122,39.00,2.50,18.25,5600,16.11,2.9,30.1,5.8,0.0,5.8,6.4
Joshua Dobbs,QB,ARI,SEA,291,44.50,7.50,18.50,5300,14.73,2.8,29.9,6.0,0.0,6.0,6.8
Michael Mayer,TE,LV,CHI,-164,37.50,-3.00,20.25,2700,7.53,2.8,0.0,0.0,4.2,4.2,1.6
Lamar Jackson,QB,BAL,DET,-154,43.00,-3.00,23.00,7600,21.17,2.8,28.8,8.8,0.0,8.8,4.9
Derek Carr,QB,NO,JAX,-129,40.00,-2.00,21.00,5400,14.83,2.8,32.4,0.8,0.0,0.8,6.1
David Njoku,TE,CLE,IND,-149,40.00,-2.50,21.25,3400,9.35,2.8,0.0,0.0,5.4,5.4,1.6
Russell Wilson,QB,DEN,GB,100,45.00,1.00,22.00,5400,14.96,2.8,27.0,3.5,0.0,3.5,5.6
Jimmy Garoppolo,QB,LV,CHI,-164,37.50,-3.00,20.25,5200,14.21,2.7,34.4,0.4,0.0,0.4,6.7
Patrick Mahomes,QB,KC,LAC,-242,48.00,-5.50,26.75,8300,22.68,2.7,34.4,4.1,0.0,4.1,4.6
Trevor Lawrence,QB,JAX,NO,109,40.00,2.00,19.00,6300,16.87,2.7,34.6,2.8,0.0,2.8,5.9
Jordan Love,QB,GB,DEN,-118,45.00,-1.00,23.00,5800,15.53,2.7,27.5,3.6,0.0,3.6,5.4
