PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Patrick Mahomes,QB,KC,DEN,-603,47.00,-10.50,28.75,8100,26.24,3.2,34.4,4.1,0.0,4.1,4.8
Joe Burrow,QB,CIN,SEA,-151,44.50,-2.50,23.50,6300,19.85,3.2,34.3,2.6,0.0,2.6,5.9
Trevor Lawrence,QB,JAX,IND,-194,44.50,-4.00,24.25,6500,20.33,3.1,34.6,5.4,0.0,5.4,6.2
Deshaun Watson,QB,CLE,SF,277,37.50,7.50,15.00,5800,18.01,3.1,33.0,5.3,0.0,5.3,6.6
Sam Howell,QB,WAS,ATL,118,42.50,2.50,20.00,5500,16.44,3.0,36.0,3.5,0.0,3.5,7.2
Dak Prescott,QB,DAL,LAC,-131,50.50,-2.50,26.50,6200,18.44,3.0,33.9,3.7,0.0,3.7,6.1
Matthew Stafford,QB,LAR,ARI,-326,48.50,-7.00,27.75,6100,18.10,3.0,36.7,0.9,0.0,0.9,6.2
Brock Purdy,QB,SF,CLE,-356,37.50,-7.50,22.50,5600,16.60,3.0,28.0,3.6,0.0,3.6,5.6
Baker Mayfield,QB,TB,DET,141,42.50,3.00,19.75,5400,15.85,2.9,32.1,3.6,0.0,3.6,6.6
Geno Smith,QB,SEA,CIN,127,44.50,2.50,21.00,5700,16.53,2.9,31.2,1.3,0.0,1.3,5.7
Gardner Minshew,QB,IND,JAX,161,44.50,4.00,20.25,5000,14.04,2.8,30.4,1.6,0.0,1.6,6.4
Jimmy Garoppolo,QB,LV,NE,-157,41.50,-3.00,22.25,5300,14.67,2.8,34.4,0.4,0.0,0.4,6.6
Drake London,WR,ATL,WAS,-142,42.50,-2.50,22.50,4800,13.29,2.8,0.0,0.0,7.6,7.6,1.6
Josh Allen,QB,BUF,NYG,-1050,44.50,-14.50,29.50,8300,23.02,2.8,33.1,4.5,0.0,4.5,4.5
C.J. Stroud,QB,HOU,NO,105,42.50,1.50,20.50,6000,16.71,2.8,34.0,3.0,0.0,3.0,6.2
Justin Fields,QB,CHI,MIN,122,43.50,3.00,20.25,7300,20.67,2.8,28.0,10.4,0.0,10.4,5.3
Jalen Hurts,QB,PHI,NYJ,-312,41.00,-7.00,24.00,8200,22.89,2.8,26.9,11.0,0.0,11.0,4.6
Bryce Young,QB,CAR,MIA,621,47.50,13.50,17.00,5100,13.76,2.7,37.0,2.2,0.0,2.2,7.7
Derek Carr,QB,NO,HOU,-125,42.50,-1.50,22.00,5300,14.03,2.7,30.7,0.8,0.0,0.8,5.9
Lamar Jackson,QB,BAL,TEN,-204,41.50,-4.00,22.75,7700,20.91,2.7,29.3,9.0,0.0,9.0,5.0
Russell Wilson,QB,DEN,KC,438,47.00,10.50,18.25,5800,15.83,2.7,31.0,3.5,0.0,3.5,5.9
Joshua Dobbs,QB,ARI,LAR,255,48.50,7.00,20.75,5200,14.16,2.7,32.0,4.8,0.0,4.8,7.1
Evan Engram,TE,JAX,IND,-194,44.50,-4.00,24.25,4500,12.10,2.7,0.0,0.0,7.0,7.0,1.6
Ryan Tannehill,QB,TEN,BAL,169,41.50,4.00,18.75,4900,13.11,2.7,28.1,2.4,0.0,2.4,6.2
Tua Tagovailoa,QB,MIA,CAR,-949,47.50,-13.50,30.50,7600,20.33,2.7,31.8,2.0,0.0,2.0,4.4
Kyle Pitts,TE,ATL,WAS,-142,42.50,-2.50,22.50,3500,9.40,2.7,0.0,0.0,5.7,5.7,1.6
Desmond Ridder,QB,ATL,WAS,-142,42.50,-2.50,22.50,5000,13.14,2.6,29.5,3.7,0.0,3.7,6.6
Robert Woods,WR,HOU,NO,105,42.50,1.50,20.50,3800,9.87,2.6,0.0,0.4,6.0,6.4,1.7
Justin Herbert,QB,LAC,DAL,111,50.50,2.50,24.00,7900,20.77,2.6,38.0,2.9,0.0,2.9,5.2
Jared Goff,QB,DET,TB,-169,42.50,-3.00,22.75,6400,16.76,2.6,31.0,1.8,0.0,1.8,5.1
Marquise Brown,WR,ARI,LAR,255,48.50,7.00,20.75,5300,13.52,2.6,0.0,0.2,8.3,8.5,1.6
Breece Hall,RB,NYJ,PHI,248,41.00,7.00,17.00,6000,14.74,2.5,0.0,17.5,2.6,20.1,3.4
Elijah Moore,WR,CLE,SF,277,37.50,7.50,15.00,4300,10.60,2.5,0.0,0.5,6.0,6.5,1.5
Isiah Pacheco,RB,KC,DEN,-603,47.00,-10.50,28.75,5700,14.42,2.5,0.0,16.2,2.8,19.0,3.3
Dameon Pierce,RB,HOU,NO,105,42.50,1.50,20.50,5100,12.54,2.5,0.0,17.0,2.1,19.1,3.7
Mac Jones,QB,NE,LV,132,41.50,3.00,19.25,5000,12.38,2.5,33.3,2.2,0.0,2.2,7.1
Christian Kirk,WR,JAX,IND,-194,44.50,-4.00,24.25,5400,13.65,2.5,0.0,0.2,7.2,7.4,1.4
Zach Wilson,QB,NYJ,PHI,248,41.00,7.00,17.00,4900,12.26,2.5,31.0,1.2,0.0,1.2,6.6
