PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Geno Smith,QB,SEA,DAL,345,47.50,9.00,19.25,5400,15.93,3.0,31.8,2.6,0.0,2.6,6.4
Baker Mayfield,QB,TB,CAR,-242,37.00,-5.00,21.00,5500,16.30,3.0,32.1,3.6,0.0,3.6,6.5
Dak Prescott,QB,DAL,SEA,-447,47.50,-9.00,28.25,7200,20.96,2.9,33.1,2.7,0.0,2.7,5.0
Trevor Lawrence,QB,JAX,CIN,-416,39.00,-8.50,23.75,6600,18.47,2.8,34.6,3.5,0.0,3.5,5.8
Zack Moss,RB,IND,TEN,-117,42.50,-1.00,21.75,4600,12.98,2.8,0.0,16.9,2.5,19.4,4.2
Jalen Hurts,QB,PHI,SF,130,47.50,3.00,22.25,8200,22.51,2.8,26.9,10.0,0.0,10.0,4.5
Sam Howell,QB,WAS,MIA,352,49.50,9.50,20.00,6200,16.97,2.7,36.0,3.5,0.0,3.5,6.4
Derek Carr,QB,NO,DET,170,47.00,4.50,21.25,5600,15.10,2.7,32.4,0.8,0.0,0.8,5.9
Patrick Mahomes,QB,KC,GB,-260,42.50,-6.00,24.25,7800,21.07,2.7,35.4,4.1,0.0,4.1,5.1
Zach Charbonnet,RB,SEA,DAL,345,47.50,9.00,19.25,5300,13.89,2.6,0.0,14.7,4.5,19.2,3.6
Brock Purdy,QB,SF,PHI,-155,47.50,-3.00,25.25,6100,16.10,2.6,27.0,3.6,0.0,3.6,5.0
Russell Wilson,QB,DEN,HOU,154,47.50,3.50,22.00,5700,14.93,2.6,27.0,3.5,0.0,3.5,5.4
Gardner Minshew,QB,IND,TEN,-117,42.50,-1.00,21.75,5300,13.20,2.5,32.8,1.5,0.0,1.5,6.5
Evan Engram,TE,JAX,CIN,-416,39.00,-8.50,23.75,4500,11.33,2.5,0.0,0.0,7.0,7.0,1.6
Bryce Young,QB,CAR,TB,196,37.00,5.00,16.00,4900,12.47,2.5,35.0,2.5,0.0,2.5,7.7
Jared Goff,QB,DET,NO,-205,47.00,-4.50,25.75,6500,16.24,2.5,33.9,1.2,0.0,1.2,5.4
Dorian Thompson-Robinson,QB,CLE,LAR,151,40.00,3.50,18.25,4800,12.03,2.5,29.5,5.1,0.0,5.1,7.2
Justin Herbert,QB,LAC,NE,-251,40.50,-5.50,23.00,8000,19.72,2.5,34.0,2.9,0.0,2.9,4.6
Tua Tagovailoa,QB,MIA,WAS,-453,49.50,-9.50,29.50,7900,19.98,2.5,32.9,0.8,0.0,0.8,4.3
Elijah Moore,WR,CLE,LAR,151,40.00,3.50,18.25,3500,8.88,2.5,0.0,0.5,5.1,5.6,1.6
Jacksonville Jaguars,D,JAX,CIN,-416,39.00,-8.50,23.75,3400,8.09,2.4,0.0,0.0,0.0,0.0,0.0
Diontae Johnson,WR,PIT,ARI,-252,41.50,-5.50,23.50,5000,11.88,2.4,0.0,0.7,7.4,8.1,1.6
Jordan Love,QB,GB,KC,211,42.50,6.00,18.25,5800,13.68,2.4,27.5,2.6,0.0,2.6,5.2
Matthew Stafford,QB,LAR,CLE,-182,40.00,-3.50,21.75,5900,14.17,2.4,32.0,0.9,0.0,0.9,5.6
Kenny Pickett,QB,PIT,ARI,-252,41.50,-5.50,23.50,5100,12.29,2.4,27.0,1.7,0.0,1.7,5.6
Najee Harris,RB,PIT,ARI,-252,41.50,-5.50,23.50,5200,12.69,2.4,0.0,14.2,3.1,17.3,3.3
C.J. Stroud,QB,HOU,DEN,-185,47.50,-3.50,25.50,8100,19.17,2.4,37.0,2.4,0.0,2.4,4.9
Marquise Brown,WR,ARI,PIT,205,41.50,5.50,18.00,5200,12.46,2.4,0.0,0.2,8.3,8.5,1.6
Jalen Guyton,WR,LAC,NE,-251,40.50,-5.50,23.00,3300,7.45,2.3,0.0,0.3,4.1,4.4,1.3
Jaxon Smith-Njigba,WR,SEA,DAL,345,47.50,9.00,19.25,4000,9.16,2.3,0.0,0.1,5.6,5.7,1.4
Kansas City Chiefs,D,KC,GB,-260,42.50,-6.00,24.25,3300,7.55,2.3,0.0,0.0,0.0,0.0,0.0
Logan Thomas,TE,WAS,MIA,352,49.50,9.50,20.00,3600,8.46,2.3,0.0,0.0,5.5,5.5,1.5
Jake Ferguson,TE,DAL,SEA,-447,47.50,-9.00,28.25,4000,9.39,2.3,0.0,0.0,4.6,4.6,1.2
Terry McLaurin,WR,WAS,MIA,352,49.50,9.50,20.00,5500,12.44,2.3,0.0,0.3,7.5,7.8,1.4
Jahmyr Gibbs,RB,DET,NO,-205,47.00,-4.50,25.75,6700,15.56,2.3,0.0,11.2,5.1,16.3,2.4
Tampa Bay Buccaneers,D,TB,CAR,-242,37.00,-5.00,21.00,3600,8.09,2.3,0.0,0.0,0.0,0.0,0.0
Drake London,WR,ATL,NYJ,-134,34.00,-2.00,18.00,4900,11.47,2.3,0.0,0.0,7.6,7.6,1.6
Jake Browning,QB,CIN,JAX,325,39.00,8.50,15.25,5100,11.59,2.3,30.3,2.9,0.0,2.9,6.5
Michael Wilson,WR,ARI,PIT,205,41.50,5.50,18.00,3200,7.35,2.3,0.0,0.0,4.8,4.8,1.5
Austin Ekeler,RB,LAC,NE,-251,40.50,-5.50,23.00,8300,18.79,2.3,0.0,13.2,6.8,20.0,2.4
Javonte Williams,RB,DEN,HOU,154,47.50,3.50,22.00,5700,12.99,2.3,0.0,17.1,2.9,20.0,3.5
