first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Tyreek,Hill,WR,Q,8,2023-10-29,Thu-Mon,MIA,NE,-8.5,46,27.3,9500,14,10.2,27.2,35.1,25.9,2.73
Patrick,Mahomes,QB,,8,2023-10-29,Thu-Mon,KC,DEN,-7,45.5,26.3,8400,30,15.2,23.9,37.9,25.2,3.00
Josh,Allen,QB,,8,2023-10-26,Thu-Mon,BUF,TB,-9.5,43.5,26.5,8000,20,14.9,26.6,39.5,24.0,3.00
Jalen,Hurts,QB,,8,2023-10-29,Thu-Mon,PHI,WAS,-6.5,43.5,25,8200,31,21.9,25.7,31.3,23.2,2.83
Stefon,Diggs,WR,,8,2023-10-26,Thu-Mon,BUF,TB,-9.5,43.5,26.5,8900,21,17.8,26.0,39.0,22.7,2.55
Christian,McCaffrey,RB,,8,2023-10-29,Thu-Mon,SF,CIN,-3.5,43.5,23.5,9200,18,14.2,25.4,51.7,22.5,2.45
Lamar,Jackson,QB,,8,2023-10-29,Thu-Mon,BAL,ARI,-9.5,44.5,27,8100,29,11.9,25.9,37.9,22.5,2.78
Travis,Kelce,TE,,8,2023-10-29,Thu-Mon,KC,DEN,-7,45.5,26.3,8400,32,12.0,23.6,38.9,21.3,2.54
Keenan,Allen,WR,,8,2023-10-29,Thu-Mon,LAC,CHI,-9,46.5,27.8,8500,19,9.5,25.2,48.5,21.3,2.51
Ja'Marr,Chase,WR,,8,2023-10-29,Thu-Mon,CIN,SF,+3.5,43.5,20,8100,22,8.1,24.1,55.2,20.8,2.57
Justin,Herbert,QB,,8,2023-10-29,Thu-Mon,LAC,CHI,-9,46.5,27.8,7800,26,12.9,22.6,32.3,20.1,2.58
Tua,Tagovailoa,QB,,8,2023-10-29,Thu-Mon,MIA,NE,-8.5,46,27.3,7700,6,11.3,20.4,31.4,20.1,2.61
Cooper,Kupp,WR,,8,2023-10-29,Thu-Mon,LAR,DAL,+6,45.5,19.8,9000,2,2.9,18.6,30.8,19.7,2.19
Jared,Goff,QB,,8,2023-10-30,Thu-Mon,DET,LV,-8,46.5,27.3,6400,11,10.4,18.9,27.4,19.1,2.98
Austin,Ekeler,RB,,8,2023-10-29,Thu-Mon,LAC,CHI,-9,46.5,27.8,8300,26,5.6,14.7,29.4,18.7,2.25
Trevor,Lawrence,QB,Q,8,2023-10-29,Thu-Mon,JAX,PIT,-3,41,22,6200,17,15.4,17.3,20.7,18.3,2.95
A.J.,Brown,WR,,8,2023-10-29,Thu-Mon,PHI,WAS,-6.5,43.5,25,8000,26,21.7,28.8,41.5,17.9,2.24
Alvin,Kamara,RB,Q,8,2023-10-29,Thu-Mon,NO,IND,-0.5,43.5,22,7300,25,15.0,20.4,29.3,17.9,2.45
