PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Sam Darnold,QB,SF,SEA,-342,43.50,-7.00,25.25,4500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brady Russell,TE,SEA,SF,268,43.50,7.00,18.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Alex Armah,RB,WAS,DAL,541,47.50,13.50,17.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Shane Zylstra,TE,DET,GB,-400,47.00,-8.50,27.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,QB,SEA,SF,268,43.50,7.00,18.25,5000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Emanuel Wilson,RB,GB,DET,312,47.00,8.50,19.25,4300,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Hendon Hooker,QB,DET,GB,-400,47.00,-8.50,27.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,QB,DET,GB,-400,47.00,-8.50,27.75,4600,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Green,WR,DET,GB,-400,47.00,-8.50,27.75,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Jones,RB,GB,DET,312,47.00,8.50,19.25,6000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Hunter Luepke,RB,DAL,WAS,-792,47.50,-13.50,30.50,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Brooks,WR,DAL,WAS,-792,47.50,-13.50,30.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
David Durden,WR,DAL,WAS,-792,47.50,-13.50,30.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
John Stephens,WR,DAL,WAS,-792,47.50,-13.50,30.50,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Henry Pearson,RB,GB,DET,312,47.00,8.50,19.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Tinsley,WR,WAS,DAL,541,47.50,13.50,17.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Sean Clifford,QB,GB,DET,312,47.00,8.50,19.25,4500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Walker,RB,SEA,SF,268,43.50,7.00,18.25,6200,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Hodges,TE,WAS,DAL,541,47.50,13.50,17.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Armani Rogers,TE,WAS,DAL,541,47.50,13.50,17.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Rush,QB,DAL,WAS,-792,47.50,-13.50,30.50,4500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
James Mitchell,TE,DET,GB,-400,47.00,-8.50,27.75,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Williams,RB,WAS,DAL,541,47.50,13.50,17.00,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyrion Davis-Price,RB,SF,SEA,-342,43.50,-7.00,25.25,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jason Cabinda,RB,DET,GB,-400,47.00,-8.50,27.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Danny Gray,WR,SF,SEA,-342,43.50,-7.00,25.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Zonovan Knight,RB,DET,GB,-400,47.00,-8.50,27.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Bo Melton,WR,GB,DET,312,47.00,8.50,19.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Sean McKeon,TE,DAL,WAS,-792,47.50,-13.50,30.50,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Dareke Young,WR,SEA,SF,268,43.50,7.00,18.25,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Josiah Deguara,TE,GB,DET,312,47.00,8.50,19.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Woerner,TE,SF,SEA,-342,43.50,-7.00,25.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Jacoby Brissett,QB,WAS,DAL,541,47.50,13.50,17.00,4400,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Dillon,TE,WAS,DAL,541,47.50,13.50,17.00,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Davis,TE,GB,DET,312,47.00,8.50,19.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Latu,TE,SF,SEA,-342,43.50,-7.00,25.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Brayden Willis,TE,SF,SEA,-342,43.50,-7.00,25.25,2500,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Dax Milne,WR,WAS,DAL,541,47.50,13.50,17.00,3000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Nate Sudfeld,QB,DET,GB,-400,47.00,-8.50,27.75,4000,0.00,0.0,0.0,0.0,0.0,0.0,0.0
