first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Justin,Jefferson,WR,,5,2023-10-08,,MIN,KC,+3.5,53,24.8,9400,12,11.6,25.0,30.9,24.0,2.55
Patrick,Mahomes,QB,,5,2023-10-08,,KC,MIN,-3.5,53,28.3,8200,24,15.2,22.1,25.7,23.7,2.89
Jalen,Hurts,QB,,5,2023-10-08,,PHI,LAR,-4,50,27,8000,10,13.5,26.8,45.2,22.2,2.78
Tua,Tagovailoa,QB,,5,2023-10-08,,MIA,NYG,-12,47.5,29.8,7100,11,13.3,21.6,32.1,21.7,3.06
Tyreek,Hill,WR,,5,2023-10-08,,MIA,NYG,-12,47.5,29.8,9000,8,10.2,24.6,47.5,21.2,2.36
Lamar,Jackson,QB,,5,2023-10-08,,BAL,PIT,-4,37.5,20.8,7800,22,1.3,18.8,32.2,20.0,2.56
Anthony,Richardson,QB,,5,2023-10-08,,IND,TEN,+2.5,43,20.3,7000,17,17.7,22.1,26.6,19.6,2.80
Travis,Kelce,TE,,5,2023-10-08,,KC,MIN,-3.5,53,28.3,7600,12,12.0,17.1,20.8,19.3,2.54
Kirk,Cousins,QB,,5,2023-10-08,,MIN,KC,+3.5,53,24.8,6900,7,11.6,24.4,32.6,19.1,2.77
Ja'Marr,Chase,WR,,5,2023-10-08,,CIN,ARI,-3,45,24,7900,14,8.1,14.8,29.1,18.7,2.37
Matthew,Stafford,QB,,5,2023-10-08,,LAR,PHI,+4,50,23,5600,27,13.5,17.0,20.2,18.3,3.27
Amon-Ra,St. Brown,WR,Q,5,2023-10-08,,DET,CAR,-10,44,27,7800,7,10.9,17.5,22.6,18.2,2.33
Daniel,Jones,QB,,5,2023-10-08,,NYG,MIA,+12,47.5,17.8,5800,29,3.9,11.4,34.7,18.0,3.10
Russell,Wilson,QB,,5,2023-10-08,,DEN,NYJ,-2.5,43.5,23,5700,12,15.2,22.1,30.9,17.6,3.09
Jared,Goff,QB,,5,2023-10-08,,DET,CAR,-10,44,27,6300,3,9.5,16.4,26.9,17.6,2.79
