PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Deshaun Watson,QB,CLE,IND,-185,63.00,-4.00,33.50,5700,17.55,3.1,31.4,4.8,0.0,4.8,6.4
Joshua Dobbs,QB,MIN,SF,255,46.50,-2.00,24.25,5300,15.69,3.0,31.8,6.0,0.0,6.0,7.1
Brock Purdy,QB,SF,MIN,-315,46.50,2.00,22.25,5500,16.22,3.0,28.8,3.6,0.0,3.6,5.9
Baker Mayfield,QB,TB,ATL,-150,39.00,-1.50,20.25,5300,15.86,3.0,32.1,3.6,0.0,3.6,6.7
Geno Smith,QB,SEA,ARI,-450,37.50,-8.50,23.00,6000,18.25,3.0,31.8,2.6,0.0,2.6,5.7
Jalen Hurts,QB,PHI,MIA,-165,48.50,-6.00,27.25,8100,23.21,2.9,26.9,10.0,0.0,10.0,4.6
Jordan Love,QB,GB,DEN,105,37.00,5.00,16.00,5800,16.45,2.8,29.5,3.6,0.0,3.6,5.7
Sam Howell,QB,WAS,NYG,-160,35.00,6.50,14.25,5500,15.40,2.8,33.3,3.5,0.0,3.5,6.7
Lamar Jackson,QB,BAL,DET,-165,43.50,-27.00,35.25,7600,21.46,2.8,29.6,8.8,0.0,8.8,5.1
Derek Carr,QB,NO,JAX,-140,46.00,3.00,21.50,5400,14.97,2.8,32.4,0.8,0.0,0.8,6.1
Russell Wilson,QB,DEN,GB,-125,37.00,-5.00,21.00,5400,14.94,2.8,27.0,3.5,0.0,3.5,5.6
Josh Allen,QB,BUF,NE,-410,44.00,-2.50,23.25,8200,21.69,2.7,33.1,4.4,0.0,4.4,4.6
Trevor Lawrence,QB,JAX,NO,120,46.00,-3.00,24.50,6300,17.01,2.7,34.6,2.8,0.0,2.8,5.9
Patrick Mahomes,QB,KC,LAC,-260,52.00,-4.50,28.25,8300,22.78,2.7,34.4,4.1,0.0,4.1,4.6
Tyson Bagent,QB,CHI,LV,115,37.50,-15.00,26.25,4900,12.53,2.6,27.0,3.7,0.0,3.7,6.3
Matthew Stafford,QB,LAR,PIT,-180,38.50,2.00,18.25,6500,16.89,2.6,36.7,0.9,0.0,0.9,5.8
Jared Goff,QB,DET,BAL,140,43.50,27.00,8.25,6400,16.70,2.6,34.8,1.2,0.0,1.2,5.6
Jaxon Smith-Njigba,WR,SEA,ARI,-450,37.50,-8.50,23.00,3900,10.29,2.6,0.0,0.1,5.3,5.4,1.4
Kenny Pickett,QB,PIT,LAR,150,38.50,-2.00,20.25,5000,12.72,2.5,29.9,1.7,0.0,1.7,6.3
Tyler Lockett,WR,SEA,ARI,-450,37.50,-8.50,23.00,6000,15.17,2.5,0.0,0.1,7.5,7.6,1.3
Desmond Ridder,QB,ATL,TB,130,39.00,1.50,18.75,5200,13.15,2.5,31.0,2.6,0.0,2.6,6.5
Mac Jones,QB,NE,BUF,315,44.00,2.50,20.75,4900,12.14,2.5,30.0,2.2,0.0,2.2,6.6
Michael Mayer,TE,LV,CHI,-135,37.50,15.00,11.25,2700,6.83,2.5,0.0,0.0,3.8,3.8,1.4
Seattle Seahawks,D,SEA,ARI,-450,37.50,-8.50,23.00,3200,7.83,2.5,0.0,0.0,0.0,0.0,0.0
Evan Engram,TE,JAX,NO,120,46.00,-3.00,24.50,4500,11.21,2.5,0.0,0.0,7.0,7.0,1.6
Brian Hoyer,QB,LV,CHI,-135,37.50,15.00,11.25,4900,11.89,2.4,31.1,1.6,0.0,1.6,6.7
Tyrod Taylor,QB,NYG,WAS,135,35.00,-6.50,20.75,5100,12.17,2.4,28.1,1.3,0.0,1.3,5.8
Luke Musgrave,TE,GB,DEN,105,37.00,5.00,16.00,3300,7.92,2.4,0.0,0.0,4.5,4.5,1.4
Drake London,WR,ATL,TB,130,39.00,1.50,18.75,5100,12.18,2.4,0.0,0.0,7.6,7.6,1.5
Michael Thomas,WR,NO,JAX,-140,46.00,3.00,21.50,4900,11.98,2.4,0.0,0.0,6.8,6.8,1.4
Cleveland Browns,D,CLE,IND,-185,63.00,-4.00,33.50,3300,7.82,2.4,0.0,0.0,0.0,0.0,0.0
Rachaad White,RB,TB,ATL,-150,39.00,-1.50,20.25,5100,12.20,2.4,0.0,14.1,4.0,18.1,3.5
New England Patriots,D,NE,BUF,315,44.00,2.50,20.75,2100,5.04,2.4,0.0,0.0,0.0,0.0,0.0
Tua Tagovailoa,QB,MIA,PHI,140,48.50,6.00,21.25,7700,18.78,2.4,32.9,0.8,0.0,0.8,4.4
D'Andre Swift,RB,PHI,MIA,-165,48.50,-6.00,27.25,6300,14.96,2.4,0.0,13.4,3.4,16.8,2.7
Trey McBride,TE,ARI,SEA,350,37.50,8.50,14.50,2600,6.27,2.4,0.0,0.0,3.9,3.9,1.5
Jahmyr Gibbs,RB,DET,BAL,140,43.50,27.00,8.25,6300,15.39,2.4,0.0,15.1,4.8,19.9,3.2
Gardner Minshew,QB,IND,CLE,155,63.00,4.00,29.50,5200,12.50,2.4,32.9,3.3,0.0,3.3,7.0
Dallas Goedert,TE,PHI,MIA,-165,48.50,-6.00,27.25,4700,10.93,2.3,0.0,0.0,5.2,5.2,1.1
Elijah Moore,WR,CLE,IND,-185,63.00,-4.00,33.50,4200,9.77,2.3,0.0,0.6,6.0,6.6,1.6
Kyle Pitts,TE,ATL,TB,130,39.00,1.50,18.75,4000,9.23,2.3,0.0,0.0,5.7,5.7,1.4
David Njoku,TE,CLE,IND,-185,63.00,-4.00,33.50,3400,7.68,2.3,0.0,0.0,4.4,4.4,1.3
San Francisco 49ers,D,SF,MIN,-315,46.50,2.00,22.25,3500,8.14,2.3,0.0,0.0,0.0,0.0,0.0
Kirk Cousins,QB,MIN,SF,255,46.50,-2.00,24.25,6900,15.65,2.3,35.7,1.9,0.0,1.9,5.4
Terry McLaurin,WR,WAS,NYG,-160,35.00,6.50,14.25,5400,12.38,2.3,0.0,0.3,7.3,7.6,1.4
Wan'Dale Robinson,WR,NYG,WAS,135,35.00,-6.50,20.75,3800,8.90,2.3,0.0,0.6,6.1,6.7,1.8
Kansas City Chiefs,D,KC,LAC,-260,52.00,-4.50,28.25,2400,5.53,2.3,0.0,0.0,0.0,0.0,0.0
Kenneth Walker,RB,SEA,ARI,-450,37.50,-8.50,23.00,7000,16.22,2.3,0.0,18.3,2.9,21.2,3.0
Alvin Kamara,RB,NO,JAX,-140,46.00,3.00,21.50,6900,16.17,2.3,0.0,14.7,5.4,20.1,2.9
Justin Herbert,QB,LAC,KC,210,52.00,4.50,23.75,8000,18.79,2.3,36.4,2.9,0.0,2.9,4.9
Zach Ertz,TE,ARI,SEA,350,37.50,8.50,14.50,3200,7.52,2.3,0.0,0.0,4.9,4.9,1.5
K.J. Osborn,WR,MIN,SF,255,46.50,-2.00,24.25,4600,10.63,2.3,0.0,0.1,6.8,6.9,1.5
Christian Kirk,WR,JAX,NO,120,46.00,-3.00,24.50,5700,13.41,2.3,0.0,0.2,7.7,7.9,1.4
Marquise Brown,WR,ARI,SEA,350,37.50,8.50,14.50,5300,12.34,2.3,0.0,0.2,8.3,8.5,1.6
