Player,Team,Pos,Injury,Status,Est. Return
Bryan Bulaga,FA,OT,Back,Questionable,Subscribers Only
LaTrell Bumphus,SEA,DT,Undisclosed,IR,Subscribers Only
Ian Bunting,FA,TE,Neck,Questionable,Subscribers Only
Treylon Burks,TEN,WR,Knee,Questionable,Subscribers Only
Darien Butler,LV,LB,Undisclosed,IR,Subscribers Only
Hakeem Butler,FA,WR,Undisclosed,Questionable,Subscribers Only
Percy Butler,WAS,S,Foot,Questionable,Subscribers Only
Vernon Butler,FA,DT,Undisclosed,Questionable,Subscribers Only
Akial Byers,FA,DT,Undisclosed,Questionable,Subscribers Only
Damiere Byrd,FA,WR,Hamstring,Questionable,Subscribers Only
Jason Cabinda,DET,FB,Knee,Out,Subscribers Only
Yodny Cajuste,FA,OT,Undisclosed,Questionable,Subscribers Only
De'Vondre Campbell,GB,LB,Ankle,Out,Subscribers Only
Ibraheim Campbell,FA,S,Ankle,Questionable,Subscribers Only
Marcus Cannon,FA,OT,Concussion,Questionable,Subscribers Only
Trenton Cannon,FA,RB,Knee,Questionable,Subscribers Only
Dylan Cantrell,FA,TE,Undisclosed,Questionable,Subscribers Only
Derek Carr,NO,QB,Shoulder - AC Joint,Questionable,Subscribers Only
Patrick Carr,FA,RB,Undisclosed,Questionable,Subscribers Only
Jamal Carter,FA,S,Undisclosed,Questionable,Subscribers Only
Jerome Carvin,FA,C,Undisclosed,Questionable,Subscribers Only
Quintez Cephus,FA,WR,Suspension,Reserve-Sus,Subscribers Only
Taco Charlton,FA,DE,Undisclosed,Questionable,Subscribers Only
Julius Chestnut,TEN,RB,Hamstring,IR,Subscribers Only
Brady Christensen,CAR,OG,Biceps,IR,Subscribers Only
DeMarcus Christmas,FA,DT,Undisclosed,Questionable,Subscribers Only
Nick Chubb,CLE,RB,Knee - MCL,IR,Subscribers Only
Lewis Cine,MIN,S,Hamstring,Questionable,Subscribers Only
Chuck Clark,NYJ,S,Knee - ACL,IR,Subscribers Only
Darius Clark,FA,RB,Knee,Questionable,Subscribers Only
Frank Clark,DEN,LB,Hip,Questionable,Subscribers Only
Chris Claybrooks,JAX,CB,Undisclosed,Reserve-CEL,Subscribers Only
Devin Cochran,CIN,OT,Knee,IR,Subscribers Only
Adrian Colbert,FA,S,Undisclosed,Questionable,Subscribers Only
L.J. Collier,ARI,DE,Biceps,IR,Subscribers Only
Tom Compton,FA,OT,Back,Questionable,Subscribers Only
Jack Conklin,CLE,OT,Knee - ACL + MCL,IR,Subscribers Only
Gareon Conley,FA,CB,Ankle,Questionable,Subscribers Only
Ryan Connelly,FA,LB,Knee,Out,Subscribers Only
James Conner,ARI,RB,Back,Questionable,Subscribers Only
Cody Conway,FA,OT,Knee - ACL,Questionable,Subscribers Only
Austin Corbett,CAR,OG,Knee - ACL,PUP-R,Subscribers Only
Cody Core,FA,WR,Undisclosed,Questionable,Subscribers Only
Jeff Cotton,FA,WR,Undisclosed,Questionable,Subscribers Only
