first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Tyreek,Hill,WR,,11,2023-11-19,Thu-Mon,MIA,LV,-13,46.5,29.8,9300,6,13.5,26.8,35.1,25.6,2.75
Patrick,Mahomes,QB,,11,2023-11-20,Thu-Mon,KC,PHI,-3,45.5,24.3,8000,30,8.6,20.8,37.9,22.4,2.80
Christian,McCaffrey,RB,,11,2023-11-19,Thu-Mon,SF,TB,-12,41.5,26.8,9300,2,14.2,20.5,29.8,22.1,2.38
Lamar,Jackson,QB,,11,2023-11-16,Thu-Mon,BAL,CIN,-3.5,46.5,25,7900,21,12.0,19.1,37.9,21.9,2.77
CeeDee,Lamb,WR,,11,2023-11-19,Thu-Mon,DAL,CAR,-10.5,42.5,26.5,9200,4,8.9,29.8,44.0,21.6,2.35
Amon-Ra,St. Brown,WR,,11,2023-11-19,Thu-Mon,DET,CHI,-7.5,47.5,27.5,8800,16,16.6,25.9,33.5,21.4,2.43
Jalen,Hurts,QB,Q,11,2023-11-20,Thu-Mon,PHI,KC,+3,45.5,21.3,8300,5,22.9,27.3,31.4,20.9,2.52
Jared,Goff,QB,,11,2023-11-19,Thu-Mon,DET,CHI,-7.5,47.5,27.5,6600,20,10.4,20.2,27.4,20.7,3.14
Ja'Marr,Chase,WR,,11,2023-11-16,Thu-Mon,CIN,BAL,+3.5,46.5,21.5,8700,8,8.1,26.4,55.2,20.5,2.36
Keenan,Allen,WR,Q,11,2023-11-19,Thu-Mon,LAC,GB,-3,44,23.5,9000,5,9.5,21.0,43.5,20.4,2.27
Tua,Tagovailoa,QB,,11,2023-11-19,Thu-Mon,MIA,LV,-13,46.5,29.8,7700,7,11.3,19.0,26.8,20.4,2.65
C.J.,Stroud,QB,,11,2023-11-19,Thu-Mon,HOU,ARI,-4.5,49,26.8,7000,23,12.9,22.4,44.8,20.3,2.90
Josh,Allen,QB,,11,2023-11-19,Thu-Mon,BUF,NYJ,-7,39.5,23.3,8200,9,14.9,22.3,33.1,20.1,2.45
Justin,Herbert,QB,,11,2023-11-19,Thu-Mon,LAC,GB,-3,44,23.5,7600,2,12.9,22.8,32.4,19.7,2.59
