pos,name,salary
QB,Kyler Murray,6000
TE,Dalton Schultz,3300
TE,Jake Ferguson,3800
RB,Chase Brown,7200
RB,Chuba Hubbard,6500
WR,Ja'Marr Chase,8400
WR,Adam Thielen,5400
DST,Denver Broncos,3200
WR,Jerry Jeudy,6200
