pos,name,salary
TE,Mike Gesicki,3600
QB,Lamar Jackson,8000
DST,Chicago Bears,3000
RB,Chase Brown,6000
WR,DeAndre Hopkins,5300
TE,Mark Andrews,4100
RB,De'Von Achane,7100
WR,Ja'Marr Chase,8400
WR,DeMario Douglas,4400
