pos,name,salary
QB,Bo Nix,5600
WR,Jalen McMillan,3700
TE,Cade Otton,3500
WR,Tyreek Hill,7000
Def,Los Angeles Chargers,3300
RB,Breece Hall,7300
RB,Aaron Jones,6600
WR,Tee Higgins,6500
RB,Tony Pollard,6500
