pos,name,salary
TE,Jonnu Smith,4300
WR,DJ Moore,5600
QB,Justin Herbert,5600
RB,Chase Brown,6200
TE,Travis Kelce,5600
RB,Alvin Kamara,7700
DST,Denver Broncos,3300
WR,Ladd McConkey,6100
WR,Brian Thomas,5500
