pos,name,salary
QB,Sam Darnold,6000
WR,Chris Olave,6100
WR,Drake London,6700
WR,Cedric Tillman,4300
RB,Bijan Robinson,7400
RB,Aaron Jones,6600
RB,Chase Brown,5900
TE,Taysom Hill,3800
TE,Mike Gesicki,3100
