pos,name,salary
QB,Sam Darnold,6000
DST,New York Jets,2400
WR,Chris Olave,6100
WR,Drake London,6700
WR,Cedric Tillman,4300
RB,Bijan Robinson,7400
RB,Aaron Jones,6600
TE,Cade Otton,4500
RB,Chase Brown,5900
