pos,name,salary
QB,Caleb Williams,5600
RB,Chase Brown,6700
WR,Jakobi Meyers,5600
RB,Alvin Kamara,8000
WR,Jauan Jennings,5200
DST,Jacksonville Jaguars,2600
WR,Tee Higgins,6500
TE,Cade Otton,4400
RB,Isaac Guerendo,5400
