pos,name,salary
QB,Justin Herbert,5300
TE,Will Dissly,3200
RB,De'Von Achane,7200
WR,Jakobi Meyers,5600
RB,Chase Brown,6500
RB,Alvin Kamara,8200
DST,New York Jets,2800
WR,Jauan Jennings,5300
WR,Courtland Sutton,5900
