Pos,Name,Salary
WR,"St. Brown, Amon-Ra",7500
RB,"Ekeler, Austin",8800
TE,"Schultz, Dalton",6100
WR,"Adams, Davante",8800
RB,"Singletary, Devin",6700
WR,"Chase, Ja'Marr",8000
QB,"Allen, Josh",8800
Def,Dallas,4400
