Pos,Name,Salary
Def,Arizona,5000
QB,Patrick Mahomes II,8800
RB,Derrick Henry,11000
RB,Myles Gaskin,5600
WR,Jaylen Waddle,5900
WR,Cooper Kupp,8800
WR,Ja'Marr Chase,7500
WR,Marquise Brown,7300
