Pos,Name,Salary
QB,Josh Allen,9000
WR,Cooper Kupp,9400
Def,New Orleans,4700
RB,Jonathan Taylor,9200
RB,Austin Ekeler,9000
WR,Van Jefferson,5500
WR,Ja'Marr Chase,7900
TE,Tyler Conklin,5200
