Pos,Name,Salary
QB,Dak Prescott,8400
RB,Joe Mixon,7600
RB,James Conner,7200
WR,Stefon Diggs,8100
WR,Brandin Cooks,6600
RB,Myles Gaskin,6200
WR,Elijah Moore,5900
TE,C.J. Uzomah,5200
Def,Miami,4800
