Pos,Name,Salary
QB,"Rodgers, Aaron",8300
WR,"Brown, Antonio",7000
WR,"Kupp, Cooper",9800
TE,"Goedert, Dallas",5900
RB,"Williams, Javonte",6300
RB,"Taylor, Jonathan",10500
WR,"Lockett, Tyler",7300
Def,Dallas,4900
