Pos,Name,Salary
QB,Lamar Jackson,8200
RB,Austin Ekeler,8400
RB,James Conner,6100
WR,Marquise Brown,7000
WR,Michael Pittman Jr.,5800
WR,Hunter Renfrow,5700
TE,Mark Andrews,6300
Def,Buffalo,4500
WR,Ja'Marr Chase,7800
