Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
1;2011;1131;Brady, Tom;QB;nwe;a;mia;35.98;9200
1;2011;1309;Henne, Chad;QB;mia;h;nwe;35.54;6800
1;2011;1378;Newton, Cam;QB;car;a;ari;31.68;6700
1;2011;1151;Brees, Drew;QB;nor;a;gnb;29.06;8900
1;2011;1242;Fitzpatrick, Ryan;QB;buf;a;kan;24.62;7900
1;2011;1252;Rodgers, Aaron;QB;gnb;h;nor;24.58;9800
1;2011;1340;Stafford, Matthew;QB;det;a;tam;23.2;7300
1;2011;1155;Vick, Michael;QB;phi;a;stl;23.18;9900
1;2011;1302;Flacco, Joe;QB;bal;h;pit;20.96;7900
1;2011;1233;Romo, Tony;QB;dal;a;nyj;19.58;8700
1;2011;1263;Cutler, Jay;QB;chi;h;atl;19.48;7800
1;2011;1231;Rivers, Philip;QB;sdg;h;min;19.1;8900
1;2011;1339;Sanchez, Mark;QB;nyj;h;dal;18.7;7300
1;2011;1060;Hasselbeck, Matt;QB;ten;a;jac;18.42;6800
1;2011;1282;Kolb, Kevin;QB;ari;h;car;18.26;7500
1;2011;1202;Grossman, Rex;QB;was;h;nyg;18.2;5000
1;2011;1361;McCoy, Colt;QB;cle;h;cin;16.62;7000
1;2011;1225;Manning, Eli;QB;nyg;a;was;15.92;8200
1;2011;1330;Freeman, Josh;QB;tam;h;det;15.56;8400
1;2011;1250;Orton, Kyle;QB;kan;h;buf;14.46;8500
1;2011;1240;Campbell, Jason;QB;oak;a;den;14.4;7100
1;2011;1254;Smith, Alex;QB;sfo;h;sea;13.16;7200
1;2011;1260;Jackson, Tarvaris;QB;sea;a;sfo;12.18;5000
1;2011;1234;Schaub, Matt;QB;hou;h;ind;10.8;8200
1;2011;1301;Ryan, Matt;QB;atl;a;chi;9.76;8300
1;2011;1232;Roethlisberger, Ben;QB;pit;a;bal;9.1;8800
1;2011;1020;Collins, Kerry;QB;ind;a;hou;7.88;0
1;2011;1241;Cassel, Matt;QB;kan;h;buf;7.86;8100
1;2011;1086;McNabb, Donovan;QB;min;a;sdg;7.76;7700
1;2011;1258;Gradkowski, Bruce;QB;cin;a;cle;7.68;6100
1;2011;1403;Dalton, Andy;QB;cin;a;cle;7.24;5000
1;2011;1227;McCown, Luke;QB;jac;h;ten;6;5000
1;2011;1344;Bradford, Sam;QB;stl;h;phi;4.02;7700
1;2011;1158;Feeley, A.J.;QB;stl;h;phi;0.84;5000
1;2011;1320;Johnson, Josh;QB;tam;h;det;0.48;5000
1;2011;1015;Brunell, Mark;QB;nyj;h;dal;0;5000
