Player,Team,Pos,Injury,Status
Chris Okoye,FA,DT,Undisclosed,Questionable
Jeff Okudah,DET,CB,Achilles,IR
Russell Okung,FA,OT,Calf,Questionable
Romeo Okwara,DET,LB,Achilles,IR
Isaiah Oliver,ATL,CB,Knee,IR
Josh Oliver,BAL,TE,Undisclosed,Reserve-Covid-19
Ed Oliver,BUF,DT,Ankle,Questionable
Sewo Olonilua,DAL,FB,Neck,IR
Patrick Onwuasor,LV,LB,Illness,Reserve-Covid-19
Amani Oruwariye,DET,CB,Thumb,IR
Kelechi Osemele,FA,OG,Knee,Questionable
Joseph Ossai,CIN,DE,Knee - Meniscus,IR
Joe Ostman,PHI,DE,Undisclosed,IR
Odafe Oweh,BAL,LB,Foot,Doubtful
Mike Panasiuk,CAR,C,Undisclosed,IR
Matt Paradis,CAR,C,Illness,Reserve-Covid-19
Donald Parham,LAC,TE,Concussion,IR
Aaron Parker,FA,WR,Undisclosed,Out
Cody Parkey,FA,K,Groin,Questionable
Natrez Patrick,DEN,LB,Leg,IR
Tim Patrick,DEN,WR,Illness,Reserve-Covid-19
Matt Peart,NYG,OT,Knee - ACL,IR
Andrus Peat,NO,OG,Pectoral,IR
Jabrill Peppers,NYG,S,Knee - ACL,IR
Ronnie Perkins,NE,LB,Ankle,IR
Jamal Perry,MIA,CB,Knee,IR
Denzel Perryman,LV,LB,Ankle,Questionable
Marcus Peters,BAL,CB,Knee - ACL,IR
Jason Peters,CHI,OT,Ankle,Questionable
Adrian Peterson,FA,RB,Lower Back,Out
Dante Pettis,NYG,WR,Shoulder,Reserve-Covid-19
Darius Phillips,CIN,CB,Illness,Reserve-Covid-19
Adrian Phillips,NE,S,Knee,Questionable
Jordan Phillips,ARI,DE,Knee,Out
Scottie Phillips,HOU,RB,Ankle,IR
Tyre Phillips,BAL,OT,Knee,IR
Michael Pierce,MIN,DT,Illness,Out
Kevin Pierre-Louis,HOU,LB,Illness,Reserve-Covid-19
Jason Pierre-Paul,TB,LB,Shoulder,Out
Bradley Pinion,TB,P,Illness,Reserve-Covid-19
Quentin Poling,FA,LB,Undisclosed,Questionable
Troymaine Pope,FA,RB,Undisclosed,Questionable
Jeremiah Poutasi,FA,OT,Undisclosed,Out
Ben Powers,BAL,OG,Foot,Out
Germaine Pratt,CIN,LB,Undisclosed,Questionable
Billy Price,NYG,C,Personal,Doubtful
Troy Pride,CAR,CB,Knee - ACL,IR
Blake Proehl,MIN,WR,Leg,IR
Spencer Pulley,FA,C,Undisclosed,Out
Mike Purcell,DEN,DT,Illness,Reserve-Covid-19
Durval Queiroz Neto,FA,OG,Illness,Out
Paul Quessenberry,FA,FB,Illness,Out
Trey Quinn,FA,WR,Undisclosed,Questionable
Brent Qvale,FA,OT,Undisclosed,Questionable
Frank Ragnow,DET,C,Toe,IR
Ryan Ramczyk,NO,OT,Undisclosed,Reserve-Covid-19
Randy Ramsey,GB,LB,Undisclosed,Reserve-Covid-19
Taylor Rapp,LAR,S,Shoulder,Questionable
Kalif Raymond,DET,WR,Illness,Reserve-Covid-19
Haason Reddick,CAR,LB,Undisclosed,Reserve-Covid-19
Alex Redmond,FA,OG,Undisclosed,Out
Sheldrick Redwine,MIA,S,Undisclosed,Reserve-Covid-19
Joe Reed,FA,WR,Undisclosed,Out
Riley Reiff,CIN,OT,Ankle,IR
Mike Remmers,KC,OT,Illness,Reserve-Covid-19
Sam Renner,FA,DT,Undisclosed,Questionable
Ross Reynolds,FA,OG,Undisclosed,Questionable
Josh Reynolds,DET,WR,Illness,Reserve-Covid-19
LaRoy Reynolds,FA,LB,Illness,Out
Jon Rhattigan,SEA,LB,Knee - ACL,IR
Luke Rhodes,IND,C,Illness,Reserve-Covid-19
Patrick Ricard,BAL,FB,Knee,Questionable
Monty Rice,TEN,LB,Ankle,IR
Will Richardson,JAX,OG,Finger,IR
Calvin Ridley,ATL,WR,Personal,NFI-R
Curtis Riley,TB,S,Achilles,IR
Chauncey Rivers,GB,LB,Undisclosed,Reserve-Covid-19
Malcolm Roach,FA,DT,Undisclosed,Out
Derick Roberson,TEN,LB,Illness,Questionable
Tre Roberson,FA,CB,Concussion,Questionable
Darryl Roberts,WAS,CB,Undisclosed,Reserve-Covid-19
Reggie Robinson,DAL,CB,Toe,IR
Cam Robinson,JAX,OT,Undisclosed,Reserve-Covid-19
Janarius Robinson,MIN,DE,Lower Body,IR
James Robinson,JAX,RB,Achilles,IR
Bradley Roby,NO,CB,Shoulder,Questionable
Robert Rochell,LAR,CB,Chest,IR
Amari Rodgers,GB,WR,Illness,Reserve-Covid-19
Daniel Ross,FA,DT,Undisclosed,Questionable
John Ross,NYG,WR,Knee,Out
Chase Roullier,WAS,C,Lower Leg,IR
Cameron Sample,CIN,DE,Hamstring,Out
Curtis Samuel,WAS,WR,Hamstring,Questionable
Emmanuel Sanders,BUF,WR,Knee,Questionable
Miles Sanders,PHI,RB,Hand,Out
Mohamed Sanu,SF,WR,Knee,IR
Khalen Saunders,KC,DT,Undisclosed,IR
Jordan Scarlett,FA,RB,Knee,Out
Joe Schobert,PIT,LB,Illness,Reserve-Covid-19
Mitchell Schwartz,FA,OT,Back,Questionable
Wes Schweitzer,WAS,OG,Ankle,IR
Jordon Scott,MIN,DT,Undisclosed,IR
Brad Seaton,FA,OT,Undisclosed,Questionable
Austin Seibert,DET,K,Hip,IR
Deadrin Senat,FA,DT,Undisclosed,Questionable
Andrew Sendejo,IND,S,Concussion,Out
Trey Sermon,SF,RB,Ankle,IR-R
Isaac Seumalo,PHI,OG,Foot,IR
Kamaal Seymour,LV,OT,Undisclosed,NFI-R
Tajae Sharpe,ATL,WR,Illness,Reserve-Covid-19
Brandon Shell,SEA,OT,Shoulder,Doubtful
Duke Shelley,CHI,CB,Heel,Questionable
Danny Shelton,NYG,DT,Undisclosed,Reserve-Covid-19
Sterling Shepard,NYG,WR,Achilles,IR
Richard Sherman,TB,CB,Achilles,Doubtful
Jamien Sherwood,NYJ,LB,Achilles,IR
A.Q. Shipley,FA,C,Neck,Questionable
Kyle Shurmur,FA,QB,Undisclosed,Out
Jordan Simmons,LV,OG,Undisclosed,Reserve-Covid-19
Steven Sims,FA,WR,Undisclosed,Out
Justin Skule,SF,OT,Knee - ACL,IR
Darius Slayton,NYG,WR,Illness,Reserve-Covid-19
Tre'Quan Smith,NO,WR,Chest,Out
Za'Darius Smith,GB,LB,Back,IR
Maurice Smith,FA,S,Undisclosed,Questionable
Ryan Smith,LAC,CB,Knee - ACL,IR
Terrance Smith,FA,LB,Undisclosed,Questionable
Kaden Smith,NYG,TE,Knee,IR
Irv Smith,MIN,TE,Knee - Meniscus,IR
JuJu Smith-Schuster,PIT,WR,Shoulder,IR
James Smith-Williams,WAS,DE,Illness,Questionable
Dawuane Smoot,JAX,DE,Undisclosed,Reserve-Covid-19
Dylan Soehner,NO,TE,Undisclosed,IR
Nate Solder,NYG,OT,Illness,Questionable
Jason Spriggs,ATL,OT,Undisclosed,Reserve-Covid-19
Benjamin St-Juste,WAS,CB,Concussion,IR
Tyree St. Louis,FA,OT,Undisclosed,Questionable
Jayson Stanley,FA,CB,Undisclosed,Out
Donell Stanley,TB,C,Undisclosed,IR
Ronnie Stanley,BAL,OT,Ankle,IR
Nate Stanley,MIN,QB,Undisclosed,IR
David Steinmetz,FA,OT,Undisclosed,Out
Logan Stenberg,DET,OG,Undisclosed,IR
Shamar Stephen,DEN,DT,Knee,Questionable
Caden Sterns,DEN,S,Illness,Reserve-Covid-19
Darius Stills,FA,DT,Undisclosed,Questionable
Aaron Stinnie,TB,OG,Knee,IR
Eli Stove,FA,WR,Knee - ACL,Questionable
Xavier Su'a-Filo,CIN,OG,Knee,IR-R
Ty Summers,GB,LB,Hamstring,IR
Nick Sundberg,FA,C,Elbow,Questionable
Chazz Surratt,MIN,LB,Illness,Questionable
Courtland Sutton,DEN,WR,Illness,Questionable
Montez Sweat,WAS,DE,Personal,Questionable
Ryan Switzer,CLE,WR,Foot,IR
Tyrone Swoopes,WAS,TE,Undisclosed,Reserve-DNR
Donte Sylencieux,FA,WR,Undisclosed,Questionable
Teez Tabor,CHI,CB,Ankle,IR
Auden Tate,CIN,WR,Illness,Reserve-Covid-19
Charlie Taumoepeau,DET,TE,Neck,NFI-R
Calvin Taylor,FA,DE,Undisclosed,Questionable
Alex Taylor,CLE,OT,Undisclosed,Reserve-Covid-19
Taywan Taylor,FA,WR,Undisclosed,Questionable
Jullian Taylor,FA,DT,Knee - ACL,Questionable
Vincent Taylor,HOU,DT,Ankle,IR
Malik Taylor,GB,WR,Shoulder,IR
Davion Taylor,PHI,LB,Knee,IR
Sam Tecklenburg,CAR,C,Illness,Reserve-Covid-19
Marvell Tell,FA,CB,Undisclosed,Out
Sam Tevi,IND,OT,Knee - ACL,IR
Adam Thielen,MIN,WR,Ankle,IR
Logan Thomas,WAS,TE,Knee - ACL,IR
Michael Thomas,NO,WR,Ankle,PUP-R
Jordan Thomas,FA,TE,Undisclosed,Questionable
DeAndre Thompkins,FA,WR,Undisclosed,Questionable
Chris Thompson,FA,WR,Undisclosed,Questionable
Tedric Thompson,FA,S,Undisclosed,Out
Noah Togiai,FA,TE,Illness,Out
Levine Toilolo,NYG,TE,Achilles,IR
Kevin Toliver,FA,CB,Illness,Out
Cole Toner,HOU,OG,Undisclosed,IR
Kadarius Toney,NYG,WR,Shoulder,Out
Robert Tonyan,GB,TE,Knee - ACL,IR
Najee Toran,WAS,OG,Undisclosed,Reserve-DNR
Drue Tranquill,LAC,LB,Ankle,Doubtful
Tommy Tremble,CAR,TE,Illness,Reserve-Covid-19
Danny Trevathan,CHI,LB,Knee,IR
Jay Tufele,JAX,DT,Illness,Reserve-Covid-19
Stephon Tuitt,PIT,DE,Undisclosed,IR
Laremy Tunsil,HOU,OT,Thumb,IR
Ezekiel Turner,ARI,LB,Shoulder,IR-R
Billy Turner,GB,OT,Knee,Out
Payton Turner,NO,DE,Shoulder,IR
Jaylen Twyman,MIN,DT,Pelvis,NFI-R
Josh Uche,NE,LB,Illness,Reserve-Covid-19
Brent Urban,DAL,DT,Triceps,IR
John Ursua,SEA,WR,Knee - ACL,IR
Halapoulivaati Vaitai,DET,OG,Illness,Reserve-Covid-19
Nick Vannett,NO,TE,Undisclosed,Reserve-Covid-19
T.J. Vasher,DAL,WR,Knee - Meniscus,NFI-R
Tyler Vaughns,FA,WR,Undisclosed,Out
James Vaughters,ATL,LB,Illness,Reserve-Covid-19
Jake Verity,FA,K,Undisclosed,Out
Olivier Vernon,FA,DE,Achilles,Questionable
Jason Verrett,SF,CB,Knee - ACL,IR
Kendal Vickers,LV,DE,Undisclosed,Reserve-Covid-19
Nick Vigil,MIN,LB,Undisclosed,Reserve-Covid-19
Andrew Vollert,FA,TE,Ankle,Questionable
Christian Wade,FA,RB,Shoulder,Out
P.J. Walker,CAR,QB,Undisclosed,Reserve-Covid-19
Michael Walker,FA,WR,Undisclosed,Questionable
Darren Waller,LV,TE,Knee,Reserve-Covid-19
Michael Warren,FA,RB,Undisclosed,Questionable
Ar'Darius Washington,BAL,S,Illness,Reserve-Covid-19
Scotty Washington,FA,TE,Undisclosed,Out
Keith Washington,FA,CB,Wrist,Questionable
Deshaun Watson,HOU,QB,Coach's Decision,Out
Justin Watson,TB,WR,Quadriceps,Questionable
J.J. Watt,ARI,DE,Shoulder,IR
Tress Way,WAS,P,Undisclosed,Reserve-Covid-19
Trae Waynes,CIN,CB,Illness,Reserve-Covid-19
Stephen Weatherly,DEN,LB,Illness,Reserve-Covid-19
Rashad Weaver,TEN,LB,Lower Leg,IR
Marcus Webb,SEA,DE,Undisclosed,IR
Mark Webb,LAC,S,Knee,IR-R
Mike Weber,FA,RB,Hip,Questionable
Ken Webster,FA,CB,Undisclosed,Out
Carson Wentz,IND,QB,Illness,Questionable
Trevon Wesco,NYJ,TE,Knee - MCL,IR
Brendon White,FA,LB,Undisclosed,Questionable
Tre'Davious White,BUF,CB,Knee - ACL,IR
DeAndrew White,FA,WR,Undisclosed,Questionable
James White,NE,RB,Hip,IR
Kevin White,FA,WR,Illness,Out
James Wiggins,ARI,S,Knee,IR
Ray Wilborn,FA,S,Undisclosed,Out
Chris Wilcox,FA,CB,Undisclosed,Out
Quinnen Williams,NYJ,DT,Undisclosed,Reserve-Covid-19
Rodarius Williams,NYG,CB,Knee - ACL,IR
Pooka Williams,FA,RB,Suspension,Out
Javonte Williams,DEN,RB,Knee,Questionable
Marcus Williams,NO,S,Illness,Questionable
Duke Williams,FA,WR,Hamstring,Questionable
Chad Williams,FA,WR,Undisclosed,Questionable
Preston Williams,MIA,WR,Illness,Reserve-Covid-19
Tyrell Williams,FA,WR,Concussion,Questionable
Maxx Williams,ARI,TE,Knee,IR
Isaiah Williams,FA,OG,Illness,Out
DeShawn Williams,DEN,DT,Elbow,IR
Derrick Willies,FA,WR,Undisclosed,Reserve-Ret
Marcus Willoughby,FA,DE,Undisclosed,Questionable
Marco Wilson,ARI,CB,Shoulder,Out
Quincy Wilson,FA,CB,Ankle,Questionable
Brandon Wilson,CIN,S,Knee,IR
Tavon Wilson,SF,S,Foot,IR
Robert Windsor,IND,DT,Hip,IR
Antoine Winfield,TB,S,Foot,Questionable
Andrew Wingard,JAX,S,Undisclosed,Reserve-Covid-19
Jameis Winston,NO,QB,Knee - ACL + MCL,IR
Daniel Wise,WAS,DE,Knee,IR
Eli Wolf,FA,TE,Undisclosed,Out
Ethan Wolf,FA,TE,Undisclosed,Out
Derek Wolfe,BAL,DE,Back,IR
Robert Woods,LAR,WR,Knee - ACL,IR
Antwaun Woods,IND,DT,Calf,IR
Josh Woods,DET,LB,Neck,IR
Chris Wormley,PIT,DE,Illness,Reserve-Covid-19
Nate Wozniak,FA,OT,Undisclosed,Reserve-Ret
Brock Wright,DET,TE,Illness,Reserve-Covid-19
Chase Young,WAS,DE,Knee - ACL,IR
Landon Young,NO,OT,Foot,IR
Kenny Young,DEN,LB,Concussion,Questionable
Justin Zimmer,BUF,DT,Knee - ACL,IR
Jabari Zuniga,FA,DE,Undisclosed,Out
Shane Zylstra,FA,TE,Kneecap,Out
