Player,Team,Pos,Injury,Status
K'Lavon Chaisson,JAX,LB,Illness,Reserve-Covid-19
Sean Chandler,CAR,S,Groin,Doubtful
DJ Chark,JAX,WR,Ankle,IR
DeMarcus Christmas,FA,DT,Undisclosed,Questionable
Bradley Chubb,DEN,LB,Illness,Reserve-Covid-19
Jack Cichy,FA,LB,Arm,Questionable
Cameron Clark,NYJ,OT,Neck,IR
Darius Clark,FA,RB,Knee,Questionable
Tyrie Cleveland,FA,WR,Undisclosed,Out
Omari Cobb,FA,LB,Illness,Out
Randall Cobb,GB,WR,Groin,IR-R
Tarik Cohen,CHI,RB,Knee - ACL,PUP-R
Mason Cole,MIN,C,Elbow,IR
Tevin Coleman,NYJ,RB,Undisclosed,Reserve-Covid-19
Larnel Coleman,MIA,OT,Knee,IR
Trevon Coley,TEN,DT,Foot,IR
Landon Collins,WAS,S,Foot,IR
Aviante Collins,FA,OT,Illness,Out
Alex Collins,SEA,RB,Abdomen,Questionable
Will Compton,LV,LB,Illness,Reserve-Covid-19
Jack Conklin,CLE,OT,Kneecap,IR
Tyler Conklin,MIN,TE,Hamstring,Questionable
Gareon Conley,FA,CB,Ankle,Questionable
Chris Conley,HOU,WR,Knee,Questionable
Ryan Connelly,MIN,LB,Knee,IR
James Conner,ARI,RB,Heel,Questionable
Cody Conway,DEN,OT,Knee - ACL,IR
Jared Cook,LAC,TE,Illness,Reserve-Covid-19
Logan Cooke,JAX,P,Knee,IR
Jonathon Cooper,DEN,LB,Illness,Reserve-Covid-19
Samuel Cosmi,WAS,OT,Illness,Reserve-Covid-19
Lester Cotton,FA,OG,Undisclosed,Out
Carter Coughlin,NYG,LB,Ankle,IR
Isaiah Coulter,FA,WR,Undisclosed,Out
Kirk Cousins,MIN,QB,Illness,Reserve-Covid-19
Byron Cowart,NE,DT,Undisclosed,PUP-R
Bryan Cox,BUF,DE,Achilles,IR
Jabril Cox,DAL,LB,Knee - ACL,IR
Tyler Coyle,FA,S,Undisclosed,Out
Jack Crawford,ARI,DE,Undisclosed,IR
Aaron Crawford,BAL,DT,Undisclosed,IR
Xavier Crawford,CHI,CB,Concussion,IR
Jason Croom,PHI,TE,Knee,IR
Tyrell Crosby,DET,OT,Back,IR
Jamison Crowder,NYJ,WR,Calf,Doubtful
Isaiah Crowell,FA,RB,Achilles,Questionable
Korey Cunningham,NYG,OT,Illness,Reserve-Covid-19
Vinny Curry,NYJ,DE,Illness,NFI-R
Jalen Dalton,NO,DT,Triceps,IR
Cameron Dantzler,MIN,CB,Calf,Doubtful
Ronald Darby,DEN,CB,Shoulder,Questionable
Jaelon Darden,TB,WR,Illness,Reserve-Covid-19
Lavonte David,TB,LB,Foot,IR
Marlon Davidson,ATL,DT,Illness,Reserve-Covid-19
Davion Davis,HOU,WR,Ankle,IR
