pos,name,salary
RB,Zach Charbonnet,5300
TE,Jake Ferguson,3900
RB,Tony Pollard,6700
RB,Christian McCaffrey,8700
QB,Justin Fields,7000
WR,Rashid Shaheed,4300
WR,Drake London,5000
Def,Kansas City Chiefs,3100
WR,DJ Moore,6000
