pos,name,salary
QB,Justin Fields,6800
WR,Jonathan Mingo,3500
RB,Ezekiel Elliott,5400
WR,Drake London,4600
Def,Atlanta Falcons,2900
WR,Jaxon Smith-Njigba,4100
RB,Christian McCaffrey,9200
TE,Jake Ferguson,4400
WR,CeeDee Lamb,9000
