pos,name,salary
QB,Patrick Mahomes,8300
WR,Justin Jefferson,9600
WR,Ja'Marr Chase,7800
TE,Travis Kelce,7400
WR,A.J. Brown,7700
RB,Alvin Kamara,6100
RB,Isiah Pacheco,5500
WR,Marquise Brown,5000
Def,Miami Dolphins,2600
