pos,name,salary
QB,Patrick Mahomes,8100
TE,Evan Engram,4500
RB,Isiah Pacheco,5700
WR,Christian Kirk,5400
WR,Ja'Marr Chase,8300
Def,Kansas City Chiefs,3300
RB,Raheem Mostert,6400
WR,Cooper Kupp,9000
WR,Tyreek Hill,9300
