pos,name,salary
QB,Patrick Mahomes,8300
TE,Evan Engram,4500
RB,Rachaad White,5100
WR,Drake London,5100
RB,Jahmyr Gibbs,6300
WR,Michael Thomas,4900
Def,Kansas City Chiefs,2400
WR,Terry McLaurin,5400
TE,Travis Kelce,8000
