pos,name,salary
QB,Dak Prescott,7200
RB,Zach Charbonnet,5300
WR,Elijah Moore,3500
TE,Evan Engram,4500
Def,Jacksonville Jaguars,3400
WR,Marquise Brown,5200
RB,Najee Harris,5200
RB,Tony Pollard,6800
WR,CeeDee Lamb,8900
