pos,name,salary
QB,Jalen Hurts,8100
TE,Michael Mayer,2700
Def,Baltimore Ravens,2500
WR,Jaxon Smith-Njigba,3900
RB,D'Andre Swift,6300
WR,Michael Thomas,4900
WR,Marquise Brown,5300
RB,Alvin Kamara,6900
WR,Tyreek Hill,9400
