pos,name,salary
QB,Joe Burrow,6800
WR,Khalil Shakir,3300
Def,Dallas Cowboys,4400
RB,Bijan Robinson,6000
RB,Javonte Williams,5300
TE,Evan Engram,4500
WR,Marquise Brown,5200
RB,Joe Mixon,6200
WR,Amon-Ra St. Brown,8300
