pos,name,salary
QB,Sam Howell,6300
TE,Evan Engram,4300
WR,Marquise Brown,5300
RB,Javonte Williams,5500
WR,Khalil Shakir,3200
Def,Green Bay Packers,2300
WR,Cooper Kupp,8100
RB,James Conner,5700
WR,Tyreek Hill,9300
