Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
1,13593,"Jackson, Lamar",BAL,@PIT,QB,219.0,1.8,56.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,21.9
2,13130,"McCaffrey, Christian",SFO,SEA,RB,0.0,0.0,84.0,0.7,3.9,32.0,0.2,0.0,0.0,0.0,21.0
3,13589,"Allen, Josh",BUF,KCC,QB,224.0,1.6,29.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,20.6
4,14783,"Hurts, Jalen",PHI,WAS,QB,180.0,1.1,46.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,20.2
5,12626,"Henry, Derrick",BAL,@PIT,RB,0.0,0.0,100.0,1.1,1.2,12.0,0.1,0.0,0.0,0.0,20.2
6,15710,"Williams, Kyren",LAR,@NEP,RB,0.0,0.0,87.0,1.0,2.9,17.0,0.2,0.0,0.0,0.0,20.1
7,15281,"Chase, Ja'Marr",CIN,@LAC,WR,0.0,0.0,1.0,0.0,6.3,87.0,0.8,0.0,0.0,0.0,19.7
8,14777,"Burrow, Joe",CIN,@LAC,QB,249.0,2.0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.3
9,16162,"Gibbs, Jahmyr",DET,JAC,RB,0.0,0.0,82.0,0.9,2.8,23.0,0.1,0.0,0.0,0.0,18.9
10,15698,"Purdy, Brock",SFO,SEA,QB,261.0,1.4,20.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,18.8
11,15287,"St. Brown, Amon-Ra",DET,JAC,WR,0.0,0.0,1.0,0.0,6.8,75.0,0.7,0.0,0.0,0.0,18.6
12,14136,"Samuel, Deebo",SFO,SEA,WR,0.0,0.0,10.0,0.2,5.2,86.0,0.4,0.0,0.0,0.0,18.3
13,13604,"Barkley, Saquon",PHI,WAS,RB,0.0,0.0,96.0,0.5,2.4,18.0,0.2,0.0,0.0,0.0,18.2
14,13132,"Kamara, Alvin",NOS,CLE,RB,0.0,0.0,66.0,0.4,5.0,37.0,0.1,0.0,0.0,0.0,18.1
15,12611,"Goff, Jared",DET,JAC,QB,269.0,1.9,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.1
16,15290,"Collins, Nico",HOU,@DAL,WR,0.0,0.0,0.0,0.0,5.7,87.0,0.6,0.0,0.0,0.0,17.9
17,16582,"Nix, Bo",DEN,ATL,QB,218.0,1.3,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,17.8
18,14779,"Herbert, Justin",LAC,CIN,QB,255.0,1.4,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.8
19,13131,"Mixon, Joe",HOU,@DAL,RB,0.0,0.0,72.0,0.7,2.5,23.0,0.2,0.0,0.0,0.0,17.8
