PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Roschon Johnson,RB,CHI,WAS,-135,43.5,-2.5,23,5000,5.87,1.2,0,6.2,1.2,7.4,1.5
Dawson Knox,TE,BUF,SEA,-173,47,-3,25,2900,3.35,1.2,0,0,1.8,1.8,0.6
Darius Slayton,WR,NYG,PIT,233,36.5,6.5,15,4800,5.96,1.2,0,0,3.8,3.8,0.8
Ronnie Bell,WR,SF,DAL,-216,46,-4.5,25.25,3000,3.35,1.1,0,0.1,1.8,1.9,0.6
Chris Conley,WR,SF,DAL,-216,46,-4.5,25.25,3000,3.18,1.1,0,0.1,1.6,1.7,0.6
Antonio Gibson,RB,NE,NYJ,275,41.5,7.5,17,5400,6.17,1.1,0,6.3,2.1,8.4,1.6
Johnny Mundt,TE,MIN,LAR,-153,48,-3,25.5,2700,2.92,1.1,0,0,1.7,1.7,0.6
Foster Moreau,TE,NO,LAC,277,40,7.5,16.25,2900,3.32,1.1,0,0,2.1,2.1,0.7
Ty Chandler,RB,MIN,LAR,-153,48,-3,25.5,5100,5.61,1.1,0,4.9,1.9,6.8,1.3
Kalif Raymond,WR,DET,TEN,-622,45.5,-11,28.25,3400,3.79,1.1,0,0.4,1.9,2.3,0.7
Tyler Johnson,WR,LAR,MIN,128,48,3,22.5,4100,4.39,1.1,0,0,2.6,2.6,0.6
KaVontae Turpin,WR,DAL,SF,176,46,4.5,20.75,3800,3.84,1,0,0.6,1.5,2.1,0.5
Jeremy Ruckert,TE,NYJ,NE,-352,41.5,-7.5,24.5,2500,2.55,1,0,0,1.5,1.5,0.6
Zamir White,RB,LV,KC,387,41.5,10,15.75,4600,4.7,1,0,6.1,1.2,7.3,1.6
Dameon Pierce,RB,HOU,IND,-244,46,-5.5,25.75,4900,4.75,1,0,6.2,0.8,7,1.4
Tommy Tremble,TE,CAR,DEN,348,43.5,9,17.25,2800,2.91,1,0,0,1.9,1.9,0.7
Kimani Vidal,RB,LAC,NO,-351,40,-7.5,23.75,5300,4.81,0.9,0,5.1,1.2,6.3,1.2
Carson Steele,RB,KC,LV,-523,41.5,-10,25.75,4200,3.93,0.9,0,2.3,0.4,2.7,0.6
Mason Tipton,WR,NO,LAC,277,40,7.5,16.25,4100,3.75,0.9,0,0,2.5,2.5,0.6
Jalen Brooks,WR,DAL,SF,176,46,4.5,20.75,3200,2.99,0.9,0,0,1.9,1.9,0.6
Dyami Brown,WR,WAS,CHI,113,43.5,2.5,20.5,3800,3.25,0.9,0,0.1,1.9,2,0.5
Kendre Miller,RB,NO,LAC,277,40,7.5,16.25,4700,4.01,0.9,0,5.1,0.8,5.9,1.3
Kendrick Bourne,WR,NE,NYJ,275,41.5,7.5,17,3500,3.27,0.9,0,0.1,2.1,2.2,0.6
Mo Alie-Cox,TE,IND,HOU,198,46,5.5,20.25,2700,2.36,0.9,0,0,1.4,1.4,0.5
Bo Melton,WR,GB,JAX,-220,49,-4.5,26.75,3200,2.74,0.9,0,0,1.4,1.4,0.4
Ja'Lynn Polk,WR,NE,NYJ,275,41.5,7.5,17,3400,2.86,0.8,0,0,2,2,0.6
Ashton Dulin,WR,IND,HOU,198,46,5.5,20.25,3000,2.27,0.8,0,0.1,1.3,1.4,0.5
Grant Calcaterra,TE,PHI,CIN,111,48,2,23,3200,2.41,0.8,0,0,1.6,1.6,0.5
Jake Bobo,WR,SEA,BUF,142,47,3,22,3300,2.54,0.8,0,0,1.4,1.4,0.4
Davis Allen,TE,LAR,MIN,128,48,3,22.5,2500,2.02,0.8,0,0,1.1,1.1,0.4
Justin Watson,WR,KC,LV,-523,41.5,-10,25.75,3700,2.94,0.8,0,0,1.6,1.6,0.4
Ty Johnson,RB,BUF,SEA,-173,47,-3,25,5500,4.28,0.8,0,1.3,1.9,3.2,0.6
Cade Stover,TE,HOU,IND,-244,46,-5.5,25.75,2500,1.87,0.8,0,0,1.1,1.1,0.4
Jahan Dotson,WR,PHI,CIN,111,48,2,23,4200,3.54,0.8,0,0,2.1,2.1,0.5
Cordarrelle Patterson,RB,PIT,NYG,-292,36.5,-6.5,21.5,4000,3.08,0.8,0,3.1,0.7,3.8,1
Johnny Wilson,WR,PHI,CIN,111,48,2,23,3000,2.26,0.8,0,0.1,1.4,1.5,0.5
Brenton Strange,TE,JAX,GB,179,49,4.5,22.25,2500,1.95,0.8,0,0,1.1,1.1,0.4
Parker Washington,WR,JAX,GB,179,49,4.5,22.25,3000,2.25,0.8,0,0.1,1.3,1.4,0.5
Darnell Washington,TE,PIT,NYG,-292,36.5,-6.5,21.5,2800,2.22,0.8,0,0,1.3,1.3,0.5
Brandon Powell,WR,MIN,LAR,-153,48,-3,25.5,3100,2.19,0.7,0,0.2,1.3,1.5,0.5
Elijah Higgins,TE,ARI,MIA,139,46.5,3,21.75,3000,2.04,0.7,0,0,1.2,1.2,0.4
Roman Wilson,WR,PIT,NYG,-292,36.5,-6.5,21.5,3000,2.23,0.7,0,0.1,1.3,1.4,0.5
D'Ernest Johnson,RB,JAX,GB,179,49,4.5,22.25,4800,3.35,0.7,0,3.6,1.4,5,1
Emanuel Wilson,RB,GB,JAX,-220,49,-4.5,26.75,4400,3.17,0.7,0,3.5,0.5,4,0.9
Mack Hollins,WR,BUF,SEA,-173,47,-3,25,3200,2.26,0.7,0,0,1.3,1.3,0.4
Brock Wright,TE,DET,TEN,-622,45.5,-11,28.25,2500,1.72,0.7,0,0,0.9,0.9,0.4
Kylen Granson,TE,IND,HOU,198,46,5.5,20.25,2500,1.65,0.7,0,0,1,1,0.4
Sean Tucker,RB,TB,ATL,119,46,2.5,21.75,5200,3.41,0.7,0,4.8,0.2,5,1
Robert Woods,WR,HOU,IND,-244,46,-5.5,25.75,3200,2.29,0.7,0,0.1,1.4,1.5,0.5
Ian Thomas,TE,CAR,DEN,348,43.5,9,17.25,2500,1.39,0.6,0,0,1.1,1.1,0.4
Trey Benson,RB,ARI,MIA,139,46.5,3,21.75,5100,3.09,0.6,0,3.1,0.8,3.9,0.8
Ray Davis,RB,BUF,SEA,-173,47,-3,25,5200,3.28,0.6,0,3.1,0.8,3.9,0.8
Van Jefferson,WR,PIT,NYG,-292,36.5,-6.5,21.5,3300,2.15,0.6,0,0.1,1.3,1.4,0.4
John Metchie,WR,HOU,IND,-244,46,-5.5,25.75,3000,1.95,0.6,0,0.1,1.1,1.2,0.4
Josh Oliver,TE,MIN,LAR,-153,48,-3,25.5,2800,1.64,0.6,0,0,0.9,0.9,0.3
Dare Ogunbowale,RB,HOU,IND,-244,46,-5.5,25.75,4100,2.31,0.6,0,0.6,1.4,2,0.5
Kenneth Gainwell,RB,PHI,CIN,111,48,2,23,4700,2.75,0.6,0,1.8,1.1,2.9,0.6
