first_name,last_name,position,injury_status,week,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_fppg_avg,L10_fppg_avg,szn_fppg_avg,ppg_projection,value_projection,ppg_actual,value_actual
Josh,Allen,QB,,15,2024-12-15,Sun-Mon,BUF,DET,+2.5,54.5,26,8500,6,29.9,24.2,24.2,23.1,2.72
Lamar,Jackson,QB,,15,2024-12-15,Sun-Mon,BAL,NYG,-16.5,43.5,30,8300,14,24.1,26.5,26.0,22.8,2.75
Saquon,Barkley,RB,,15,2024-12-15,Sun-Mon,PHI,PIT,-5.5,43.5,24.5,8600,10,27.0,23.8,25.2,22.5,2.62
Bijan,Robinson,RB,,15,2024-12-16,Sun-Mon,ATL,LV,-4.5,44.5,24.5,7600,21,22.6,21.0,19.7,21.8,2.87
Derrick,Henry,RB,,15,2024-12-15,Sun-Mon,BAL,NYG,-16.5,43.5,30,8300,29,17.2,21.3,21.0,21.7,2.61
Chuba,Hubbard,RB,,15,2024-12-15,Sun-Mon,CAR,DAL,-2.5,42.5,22.5,6500,26,17.8,16.8,16.3,21.4,3.29
Joe,Burrow,QB,Q,15,2024-12-15,Sun-Mon,CIN,TEN,-5.5,46.5,26,7300,19,27.6,25.6,23.5,21.2,2.90
Joe,Mixon,RB,,15,2024-12-15,Sun-Mon,HOU,MIA,-2.5,46.5,24.5,7800,17,21.9,23.3,23.3,21.1,2.71
Ja'Marr,Chase,WR,,15,2024-12-15,Sun-Mon,CIN,TEN,-5.5,46.5,26,8400,1,27.4,26.2,23.4,20.7,2.46
Kyler,Murray,QB,,15,2024-12-15,Sun-Mon,ARI,NE,-5.5,46.5,26,6000,20,16.6,17.7,18.2,20.5,3.42
Jayden,Daniels,QB,,15,2024-12-15,Sun-Mon,WAS,NO,-7.5,43.5,25.5,7500,15,20.4,19.7,20.5,20.1,2.68
Alvin,Kamara,RB,Q,15,2024-12-15,Sun-Mon,NO,WAS,+7.5,43.5,18,7700,13,18.2,17.3,19.8,19.6,2.55
Chase,Brown,RB,,15,2024-12-15,Sun-Mon,CIN,TEN,-5.5,46.5,26,7200,12,20.6,17.3,15.1,19.6,2.72
Justin,Herbert,QB,Q,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,5900,32,16.5,16.9,15.5,19.4,3.29
Nico,Collins,WR,,15,2024-12-15,Sun-Mon,HOU,MIA,-2.5,46.5,24.5,8100,5,20.9,20.2,21.0,19.3,2.38
Sam,Darnold,QB,,15,2024-12-16,Sun-Mon,MIN,CHI,-6.5,43.5,25,6600,3,23.1,20.2,20.1,19.3,2.92
Justin,Jefferson,WR,,15,2024-12-16,Sun-Mon,MIN,CHI,-6.5,43.5,25,8200,3,16.1,18.5,19.0,19.2,2.34
Patrick,Mahomes,QB,,15,2024-12-15,Sun-Mon,KC,CLE,-4.5,43.5,24,6700,11,19.4,18.6,18.0,18.8,2.81
Jalen,Hurts,QB,,15,2024-12-15,Sun-Mon,PHI,PIT,-5.5,43.5,24.5,8000,2,21.5,23.4,22.7,18.7,2.34
C.J.,Stroud,QB,,15,2024-12-15,Sun-Mon,HOU,MIA,-2.5,46.5,24.5,6200,1,13.7,15.4,15.3,18.6,3.00
Bo,Nix,QB,,15,2024-12-15,Sun-Mon,DEN,IND,-4.5,44.5,24.5,6300,23,20.0,19.6,18.3,18.5,2.94
James,Conner,RB,,15,2024-12-15,Sun-Mon,ARI,NE,-5.5,46.5,26,6600,18,16.7,16.1,15.9,18.4,2.79
Jared,Goff,QB,,15,2024-12-15,Sun-Mon,DET,BUF,-2.5,54.5,28.5,6500,5,20.2,20.0,18.6,18.2,2.80
Josh,Jacobs,RB,,15,2024-12-15,Sun-Mon,GB,SEA,-2.5,46.5,24.5,7400,20,22.8,20.3,18.3,18.2,2.46
Tua,Tagovailoa,QB,,15,2024-12-15,Sun-Mon,MIA,HOU,+2.5,46.5,22,6100,21,23.2,19.2,19.8,18.1,2.97
Anthony,Richardson,QB,,15,2024-12-15,Sun-Mon,IND,DEN,+4.5,44.5,20,5800,7,17.7,14.5,15.6,18.0,3.10
De'Von,Achane,RB,,15,2024-12-15,Sun-Mon,MIA,HOU,+2.5,46.5,22,7900,5,18.2,16.9,17.7,18.0,2.28
Amon-Ra,St. Brown,WR,,15,2024-12-15,Sun-Mon,DET,BUF,-2.5,54.5,28.5,7600,13,18.9,18.5,18.1,17.9,2.36
Geno,Smith,QB,,15,2024-12-15,Sun-Mon,SEA,GB,+2.5,46.5,22,5800,12,16.8,17.7,17.7,17.9,3.09
Drake,Maye,QB,,15,2024-12-15,Sun-Mon,NE,ARI,+5.5,46.5,20.5,5600,9,16.7,15.6,15.6,17.4,3.11
Brock,Bowers,TE,,15,2024-12-16,Sun-Mon,LV,ATL,+4.5,44.5,20,6600,15,19.8,17.4,16.3,17.1,2.59
Jahmyr,Gibbs,RB,,15,2024-12-15,Sun-Mon,DET,BUF,-2.5,54.5,28.5,7500,30,17.5,19.3,18.8,17.0,2.27
Baker,Mayfield,QB,,15,2024-12-15,Sun-Mon,TB,LAC,+2.5,45.5,21.5,6400,8,16.2,22.5,21.9,17.0,2.66
Caleb,Williams,QB,,15,2024-12-16,Sun-Mon,CHI,MIN,+6.5,43.5,18.5,5700,17,18.3,17.7,16.5,16.9,2.96
Rico,Dowdle,RB,,15,2024-12-15,Sun-Mon,DAL,CAR,+2.5,42.5,20,6100,32,14.4,13.3,12.5,16.8,2.75
Trey,McBride,TE,Q,15,2024-12-15,Sun-Mon,ARI,NE,-5.5,46.5,26,6000,16,17.5,15.7,14.8,16.6,2.77
Jordan,Love,QB,,15,2024-12-15,Sun-Mon,GB,SEA,-2.5,46.5,24.5,6200,16,15.9,18.1,18.0,16.6,2.68
Jameis,Winston,QB,,15,2024-12-15,Sun-Mon,CLE,KC,+4.5,43.5,19.5,5500,22,21.7,14.3,13.1,16.5,3.00
A.J.,Brown,WR,,15,2024-12-15,Sun-Mon,PHI,PIT,-5.5,43.5,24.5,8000,9,15.2,16.8,16.8,16.5,2.06
Tee,Higgins,WR,,15,2024-12-15,Sun-Mon,CIN,TEN,-5.5,46.5,26,6800,1,22.6,18.5,18.8,16.5,2.43
Tony,Pollard,RB,Q,15,2024-12-15,Sun-Mon,TEN,CIN,+5.5,46.5,20.5,6700,15,13.5,14.9,14.5,16.4,2.45
Mike,Evans,WR,Q,15,2024-12-15,Sun-Mon,TB,LAC,+2.5,45.5,21.5,7100,11,13.3,14.7,14.7,16.3,2.30
Ladd,McConkey,WR,Q,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,6300,24,15.6,15.3,14.4,16.3,2.59
Courtland,Sutton,WR,,15,2024-12-15,Sun-Mon,DEN,IND,-4.5,44.5,24.5,6600,19,21.8,16.6,14.7,16.2,2.45
Zach,Charbonnet,RB,,15,2024-12-15,Sun-Mon,SEA,GB,+2.5,46.5,22,6000,23,12.7,9.8,11.8,16.2,2.70
Bryce,Young,QB,,15,2024-12-15,Sun-Mon,CAR,DAL,-2.5,42.5,22.5,5300,28,15.3,11.0,11.0,16.1,3.04
CeeDee,Lamb,WR,,15,2024-12-15,Sun-Mon,DAL,CAR,+2.5,42.5,20,7300,10,13.2,16.9,16.8,16.0,2.19
Kirk,Cousins,QB,,15,2024-12-16,Sun-Mon,ATL,LV,-4.5,44.5,24.5,5500,24,12.0,15.8,15.1,16.0,2.91
Davante,Adams,WR,,15,2024-12-15,Sun-Mon,NYJ,JAX,-3.5,40.5,22,6900,28,18.2,15.4,15.4,15.9,2.30
Drake,London,WR,,15,2024-12-16,Sun-Mon,ATL,LV,-4.5,44.5,24.5,6400,12,13.4,16.1,15.4,15.9,2.48
Jonathan,Taylor,RB,,15,2024-12-15,Sun-Mon,IND,DEN,+4.5,44.5,20,6900,14,10.8,15.4,15.4,15.8,2.29
Aaron,Rodgers,QB,,15,2024-12-15,Sun-Mon,NYJ,JAX,-3.5,40.5,22,5400,30,15.4,15.3,15.3,15.8,2.93
Will,Levis,QB,,15,2024-12-15,Sun-Mon,TEN,CIN,+5.5,46.5,20.5,5000,31,15.4,12.6,12.6,15.7,3.14
Tyreek,Hill,WR,Q,15,2024-12-15,Sun-Mon,MIA,HOU,+2.5,46.5,22,7400,27,18.4,14.1,14.1,15.6,2.11
Garrett,Wilson,WR,,15,2024-12-15,Sun-Mon,NYJ,JAX,-3.5,40.5,22,6500,28,15.1,17.6,16.3,15.5,2.38
Terry,McLaurin,WR,,15,2024-12-15,Sun-Mon,WAS,NO,-7.5,43.5,25.5,7200,26,17.7,18.4,16.8,15.5,2.15
Desmond,Ridder,QB,,15,2024-12-16,Sun-Mon,LV,ATL,+4.5,44.5,20,4800,27,6.0,8.7,3.1,15.4,3.21
Aaron,Jones Sr.,RB,,15,2024-12-16,Sun-Mon,MIN,CHI,-6.5,43.5,25,6500,24,13.7,13.7,15.0,15.2,2.34
David,Montgomery,RB,,15,2024-12-15,Sun-Mon,DET,BUF,-2.5,54.5,28.5,7000,30,17.6,16.1,16.8,14.8,2.11
Malik,Nabers,WR,Q,15,2024-12-15,Sun-Mon,NYG,BAL,+16.5,43.5,13.5,6400,30,13.7,17.7,17.1,14.8,2.31
Travis,Kelce,TE,,15,2024-12-15,Sun-Mon,KC,CLE,-4.5,43.5,24,5700,24,11.7,14.7,12.5,14.7,2.58
Jerry,Jeudy,WR,,15,2024-12-15,Sun-Mon,CLE,KC,+4.5,43.5,19.5,6200,15,23.8,15.5,14.4,14.7,2.37
Jaxon,Smith-Njigba,WR,,15,2024-12-15,Sun-Mon,SEA,GB,+2.5,46.5,22,6300,8,23.2,17.1,16.0,14.7,2.33
Jakobi,Meyers,WR,Q,15,2024-12-16,Sun-Mon,LV,ATL,+4.5,44.5,20,5700,31,17.0,15.3,14.8,14.5,2.54
Russell,Wilson,QB,,15,2024-12-15,Sun-Mon,PIT,PHI,+5.5,43.5,19,5700,4,17.6,18.2,18.3,14.5,2.54
Calvin,Ridley,WR,,15,2024-12-15,Sun-Mon,TEN,CIN,+5.5,46.5,20.5,5900,21,13.8,11.8,11.8,14.3,2.42
Brian,Robinson Jr.,RB,,15,2024-12-15,Sun-Mon,WAS,NO,-7.5,43.5,25.5,6200,27,12.0,14.4,14.4,14.2,2.29
Cooper,Rush,QB,,15,2024-12-15,Sun-Mon,DAL,CAR,+2.5,42.5,20,5200,26,11.8,6.2,7.5,14.1,2.71
Brian,Thomas Jr.,WR,,15,2024-12-15,Sun-Mon,JAX,NYJ,+3.5,40.5,18.5,5800,2,11.7,14.9,14.2,14.1,2.43
DJ,Moore,WR,,15,2024-12-16,Sun-Mon,CHI,MIN,+6.5,43.5,18.5,5800,32,16.8,14.4,13.9,13.9,2.40
Zay,Flowers,WR,,15,2024-12-15,Sun-Mon,BAL,NYG,-16.5,43.5,30,6000,4,14.7,14.8,14.4,13.9,2.32
Rhamondre,Stevenson,RB,,15,2024-12-15,Sun-Mon,NE,ARI,+5.5,46.5,20.5,5900,25,11.9,11.7,13.3,13.6,2.31
Mac,Jones,QB,,15,2024-12-15,Sun-Mon,JAX,NYJ,+3.5,40.5,18.5,4900,13,7.8,7.4,6.5,13.5,2.76
DK,Metcalf,WR,,15,2024-12-15,Sun-Mon,SEA,GB,+2.5,46.5,22,6000,8,12.7,15.4,14.6,13.4,2.23
Khalil,Shakir,WR,,15,2024-12-15,Sun-Mon,BUF,DET,+2.5,54.5,26,6100,29,13.9,13.9,13.6,13.3,2.18
Isiah,Pacheco,RB,,15,2024-12-15,Sun-Mon,KC,CLE,-4.5,43.5,24,6000,6,12.0,15.6,11.5,13.0,2.17
James,Cook,RB,,15,2024-12-15,Sun-Mon,BUF,DET,+2.5,54.5,26,6800,2,14.8,15.7,16.6,13.0,1.91
Najee,Harris,RB,,15,2024-12-15,Sun-Mon,PIT,PHI,+5.5,43.5,19,5900,3,13.6,15.0,13.9,12.9,2.19
Adam,Thielen,WR,,15,2024-12-15,Sun-Mon,CAR,DAL,-2.5,42.5,22.5,5400,20,14.4,11.6,13.3,12.8,2.37
Tommy,DeVito,QB,,15,2024-12-15,Sun-Mon,NYG,BAL,+16.5,43.5,13.5,4400,29,4.9,10.1,5.4,12.8,2.91
Jordan,Addison,WR,,15,2024-12-16,Sun-Mon,MIN,CHI,-6.5,43.5,25,5900,3,21.0,16.4,15.5,12.5,2.12
Jonnu,Smith,TE,,15,2024-12-15,Sun-Mon,MIA,HOU,+2.5,46.5,22,5400,4,20.0,14.9,12.8,12.4,2.30
Keenan,Allen,WR,,15,2024-12-16,Sun-Mon,CHI,MIN,+6.5,43.5,18.5,5500,32,14.3,11.7,11.3,12.4,2.25
Hunter,Henry,TE,,15,2024-12-15,Sun-Mon,NE,ARI,+5.5,46.5,20.5,4300,7,10.2,9.9,9.9,12.3,2.86
Marvin,Harrison Jr.,WR,,15,2024-12-15,Sun-Mon,ARI,NE,-5.5,46.5,26,5500,22,10.9,10.7,12.1,12.3,2.24
Jake,Haener,QB,,15,2024-12-15,Sun-Mon,NO,WAS,+7.5,43.5,18,5100,18,2.6,1.8,1.8,12.3,2.41
Jameson,Williams,WR,,15,2024-12-15,Sun-Mon,DET,BUF,-2.5,54.5,28.5,5600,13,13.7,11.8,13.2,12.1,2.16
Darnell,Mooney,WR,,15,2024-12-16,Sun-Mon,ATL,LV,-4.5,44.5,24.5,5600,12,13.5,14.5,13.9,12.0,2.14
Breece,Hall,RB,Q,15,2024-12-15,Sun-Mon,NYJ,JAX,-3.5,40.5,22,6400,31,14.2,15.4,16.4,11.9,1.86
D'Andre,Swift,RB,Q,15,2024-12-16,Sun-Mon,CHI,MIN,+6.5,43.5,18.5,5600,4,9.6,15.5,13.4,11.9,2.13
Tank,Dell,WR,,15,2024-12-15,Sun-Mon,HOU,MIA,-2.5,46.5,24.5,5400,5,10.6,10.4,9.6,11.7,2.17
David,Njoku,TE,Q,15,2024-12-15,Sun-Mon,CLE,KC,+4.5,43.5,19.5,5200,31,14.9,13.4,13.4,11.3,2.17
Josh,Downs,WR,Q,15,2024-12-15,Sun-Mon,IND,DEN,+4.5,44.5,20,5100,14,15.3,14.1,14.1,11.3,2.22
T.J.,Hockenson,TE,,15,2024-12-16,Sun-Mon,MIN,CHI,-6.5,43.5,25,4800,22,10.8,10.8,10.0,11.2,2.33
Jaylen,Waddle,WR,Q,15,2024-12-15,Sun-Mon,MIA,HOU,+2.5,46.5,22,5700,27,15.6,11.2,11.3,11.1,1.95
Sincere,McCormick,RB,,15,2024-12-16,Sun-Mon,LV,ATL,+4.5,44.5,20,4700,8,5.7,5.7,5.7,11.1,2.36
Tyrone,Tracy Jr.,RB,,15,2024-12-15,Sun-Mon,NYG,BAL,+16.5,43.5,13.5,5700,9,14.2,14.6,11.9,11.1,1.95
DeVonta,Smith,WR,,15,2024-12-15,Sun-Mon,PHI,PIT,-5.5,43.5,24.5,5500,9,12.6,13.0,13.0,11.1,2.02
Rachaad,White,RB,,15,2024-12-15,Sun-Mon,TB,LAC,+2.5,45.5,21.5,5800,7,15.4,15.1,14.3,10.9,1.88
Bucky,Irving,RB,Q,15,2024-12-15,Sun-Mon,TB,LAC,+2.5,45.5,21.5,6300,7,16.9,15.4,13.7,10.9,1.73
Sam,LaPorta,TE,,15,2024-12-15,Sun-Mon,DET,BUF,-2.5,54.5,28.5,4400,5,10.3,9.9,9.2,10.7,2.43
Michael,Pittman Jr.,WR,,15,2024-12-15,Sun-Mon,IND,DEN,+4.5,44.5,20,5200,14,7.9,10.4,9.7,10.6,2.04
Jayden,Reed,WR,,15,2024-12-15,Sun-Mon,GB,SEA,-2.5,46.5,24.5,6100,16,10.9,12.4,13.6,10.6,1.74
DeAndre,Hopkins,WR,,15,2024-12-15,Sun-Mon,KC,CLE,-4.5,43.5,24,5300,23,11.2,10.5,9.9,10.5,1.98
Elijah,Moore,WR,,15,2024-12-15,Sun-Mon,CLE,KC,+4.5,43.5,19.5,5000,15,11.6,9.2,8.5,10.5,2.10
Amari,Cooper,WR,,15,2024-12-15,Sun-Mon,BUF,DET,+2.5,54.5,26,5300,29,9.0,10.3,9.7,10.4,1.96
Tank,Bigsby,RB,,15,2024-12-15,Sun-Mon,JAX,NYJ,+3.5,40.5,18.5,5100,11,6.2,9.9,8.9,10.4,2.04
Zach,Ertz,TE,,15,2024-12-15,Sun-Mon,WAS,NO,-7.5,43.5,25.5,4000,11,11.1,10.5,10.0,10.4,2.60
Rome,Odunze,WR,,15,2024-12-16,Sun-Mon,CHI,MIN,+6.5,43.5,18.5,5300,32,10.3,9.5,9.9,10.3,1.94
Jaylen,Warren,RB,,15,2024-12-15,Sun-Mon,PIT,PHI,+5.5,43.5,19,5400,3,11.3,8.6,8.2,10.1,1.87
Xavier,Worthy,WR,,15,2024-12-15,Sun-Mon,KC,CLE,-4.5,43.5,24,5100,23,9.6,9.4,9.6,10.0,1.96
Cade,Otton,TE,,15,2024-12-15,Sun-Mon,TB,LAC,+2.5,45.5,21.5,4500,10,10.0,12.8,10.8,10.0,2.22
Christian,Watson,WR,,15,2024-12-15,Sun-Mon,GB,SEA,-2.5,46.5,24.5,5200,16,11.4,9.1,8.5,10.0,1.92
Javonte,Williams,RB,,15,2024-12-15,Sun-Mon,DEN,IND,-4.5,44.5,24.5,5200,28,8.3,10.9,10.0,9.9,1.90
Ravens,,DST,,15,2024-12-15,Sun-Mon,BAL,NYG,-16.5,43.5,30,3900,30,5.4,5.1,5.2,9.8,2.51
Romeo,Doubs,WR,Q,15,2024-12-15,Sun-Mon,GB,SEA,-2.5,46.5,24.5,4600,16,9.1,9.4,9.4,9.7,2.11
DeMario,Douglas,WR,,15,2024-12-15,Sun-Mon,NE,ARI,+5.5,46.5,20.5,4500,17,9.5,9.2,8.4,9.6,2.13
Gus,Edwards,RB,,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,5300,16,5.8,4.6,4.6,9.6,1.81
Quentin,Johnston,WR,,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,5000,24,8.4,10.9,10.6,9.6,1.92
Jake,Ferguson,TE,,15,2024-12-15,Sun-Mon,DAL,CAR,+2.5,42.5,20,3800,32,6.8,11.6,8.8,9.4,2.47
Xavier,Legette,WR,,15,2024-12-15,Sun-Mon,CAR,DAL,-2.5,42.5,22.5,4700,20,9.1,9.5,8.3,9.4,2.00
Ray-Ray,McCloud III,WR,,15,2024-12-16,Sun-Mon,ATL,LV,-4.5,44.5,24.5,4500,12,12.0,9.8,9.2,9.4,2.09
Travis,Etienne Jr.,RB,,15,2024-12-15,Sun-Mon,JAX,NYJ,+3.5,40.5,18.5,5600,11,7.3,8.3,8.7,9.2,1.64
Mark,Andrews,TE,,15,2024-12-15,Sun-Mon,BAL,NYG,-16.5,43.5,30,4100,2,12.4,12.2,10.3,9.2,2.24
Nick,Westbrook-Ikhine,WR,,15,2024-12-15,Sun-Mon,TEN,CIN,+5.5,46.5,20.5,4900,21,13.1,11.0,8.5,9.2,1.88
Tucker,Kraft,TE,,15,2024-12-15,Sun-Mon,GB,SEA,-2.5,46.5,24.5,4000,21,9.0,12.1,10.4,9.1,2.28
Devaughn,Vele,WR,,15,2024-12-15,Sun-Mon,DEN,IND,-4.5,44.5,24.5,4200,19,8.8,8.5,8.5,8.9,2.12
Jerome,Ford,RB,,15,2024-12-15,Sun-Mon,CLE,KC,+4.5,43.5,19.5,4900,1,5.6,7.0,8.1,8.8,1.80
Juwan,Johnson,TE,Q,15,2024-12-15,Sun-Mon,NO,WAS,+7.5,43.5,18,3400,12,9.2,7.8,6.8,8.7,2.56
Braelon,Allen,RB,,15,2024-12-15,Sun-Mon,NYJ,JAX,-3.5,40.5,22,5400,31,4.5,4.4,5.8,8.6,1.59
Chiefs,,DST,,15,2024-12-15,Sun-Mon,KC,CLE,-4.5,43.5,24,3700,31,3.6,4.9,5.3,8.5,2.30
Dalton,Kincaid,TE,Q,15,2024-12-15,Sun-Mon,BUF,DET,+2.5,54.5,26,4900,1,8.8,8.2,8.2,8.5,1.73
Dalton,Schultz,TE,,15,2024-12-15,Sun-Mon,HOU,MIA,-2.5,46.5,24.5,3300,20,8.8,7.8,6.9,8.5,2.58
Joshua,Palmer,WR,,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,4600,24,6.7,8.0,7.3,8.4,1.83
Vikings,,DST,,15,2024-12-16,Sun-Mon,MIN,CHI,-6.5,43.5,25,3300,25,8.6,9.0,10.6,8.4,2.55
Jets,,DST,,15,2024-12-15,Sun-Mon,NYJ,JAX,-3.5,40.5,22,3000,19,6.2,4.6,5.8,8.2,2.73
Will,Dissly,TE,Q,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,3700,27,7.7,7.8,7.0,8.2,2.22
Wan'Dale,Robinson,WR,,15,2024-12-15,Sun-Mon,NYG,BAL,+16.5,43.5,13.5,4600,30,6.8,9.5,10.0,8.1,1.76
Pat,Freiermuth,TE,,15,2024-12-15,Sun-Mon,PIT,PHI,+5.5,43.5,19,3900,9,11.3,9.8,9.2,8.1,2.08
Cardinals,,DST,,15,2024-12-15,Sun-Mon,ARI,NE,-5.5,46.5,26,3000,28,7.2,5.2,5.9,8.0,2.67
Marquez,Valdes-Scantling,WR,,15,2024-12-15,Sun-Mon,NO,WAS,+7.5,43.5,18,4500,18,13.6,7.0,6.6,8.0,1.78
Michael,Wilson,WR,,15,2024-12-15,Sun-Mon,ARI,NE,-5.5,46.5,26,4400,22,7.4,8.2,8.4,7.9,1.80
Kimani,Vidal,RB,,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,4800,16,2.1,4.0,4.0,7.9,1.65
Cole,Kmet,TE,,15,2024-12-16,Sun-Mon,CHI,MIN,+6.5,43.5,18.5,3800,14,5.9,7.3,8.2,7.9,2.08
Kyle,Pitts,TE,,15,2024-12-16,Sun-Mon,ATL,LV,-4.5,44.5,24.5,3900,29,3.2,8.0,8.1,7.7,1.97
Commanders,,DST,,15,2024-12-15,Sun-Mon,WAS,NO,-7.5,43.5,25.5,3400,21,4.6,6.7,5.3,7.7,2.26
Bengals,,DST,,15,2024-12-15,Sun-Mon,CIN,TEN,-5.5,46.5,26,3500,32,2.4,3.4,3.7,7.7,2.20
Nick,Chubb,RB,,15,2024-12-15,Sun-Mon,CLE,KC,+4.5,43.5,19.5,5500,1,9.2,11.1,8.7,7.6,1.38
Sterling,Shepard,WR,Q,15,2024-12-15,Sun-Mon,TB,LAC,+2.5,45.5,21.5,4000,11,7.6,7.1,6.5,7.6,1.90
Broncos,,DST,,15,2024-12-15,Sun-Mon,DEN,IND,-4.5,44.5,24.5,3200,20,9.0,10.2,9.9,7.5,2.34
Rashod,Bateman,WR,,15,2024-12-15,Sun-Mon,BAL,NYG,-16.5,43.5,30,4400,4,8.0,9.9,9.7,7.5,1.70
Kayshon,Boutte,WR,,15,2024-12-15,Sun-Mon,NE,ARI,+5.5,46.5,20.5,3500,17,6.1,6.5,6.0,7.4,2.11
Noah,Gray,TE,,15,2024-12-15,Sun-Mon,KC,CLE,-4.5,43.5,24,3200,24,12.2,9.0,7.6,7.4,2.31
Justice,Hill,RB,,15,2024-12-15,Sun-Mon,BAL,NYG,-16.5,43.5,30,4800,29,7.8,8.2,8.2,7.4,1.54
Keon,Coleman,WR,,15,2024-12-15,Sun-Mon,BUF,DET,+2.5,54.5,26,4800,29,12.0,9.6,9.6,7.3,1.52
Tre,Tucker,WR,,15,2024-12-16,Sun-Mon,LV,ATL,+4.5,44.5,20,4100,31,8.2,7.4,8.0,7.3,1.78
Chargers,,DST,,15,2024-12-15,Sun-Mon,LAC,TB,-2.5,45.5,24,2900,12,6.8,7.9,8.4,7.2,2.48
Falcons,,DST,,15,2024-12-16,Sun-Mon,ATL,LV,-4.5,44.5,24.5,3200,29,1.8,3.9,3.6,7.2,2.25
Eagles,,DST,,15,2024-12-15,Sun-Mon,PHI,PIT,-5.5,43.5,24.5,3100,10,8.4,8.0,7.0,7.2,2.32
Packers,,DST,,15,2024-12-15,Sun-Mon,GB,SEA,-2.5,46.5,24.5,3100,27,5.8,6.5,8.0,7.2,2.32
Parker,Washington,WR,,15,2024-12-15,Sun-Mon,JAX,NYJ,+3.5,40.5,18.5,4100,2,8.0,4.8,4.1,7.1,1.73
Tyler,Lockett,WR,,15,2024-12-15,Sun-Mon,SEA,GB,+2.5,46.5,22,4000,8,5.6,7.7,8.0,7.1,1.78
Marvin,Mims Jr.,WR,,15,2024-12-15,Sun-Mon,DEN,IND,-4.5,44.5,24.5,4000,19,10.4,6.1,5.0,7.0,1.75
Grant,Calcaterra,TE,,15,2024-12-15,Sun-Mon,PHI,PIT,-5.5,43.5,24.5,3500,18,2.1,4.3,3.8,7.0,2.00
Calvin,Austin III,WR,,15,2024-12-15,Sun-Mon,PIT,PHI,+5.5,43.5,19,3600,6,6.8,6.3,6.6,7.0,1.94
Noah,Fant,TE,,15,2024-12-15,Sun-Mon,SEA,GB,+2.5,46.5,22,3600,26,7.7,6.6,6.6,7.0,1.94
Tim,Patrick,WR,,15,2024-12-15,Sun-Mon,DET,BUF,-2.5,54.5,28.5,4300,13,8.8,6.9,6.2,6.9,1.60
Tyjae,Spears,RB,,15,2024-12-15,Sun-Mon,TEN,CIN,+5.5,46.5,20.5,4300,15,3.4,7.3,5.7,6.9,1.60
Kendrick,Bourne,WR,,15,2024-12-15,Sun-Mon,NE,ARI,+5.5,46.5,20.5,3600,17,7.9,7.6,5.8,6.8,1.89
Texans,,DST,,15,2024-12-15,Sun-Mon,HOU,MIA,-2.5,46.5,24.5,3300,23,11.0,9.0,8.6,6.7,2.03
Jaguars,,DST,,15,2024-12-15,Sun-Mon,JAX,NYJ,+3.5,40.5,18.5,2700,22,5.6,5.1,4.3,6.7,2.48
Brenton,Strange,TE,,15,2024-12-15,Sun-Mon,JAX,NYJ,+3.5,40.5,18.5,2500,6,2.3,4.2,4.7,6.7,2.68
Jalen,McMillan,WR,,15,2024-12-15,Sun-Mon,TB,LAC,+2.5,45.5,21.5,3700,11,8.7,6.5,6.5,6.7,1.81
Alec,Pierce,WR,,15,2024-12-15,Sun-Mon,IND,DEN,+4.5,44.5,20,4800,14,10.0,8.3,10.0,6.6,1.38
Jaleel,McLaughlin,RB,,15,2024-12-15,Sun-Mon,DEN,IND,-4.5,44.5,24.5,4700,28,4.4,6.0,5.8,6.5,1.38
