Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
1,13593,"Jackson, Lamar",BAL,@LAC,QB,254.0,2.0,49.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,23.8
2,14783,"Hurts, Jalen",PHI,@LAR,QB,193.0,1.1,41.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,20.7
3,13130,"McCaffrey, Christian",SFO,@GBP,RB,0.0,0.0,82.0,0.6,3.8,32.0,0.2,0.0,0.0,0.0,20.2
4,15287,"St. Brown, Amon-Ra",DET,@IND,WR,0.0,0.0,0.0,0.0,6.9,81.0,0.8,0.0,0.0,0.0,19.8
5,13131,"Mixon, Joe",HOU,TEN,RB,0.0,0.0,77.0,0.9,2.6,26.0,0.2,0.0,0.0,0.0,19.8
6,16162,"Gibbs, Jahmyr",DET,@IND,RB,0.0,0.0,80.0,0.9,2.6,25.0,0.1,0.0,0.0,0.0,18.8
7,16582,"Nix, Bo",DEN,@LVR,QB,223.0,1.5,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,18.7
8,14779,"Herbert, Justin",LAC,BAL,QB,260.0,1.5,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,18.6
9,16167,"Achane, De'Von",MIA,NEP,RB,0.0,0.0,64.0,0.5,4.3,32.0,0.3,0.0,0.0,0.0,18.5
10,16581,"Daniels, Jayden",WAS,DAL,QB,229.0,1.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,18.3
11,13116,"Mahomes, Patrick",KCC,@CAR,QB,253.0,1.7,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.3
12,14056,"Murray, Kyler",ARI,@SEA,QB,212.0,1.2,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.2
13,15290,"Collins, Nico",HOU,TEN,WR,0.0,0.0,0.0,0.0,5.8,88.0,0.5,0.0,0.0,0.0,18.1
14,13590,"Mayfield, Baker",TBB,@NYG,QB,217.0,1.9,15.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.7
15,14836,"Jefferson, Justin",MIN,@CHI,WR,0.0,0.0,0.1,0.0,6.1,88.0,0.4,0.0,0.0,0.0,17.6
16,14782,"Love, Jordan",GBP,SFO,QB,225.0,1.7,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.5
17,10703,"Wilson, Russell",PIT,@CLE,QB,218.0,1.3,13.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17.4
18,14832,"Lamb, CeeDee",DAL,@WAS,WR,0.0,0.0,5.0,0.0,6.4,75.0,0.4,0.0,0.0,0.0,17.3
19,12611,"Goff, Jared",DET,@IND,QB,251.0,1.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2
20,13604,"Barkley, Saquon",PHI,@LAR,RB,0.0,0.0,88.0,0.6,2.0,18.0,0.2,0.0,0.0,0.0,17.1
21,15698,"Purdy, Brock",SFO,@GBP,QB,216.0,1.2,22.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,16.3
22,14104,"Brown, A.J.",PHI,@LAR,WR,0.0,0.0,0.0,0.0,5.6,84.0,0.4,0.0,0.0,0.0,16.3
23,12801,"Hill, Tyreek",MIA,NEP,WR,0.0,0.0,3.0,0.0,5.5,74.0,0.5,0.0,0.0,0.0,16.2
24,15762,"Pickens, George",PIT,@CLE,WR,0.0,0.0,0.0,0.0,5.4,87.0,0.3,0.0,0.0,0.0,16.1
25,15711,"Walker III, Kenneth",SEA,ARI,RB,0.0,0.0,63.0,0.7,3.1,22.0,0.1,0.0,0.0,0.0,16.0
26,14071,"Montgomery, David",DET,@IND,RB,0.0,0.0,65.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,16.0
27,12626,"Henry, Derrick",BAL,@LAC,RB,0.0,0.0,80.0,0.9,0.9,9.0,0.1,0.0,0.0,0.0,16.0
28,13164,"Kupp, Cooper",LAR,PHI,WR,0.0,0.0,0.0,0.0,6.0,70.0,0.4,0.0,0.0,0.0,15.8
29,11150,"Smith, Geno",SEA,ARI,QB,239.0,1.1,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.8
30,16150,"Stroud, C.J.",HOU,TEN,QB,249.0,1.2,15.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.7
31,13146,"Conner, James",ARI,@SEA,RB,0.0,0.0,65.0,0.6,2.8,24.0,0.1,0.0,0.0,0.0,15.6
32,16615,"Nabers, Malik",NYG,TBB,WR,0.0,0.0,0.0,0.0,6.5,65.0,0.4,0.0,0.0,0.0,15.5
33,13629,"Ridley, Calvin",TEN,@HOU,WR,0.0,0.0,1.0,0.1,4.9,72.0,0.5,0.0,0.0,0.0,15.3
34,16190,"Flowers, Zay",BAL,@LAC,WR,0.0,0.0,3.0,0.0,4.9,69.0,0.4,0.0,0.0,0.0,15.1
35,16211,"Nacua, Puka",LAR,PHI,WR,0.0,0.0,3.0,0.0,6.0,71.0,0.3,0.0,0.0,0.0,15.0
36,15721,"White, Rachaad",TBB,@NYG,RB,0.0,0.0,44.0,0.2,3.9,30.0,0.4,0.0,0.0,0.0,15.0
37,15710,"Williams, Kyren",LAR,PHI,RB,0.0,0.0,69.0,0.7,2.1,12.0,0.1,0.0,0.0,0.0,15.0
38,11244,"Kelce, Travis",KCC,@CAR,TE,0.0,0.0,0.0,0.0,6.9,62.0,0.3,0.0,0.0,0.0,15.0
