PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Justin Herbert,QB,LAC,NO,-351,40.50,-7.50,24.00,5400,16.11,3.0,32.7,3.2,0.0,3.2,6.6
Bo Nix,QB,DEN,CAR,-535,41.50,-10.50,26.00,5600,16.65,3.0,32.7,4.2,0.0,4.2,6.6
Matthew Stafford,QB,LAR,MIN,124,48.00,3.00,22.50,5500,15.80,2.9,33.1,0.9,0.0,0.9,6.2
Jalen McMillan,WR,TB,ATL,120,46.00,2.50,21.75,3700,10.72,2.9,0.0,0.3,6.4,6.7,1.8
Brock Purdy,QB,SF,DAL,-201,46.00,-4.00,25.00,6300,18.14,2.9,28.6,2.3,0.0,2.3,4.9
Aaron Rodgers,QB,NYJ,NE,-335,41.00,-7.00,24.00,5700,16.47,2.9,32.1,1.9,0.0,1.9,6.0
Kyler Murray,QB,ARI,MIA,153,46.00,3.50,21.25,6400,18.41,2.9,29.9,7.0,0.0,7.0,5.8
Mason Rudolph,QB,TEN,DET,483,45.00,11.50,16.75,4400,12.64,2.9,34.3,2.5,0.0,2.5,8.4
Cade Otton,TE,TB,ATL,120,46.00,2.50,21.75,3500,9.99,2.8,0.0,0.0,5.9,5.9,1.7
Anthony Richardson,QB,IND,HOU,191,46.00,5.00,20.50,5800,16.52,2.8,28.1,7.0,0.0,7.0,6.1
Trevor Lawrence,QB,JAX,GB,170,49.50,4.00,22.75,5600,15.83,2.8,32.0,3.0,0.0,3.0,6.3
Geno Smith,QB,SEA,BUF,136,47.00,3.00,22.00,5900,16.35,2.8,33.2,2.8,0.0,2.8,6.1
Sam Darnold,QB,MIN,LAR,-148,48.00,-3.00,25.50,6200,17.47,2.8,34.4,2.7,0.0,2.7,6.0
Daniel Jones,QB,NYG,PIT,216,36.50,6.00,15.25,5300,14.64,2.8,34.1,4.9,0.0,4.9,7.4
Caleb Williams,QB,CHI,WAS,-149,43.00,-3.00,23.00,6000,17.11,2.8,32.1,4.0,0.0,4.0,6.0
Jordan Love,QB,GB,JAX,-207,49.50,-4.00,26.75,7100,18.85,2.7,31.9,2.6,0.0,2.6,4.9
Tua Tagovailoa,QB,MIA,ARI,-185,46.00,-3.50,24.75,6100,16.28,2.7,30.8,1.9,0.0,1.9,5.4
Joe Burrow,QB,CIN,PHI,-143,48.00,-3.00,25.50,7000,19.16,2.7,34.3,3.2,0.0,3.2,5.4
Tyreek Hill,WR,MIA,ARI,-185,46.00,-3.50,24.75,7000,19.08,2.7,0.0,0.3,9.5,9.8,1.4
Kirk Cousins,QB,ATL,TB,-143,46.00,-2.50,24.25,6200,16.46,2.7,31.9,1.7,0.0,1.7,5.4
Spencer Rattler,QB,NO,LAC,276,40.50,7.50,16.50,4600,12.20,2.7,32.5,4.7,0.0,4.7,8.1
Lamar Jackson,QB,BAL,CLE,-441,44.50,-8.50,26.50,8000,21.68,2.7,27.3,8.9,0.0,8.9,4.5
Jayden Daniels,QB,WAS,CHI,123,43.00,3.00,20.00,7300,19.15,2.6,28.2,9.1,0.0,9.1,5.1
Devaughn Vele,WR,DEN,CAR,-535,41.50,-10.50,26.00,3400,8.81,2.6,0.0,0.0,5.0,5.0,1.5
Josh Allen,QB,BUF,SEA,-163,47.00,-3.00,25.00,7800,20.37,2.6,32.9,4.2,0.0,4.2,4.8
Jared Goff,QB,DET,TEN,-673,45.00,-11.50,28.25,6600,16.83,2.6,28.0,1.5,0.0,1.5,4.5
Jaylen Waddle,WR,MIA,ARI,-185,46.00,-3.50,24.75,5400,13.77,2.6,0.0,0.2,7.2,7.4,1.4
Jalen Hurts,QB,PHI,CIN,119,48.00,3.00,22.50,7500,19.45,2.6,29.0,8.9,0.0,8.9,5.1
Patrick Mahomes,QB,KC,LV,-467,41.50,-9.50,25.50,6800,16.90,2.5,34.0,4.1,0.0,4.1,5.6
Dak Prescott,QB,DAL,SF,166,46.00,4.00,21.00,6500,15.94,2.5,33.1,3.2,0.0,3.2,5.6
C.J. Stroud,QB,HOU,IND,-235,46.00,-5.00,25.50,6900,17.04,2.5,34.4,2.7,0.0,2.7,5.4
Jameis Winston,QB,CLE,BAL,342,44.50,8.50,18.00,5200,13.13,2.5,31.1,2.1,0.0,2.1,6.4
Drake Maye,QB,NE,NYJ,266,41.00,7.00,17.00,5500,13.71,2.5,30.4,5.8,0.0,5.8,6.6
Los Angeles Chargers,D,LAC,NO,-351,40.50,-7.50,24.00,3300,8.23,2.5,0.0,0.0,0.0,0.0,0.0
Breece Hall,RB,NYJ,NE,-335,41.00,-7.00,24.00,7300,18.34,2.5,0.0,16.9,4.4,21.3,2.9
Baker Mayfield,QB,TB,ATL,120,46.00,2.50,21.75,6700,15.87,2.4,34.4,3.2,0.0,3.2,5.6
New York Giants,D,NYG,PIT,216,36.50,6.00,15.25,2500,5.97,2.4,0.0,0.0,0.0,0.0,0.0
Jakobi Meyers,WR,LV,KC,356,41.50,9.50,16.00,5400,12.81,2.4,0.1,0.4,8.5,8.9,1.7
Gardner Minshew,QB,LV,KC,356,41.50,9.50,16.00,4800,11.56,2.4,31.6,2.1,0.0,2.1,7.0
Carolina Panthers,D,CAR,DEN,393,41.50,10.50,15.50,2300,5.60,2.4,0.0,0.0,0.0,0.0,0.0
Lucas Krull,TE,DEN,CAR,-535,41.50,-10.50,26.00,2700,6.40,2.4,0.0,0.0,3.7,3.7,1.4
D'Andre Swift,RB,CHI,WAS,-149,43.00,-3.00,23.00,6200,14.62,2.4,0.0,14.8,3.9,18.7,3.0
De'Von Achane,RB,MIA,ARI,-185,46.00,-3.50,24.75,6200,14.81,2.4,0.0,10.4,4.8,15.2,2.5
Ladd McConkey,WR,LAC,NO,-351,40.50,-7.50,24.00,5100,12.10,2.4,0.0,0.1,6.9,7.0,1.4
Pittsburgh Steelers,D,PIT,NYG,-269,36.50,-6.00,21.25,3500,8.33,2.4,0.0,0.0,0.0,0.0,0.0
Kansas City Chiefs,D,KC,LV,-467,41.50,-9.50,25.50,3600,8.14,2.3,0.0,0.0,0.0,0.0,0.0
New England Patriots,D,NE,NYJ,266,41.00,7.00,17.00,2500,5.70,2.3,0.0,0.0,0.0,0.0,0.0
Denver Broncos,D,DEN,CAR,-535,41.50,-10.50,26.00,3700,8.33,2.3,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,WR,DEN,CAR,-535,41.50,-10.50,26.00,5300,12.12,2.3,0.0,0.1,7.0,7.1,1.3
Amari Cooper,WR,BUF,SEA,-163,47.00,-3.00,25.00,6000,13.94,2.3,0.0,0.1,7.1,7.2,1.2
Jacksonville Jaguars,D,JAX,GB,170,49.50,4.00,22.75,2300,5.20,2.3,0.0,0.0,0.0,0.0,0.0
Bijan Robinson,RB,ATL,TB,-143,46.00,-2.50,24.25,7200,16.77,2.3,0.0,15.1,4.5,19.6,2.7
Cleveland Browns,D,CLE,BAL,342,44.50,8.50,18.00,2400,5.39,2.3,0.0,0.0,0.0,0.0,0.0
Aaron Jones,RB,MIN,LAR,-148,48.00,-3.00,25.50,6600,15.25,2.3,0.0,14.7,3.7,18.4,2.8
Baltimore Ravens,D,BAL,CLE,-441,44.50,-8.50,26.50,3400,7.95,2.3,0.0,0.0,0.0,0.0,0.0
Trey McBride,TE,ARI,MIA,153,46.00,3.50,21.25,5500,12.38,2.3,0.0,0.0,7.4,7.4,1.3
Evan Engram,TE,JAX,GB,170,49.50,4.00,22.75,5000,11.00,2.2,0.0,0.0,6.6,6.6,1.3
Davante Adams,WR,NYJ,NE,-335,41.00,-7.00,24.00,7100,15.38,2.2,0.0,0.1,8.7,8.8,1.2
Russell Wilson,QB,PIT,NYG,-269,36.50,-6.00,21.25,5900,12.76,2.2,26.5,3.1,0.0,3.1,5.0
Jerry Jeudy,WR,CLE,BAL,342,44.50,8.50,18.00,4800,10.30,2.2,0.0,0.1,6.8,6.9,1.4
Hunter Henry,TE,NE,NYJ,266,41.00,7.00,17.00,3800,8.29,2.2,0.0,0.0,5.3,5.3,1.4
Amon-Ra St. Brown,WR,DET,TEN,-673,45.00,-11.50,28.25,8400,18.06,2.2,0.0,0.4,9.2,9.6,1.1
Ja'Tavion Sanders,TE,CAR,DEN,393,41.50,10.50,15.50,3100,6.82,2.2,0.0,0.0,4.3,4.3,1.4
Josh Jacobs,RB,GB,JAX,-207,49.50,-4.00,26.75,6600,14.61,2.2,0.0,14.8,3.0,17.8,2.7
George Kittle,TE,SF,DAL,-201,46.00,-4.00,25.00,5800,12.96,2.2,0.0,0.1,5.9,6.0,1.0
New York Jets,D,NYJ,NE,-335,41.00,-7.00,24.00,3500,7.60,2.2,0.0,0.0,0.0,0.0,0.0
Atlanta Falcons,D,ATL,TB,-143,46.00,-2.50,24.25,2600,5.80,2.2,0.0,0.0,0.0,0.0,0.0
Garrett Wilson,WR,NYJ,NE,-335,41.00,-7.00,24.00,6700,14.98,2.2,0.0,0.3,8.2,8.5,1.3
Bryce Young,QB,CAR,DEN,393,41.50,10.50,15.50,4900,10.86,2.2,29.5,2.2,0.0,2.2,6.5
Seattle Seahawks,D,SEA,BUF,136,47.00,3.00,22.00,2500,5.41,2.2,0.0,0.0,0.0,0.0,0.0
Kareem Hunt,RB,KC,LV,-467,41.50,-9.50,25.50,6300,13.74,2.2,0.0,17.1,1.8,18.9,3.0
Drake London,WR,ATL,TB,-143,46.00,-2.50,24.25,7200,15.84,2.2,0.0,0.1,8.5,8.6,1.2
Tee Higgins,WR,CIN,PHI,-143,48.00,-3.00,25.50,6500,14.48,2.2,0.0,0.1,7.7,7.8,1.2
Dallas Cowboys,D,DAL,SF,166,46.00,4.00,21.00,2400,5.25,2.2,0.0,0.0,0.0,0.0,0.0
Chicago Bears,D,CHI,WAS,-149,43.00,-3.00,23.00,2700,6.03,2.2,0.0,0.0,0.0,0.0,0.0
Dalton Kincaid,TE,BUF,SEA,-163,47.00,-3.00,25.00,4900,10.04,2.1,0.0,0.0,5.5,5.5,1.1
Quentin Johnston,WR,LAC,NO,-351,40.50,-7.50,24.00,4500,9.29,2.1,0.0,0.1,5.4,5.5,1.2
George Pickens,WR,PIT,NYG,-269,36.50,-6.00,21.25,6300,13.40,2.1,0.0,0.1,7.2,7.3,1.2
Jahmyr Gibbs,RB,DET,TEN,-673,45.00,-11.50,28.25,7400,15.69,2.1,0.0,11.7,4.1,15.8,2.1
Brian Thomas,WR,JAX,GB,170,49.50,4.00,22.75,6400,13.52,2.1,0.0,0.1,7.5,7.6,1.2
DeAndre Hopkins,WR,KC,LV,-467,41.50,-9.50,25.50,4900,10.07,2.1,0.0,0.2,6.4,6.6,1.3
Detroit Lions,D,DET,TEN,-673,45.00,-11.50,28.25,3800,8.07,2.1,0.0,0.0,0.0,0.0,0.0
Joe Mixon,RB,HOU,IND,-235,46.00,-5.00,25.50,7700,16.12,2.1,0.0,15.8,3.5,19.3,2.5
Chris Olave,WR,NO,LAC,276,40.50,7.50,16.50,6400,13.66,2.1,0.0,0.1,8.6,8.7,1.4
