Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
1,14777,"Burrow, Joe",CIN,@DAL,QB,300.0,2.5,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,26.1
2,13604,"Barkley, Saquon",PHI,CAR,RB,0.0,0.0,117.0,0.8,2.5,23.0,0.2,0.0,0.0,0.0,25.5
3,14783,"Hurts, Jalen",PHI,CAR,QB,225.0,1.3,37.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,23.6
4,15281,"Chase, Ja'Marr",CIN,@DAL,WR,0.0,0.0,1.0,0.0,6.8,92.0,0.9,0.0,0.0,0.0,21.6
5,13589,"Allen, Josh",BUF,@LAR,QB,221.0,1.5,30.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,21.0
6,13132,"Kamara, Alvin",NOS,@NYG,RB,0.0,0.0,81.0,0.4,5.9,41.0,0.1,0.0,0.0,0.0,21.0
7,14832,"Lamb, CeeDee",DAL,CIN,WR,0.0,0.0,6.0,0.1,7.6,87.0,0.4,0.0,0.0,0.0,19.9
8,10703,"Wilson, Russell",PIT,CLE,QB,258.0,1.6,12.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,19.2
9,14778,"Tagovailoa, Tua",MIA,NYJ,QB,273.0,1.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4
10,14836,"Jefferson, Justin",MIN,ATL,WR,0.0,0.0,0.1,0.0,6.4,95.0,0.4,0.0,0.0,0.0,18.3
11,13590,"Mayfield, Baker",TBB,LVR,QB,234.0,1.8,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.9
12,13116,"Mahomes, Patrick",KCC,LAC,QB,247.0,1.6,22.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.9
13,16167,"Achane, De'Von",MIA,NYJ,RB,0.0,0.0,52.0,0.4,4.2,31.0,0.5,0.0,0.0,0.0,17.7
14,16162,"Gibbs, Jahmyr",DET,GBP,RB,0.0,0.0,76.0,0.8,2.5,22.0,0.1,0.0,0.0,0.0,17.6
15,15698,"Purdy, Brock",SFO,CHI,QB,236.0,1.3,20.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,17.4
16,13124,"Rush, Cooper",DAL,CIN,QB,267.0,1.6,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.4
17,15287,"St. Brown, Amon-Ra",DET,GBP,WR,0.0,0.0,0.0,0.0,6.1,72.0,0.6,0.0,0.0,0.0,17.2
18,13592,"Darnold, Sam",MIN,ATL,QB,231.0,1.7,14.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.2
19,14779,"Herbert, Justin",LAC,@KCC,QB,231.0,1.2,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.1
20,14782,"Love, Jordan",GBP,@DET,QB,219.0,1.7,12.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,16.9
21,14056,"Murray, Kyler",ARI,SEA,QB,210.0,1.0,34.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,16.9
22,15710,"Williams, Kyren",LAR,BUF,RB,0.0,0.0,79.0,0.8,2.1,12.0,0.1,0.0,0.0,0.0,16.7
23,15762,"Pickens, George",PIT,CLE,WR,0.0,0.0,0.0,0.0,5.3,86.0,0.4,0.0,0.0,0.0,16.2
24,13635,"Moore, D.J.",CHI,@SFO,WR,0.0,0.0,2.0,0.0,6.0,70.0,0.5,0.0,0.0,0.0,16.2
25,16579,"Williams, Caleb",CHI,@SFO,QB,198.0,1.1,37.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,16.1
26,14127,"Meyers, Jakobi",LVR,@TBB,WR,0.0,0.0,2.0,0.1,6.2,74.0,0.3,0.0,0.0,0.0,16.1
27,12611,"Goff, Jared",DET,GBP,QB,236.0,1.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9
28,16615,"Nabers, Malik",NYG,NOS,WR,0.0,0.0,1.0,0.0,7.0,71.0,0.3,0.0,0.0,0.0,15.8
29,16161,"Robinson, Bijan",ATL,@MIN,RB,0.0,0.0,61.0,0.4,3.6,28.0,0.1,0.0,0.0,0.0,15.8
30,12801,"Hill, Tyreek",MIA,NYJ,WR,0.0,0.0,2.0,0.0,5.5,72.0,0.5,0.0,0.0,0.0,15.8
31,16618,"Thomas Jr., Brian",JAC,@TEN,WR,0.0,0.0,3.0,0.0,4.3,70.0,0.6,0.0,0.0,0.0,15.6
32,16598,"Irving, Bucky",TBB,LVR,RB,0.0,0.0,65.0,0.6,3.0,25.0,0.0,0.0,0.0,0.0,15.6
33,16181,"Brown, Chase",CIN,@DAL,RB,0.0,0.0,55.0,0.5,3.6,24.0,0.2,0.0,0.0,0.0,15.6
34,14085,"Pollard, Tony",TEN,JAC,RB,0.0,0.0,76.0,0.4,3.5,20.0,0.0,0.0,0.0,0.0,15.6
35,16641,"Bowers, Brock",LVR,@TBB,TE,0.0,0.0,1.0,0.0,6.4,69.0,0.3,0.0,0.0,0.0,15.5
36,15751,"London, Drake",ATL,@MIN,WR,0.0,0.0,-0.2,0.0,6.0,74.0,0.4,0.0,0.0,0.0,15.5
37,14833,"Jeudy, Jerry",CLE,@PIT,WR,0.0,0.0,0.0,0.0,4.9,84.0,0.3,0.0,0.0,0.0,15.5
38,16627,"McConkey, Ladd",LAC,@KCC,WR,0.0,0.0,0.0,0.0,5.4,78.0,0.4,0.0,0.0,0.0,15.4
39,16149,"Levis, Will",TEN,JAC,QB,229.0,1.4,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,15.4
40,15715,"Cook, James",BUF,@LAR,RB,0.0,0.0,63.0,0.7,2.5,21.0,0.1,0.0,0.0,0.0,15.4
41,13629,"Ridley, Calvin",TEN,JAC,WR,0.0,0.0,1.0,0.1,4.9,75.0,0.4,0.0,0.0,0.0,15.2
42,16184,"Reed, Jayden",GBP,@DET,WR,0.0,0.0,6.0,0.1,4.3,63.0,0.6,0.0,0.0,0.0,15.1
43,14071,"Montgomery, David",DET,GBP,RB,0.0,0.0,62.0,0.8,2.0,19.0,0.0,0.0,0.0,0.0,15.1
44,16159,"O'Connell, Aidan",LVR,@TBB,QB,248.0,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
45,13164,"Kupp, Cooper",LAR,BUF,WR,0.0,0.0,0.0,0.0,5.7,65.0,0.5,0.0,0.0,0.0,15.0
46,12140,"Winston, Jameis",CLE,@PIT,QB,210.0,1.3,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,14.8
47,16211,"Nacua, Puka",LAR,BUF,WR,0.0,0.0,3.0,0.0,5.5,73.0,0.3,0.0,0.0,0.0,14.6
48,13146,"Conner, James",ARI,SEA,RB,0.0,0.0,67.0,0.4,2.8,23.0,0.0,0.0,0.0,0.0,14.6
49,11232,"Hopkins, DeAndre",KCC,LAC,WR,0.0,0.0,1.0,0.1,4.9,62.0,0.5,0.0,0.0,0.0,14.5
50,16186,"Addison, Jordan",MIN,ATL,WR,0.0,0.0,1.0,0.1,4.3,64.0,0.5,0.0,0.0,0.0,14.4
51,14104,"Brown, A.J.",PHI,CAR,WR,0.0,0.0,0.0,0.0,4.9,74.0,0.4,0.0,0.0,0.0,14.4
52,11675,"Adams, Davante",NYJ,@MIA,WR,0.0,0.0,0.0,0.0,5.6,62.0,0.4,0.0,0.0,0.0,14.4
53,11150,"Smith, Geno",SEA,@ARI,QB,220.0,1.0,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,14.4
54,15708,"Hall, Breece",NYJ,@MIA,RB,0.0,0.0,53.0,0.2,3.5,29.0,0.2,0.0,0.0,0.0,14.3
55,14835,"Higgins, Tee",CIN,@DAL,WR,0.0,0.0,0.0,0.0,4.6,64.0,0.6,0.0,0.0,0.0,14.3
56,14073,"Jacobs, Josh",GBP,@DET,RB,0.0,0.0,65.0,0.6,2.0,19.0,0.1,0.0,0.0,0.0,14.1
57,11671,"Evans, Mike",TBB,LVR,WR,0.0,0.0,1.0,0.0,4.3,59.0,0.6,0.0,0.0,0.0,14.1
58,15794,"McBride, Trey",ARI,SEA,TE,0.0,0.0,0.0,0.1,6.4,68.0,0.1,0.0,0.0,0.0,14.0
59,14797,"Swift, D'Andre",CHI,@SFO,RB,0.0,0.0,64.0,0.4,2.6,24.0,0.0,0.0,0.0,0.0,13.9
60,16688,"Guerendo, Isaac",SFO,CHI,RB,0.0,0.0,65.0,0.4,2.5,21.0,0.1,0.0,0.0,0.0,13.8
61,15241,"Jones, Mac",JAC,@TEN,QB,215.0,1.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,13.8
62,11644,"Carr, Derek",NOS,@NYG,QB,205.0,1.3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8
63,15711,"Walker III, Kenneth",SEA,@ARI,RB,0.0,0.0,54.0,0.5,2.7,21.0,0.1,0.0,0.0,0.0,13.7
64,14136,"Samuel, Deebo",SFO,CHI,WR,0.0,0.0,7.0,0.1,4.3,63.0,0.3,0.0,0.0,0.0,13.5
65,16185,"Smith-Njigba, Jaxon",SEA,@ARI,WR,0.0,0.0,1.0,0.0,5.1,61.0,0.3,0.0,0.0,0.0,13.4
66,14860,"Jennings, Jauan",SFO,CHI,WR,0.0,0.0,4.0,0.0,4.6,61.0,0.3,0.0,0.0,0.0,13.3
67,15254,"Harris, Najee",PIT,CLE,RB,0.0,0.0,64.0,0.5,2.1,16.0,0.0,0.0,0.0,0.0,13.1
68,13299,"Kittle, George",SFO,CHI,TE,0.0,0.0,0.0,0.0,4.2,59.0,0.5,0.0,0.0,0.0,13.1
69,13319,"Jones, Aaron",MIN,ATL,RB,0.0,0.0,63.0,0.2,2.6,20.0,0.1,0.0,0.0,0.0,13.0
70,7836,"Rodgers, Aaron",NYJ,@MIA,QB,196.0,1.3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
71,10700,"Cousins, Kirk",ATL,@MIN,QB,225.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9
72,9431,"Stafford, Matthew",LAR,BUF,QB,210.0,1.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9
73,16747,"Tracy, Tyrone",NYG,NOS,RB,0.0,0.0,58.0,0.5,2.4,18.0,0.0,0.0,0.0,0.0,12.7
74,15761,"Shakir, Khalil",BUF,@LAR,WR,0.0,0.0,1.0,0.0,5.7,62.0,0.1,0.0,0.0,0.0,12.7
75,13193,"Smith, Jonnu",MIA,NYJ,TE,0.0,0.0,-0.1,0.0,5.2,58.0,0.3,0.0,0.0,0.0,12.7
76,15284,"Waddle, Jaylen",MIA,NYJ,WR,0.0,0.0,1.0,0.0,4.5,62.0,0.2,0.0,0.0,0.0,12.5
77,16614,"Harrison Jr., Marvin",ARI,SEA,WR,0.0,0.0,0.0,0.0,3.9,53.0,0.5,0.0,0.0,0.0,12.4
78,15749,"Pacheco, Isiah",KCC,LAC,RB,0.0,0.0,52.0,0.5,2.5,17.0,0.1,0.0,0.0,0.0,12.4
79,14102,"Metcalf, DK",SEA,@ARI,WR,0.0,0.0,0.0,0.0,4.0,65.0,0.3,0.0,0.0,0.0,12.4
80,15253,"Etienne, Travis",JAC,@TEN,RB,0.0,0.0,48.0,0.4,3.0,18.0,0.0,0.0,0.0,0.0,12.3
81,14823,"Dowdle, Rico",DAL,CIN,RB,0.0,0.0,56.0,0.2,2.7,15.0,0.2,0.0,0.0,0.0,12.3
82,16441,"DeVito, Tommy",NYG,NOS,QB,165.0,0.6,30.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.2
83,15753,"Wilson, Garrett",NYJ,@MIA,WR,0.0,0.0,0.0,0.0,5.3,54.0,0.3,0.0,0.0,0.0,12.2
84,11222,"Allen, Keenan",CHI,@SFO,WR,0.0,0.0,0.0,0.0,4.8,50.0,0.4,0.0,0.0,0.0,12.1
85,15721,"White, Rachaad",TBB,LVR,RB,0.0,0.0,34.0,0.1,3.3,30.0,0.3,0.0,0.0,0.0,12.0
86,15261,"Hubbard, Chuba",CAR,@PHI,RB,0.0,0.0,61.0,0.5,2.0,9.0,0.0,0.0,0.0,0.0,12.0
87,13610,"Chubb, Nick",CLE,@PIT,RB,0.0,0.0,52.0,0.4,2.0,13.0,0.2,0.0,0.0,0.0,12.0
88,11938,"Thielen, Adam",CAR,@PHI,WR,0.0,0.0,1.0,0.0,4.5,52.0,0.4,0.0,0.0,0.0,11.8
89,14974,"Mooney, Darnell",ATL,@MIN,WR,0.0,0.0,0.1,0.0,4.1,58.0,0.3,0.0,0.0,0.0,11.7
90,13192,"Njoku, David",CLE,@PIT,TE,0.0,0.0,0.0,0.0,4.8,44.0,0.4,0.0,0.0,0.0,11.7
91,11244,"Kelce, Travis",KCC,LAC,TE,0.0,0.0,0.0,0.0,5.5,51.0,0.2,0.0,0.0,0.0,11.7
92,13189,"Engram, Evan",JAC,@TEN,TE,0.0,0.0,0.0,0.0,5.8,47.0,0.2,0.0,0.0,0.0,11.6
93,15802,"Otton, Cade",TBB,LVR,TE,0.0,0.0,-0.2,0.0,4.7,44.0,0.3,0.0,0.0,0.0,11.2
94,16214,"LaPorta, Sam",DET,GBP,TE,0.0,0.0,0.1,0.0,3.7,41.0,0.5,0.0,0.0,0.0,11.0
95,16148,"Young, Bryce",CAR,@PHI,QB,166.0,0.8,16.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,11.0
96,12175,"Cooper, Amari",BUF,@LAR,WR,0.0,0.0,0.0,0.0,3.8,50.0,0.4,0.0,0.0,0.0,11.0
97,11674,"Cooks, Brandin",DAL,CIN,WR,0.0,0.0,1.0,0.0,3.4,39.0,0.6,0.0,0.0,0.0,10.9
98,15757,"Robinson, Wan'Dale",NYG,NOS,WR,0.0,0.0,2.0,0.0,5.3,41.0,0.2,0.0,0.0,0.0,10.6
99,15109,"Westbrook-Ikhine, Nick",TEN,JAC,WR,0.0,0.0,0.0,0.0,2.5,40.0,0.7,0.0,0.0,0.0,10.6
100,16287,"Tucker, Tre",LVR,@TBB,WR,0.0,0.0,4.0,0.1,3.6,47.0,0.2,0.0,0.0,0.0,10.4
101,14223,"Mattison, Alexander",LVR,@TBB,RB,0.0,0.0,39.0,0.2,2.5,21.0,0.1,0.0,0.0,0.0,10.4
102,15799,"Ferguson, Jake",DAL,CIN,TE,0.0,0.0,0.0,0.0,4.8,45.0,0.2,0.0,0.0,0.0,10.2
103,13138,"Hunt, Kareem",KCC,LAC,RB,0.0,0.0,50.0,0.4,1.7,12.0,0.0,0.0,0.0,0.0,10.2
104,14138,"Hockenson, T.J.",MIN,ATL,TE,0.0,0.0,0.0,0.0,4.4,45.0,0.2,0.0,0.0,0.0,10.1
105,16620,"Worthy, Xavier",KCC,LAC,WR,0.0,0.0,3.0,0.1,3.2,39.0,0.3,0.0,0.0,0.0,9.9
106,15282,"Smith, DeVonta",PHI,CAR,WR,0.0,0.0,0.0,0.0,3.5,45.0,0.3,0.0,0.0,0.0,9.9
107,15789,"Watson, Christian",GBP,@DET,WR,0.0,0.0,4.0,0.0,2.9,46.0,0.3,0.0,0.0,0.0,9.8
108,13674,"Goedert, Dallas",PHI,CAR,TE,0.0,0.0,0.0,0.0,4.1,43.0,0.2,0.0,0.0,0.0,9.8
109,510,"Steelers, Pittsburgh",PIT,CLE,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,9.7
110,16188,"Johnston, Quentin",LAC,@KCC,WR,0.0,0.0,1.0,0.0,2.9,41.0,0.4,0.0,0.0,0.0,9.6
111,15742,"Warren, Jaylen",PIT,CLE,RB,0.0,0.0,38.0,0.2,2.8,21.0,0.0,0.0,0.0,0.0,9.6
112,15788,"Tolbert, Jalen",DAL,CIN,WR,0.0,0.0,0.0,0.0,3.3,39.0,0.4,0.0,0.0,0.0,9.4
113,14867,"Kmet, Cole",CHI,@SFO,TE,0.0,0.0,0.0,0.0,3.8,39.0,0.3,0.0,0.0,0.0,9.4
114,15756,"Williams, Jameson",DET,GBP,WR,0.0,0.0,4.0,0.0,2.7,43.0,0.3,0.0,0.0,0.0,9.3
115,16191,"Tillman, Cedric",CLE,@PIT,WR,0.0,0.0,0.1,0.0,3.7,44.0,0.1,0.0,0.0,0.0,9.0
116,14122,"Slayton, Darius",NYG,NOS,WR,0.0,0.0,1.0,0.0,3.3,46.0,0.1,0.0,0.0,0.0,8.8
117,524,"Vikings, Minnesota",MIN,ATL,D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,8.8
118,16192,"Washington, Parker",JAC,@TEN,WR,0.0,0.0,0.0,0.0,3.1,41.0,0.2,0.0,0.0,0.0,8.6
119,15288,"Moore, Elijah",CLE,@PIT,WR,0.0,0.0,0.1,0.0,4.0,39.0,0.1,0.0,0.0,0.0,8.6
120,12785,"Robinson, Demarcus",LAR,BUF,WR,0.0,0.0,0.0,0.0,2.2,33.0,0.5,0.0,0.0,0.0,8.6
121,16206,"Wilson, Michael",ARI,SEA,WR,0.0,0.0,1.0,0.0,3.3,38.0,0.2,0.0,0.0,0.0,8.5
122,12187,"Lockett, Tyler",SEA,@ARI,WR,0.0,0.0,0.0,0.0,3.4,41.0,0.2,0.0,0.0,0.0,8.5
123,15319,"Palmer, Joshua",LAC,@KCC,WR,0.0,0.0,0.0,0.0,3.0,46.0,0.1,0.0,0.0,0.0,8.4
124,16195,"Wicks, Dontayvion",GBP,@DET,WR,0.0,0.0,1.0,0.0,2.9,34.0,0.3,0.0,0.0,0.0,8.3
125,15337,"Gray, Noah",KCC,LAC,TE,0.0,0.0,0.0,0.0,3.1,33.0,0.3,0.0,0.0,0.0,8.3
126,15713,"Ford, Jerome",CLE,@PIT,RB,0.0,0.0,33.0,0.1,2.4,14.0,0.0,0.0,0.0,0.0,8.2
127,13813,"Oluokun, Foyesade",JAC,@TEN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,8.2
128,13251,"Baker, Budda",ARI,SEA,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,8.2
129,16175,"Johnson, Roschon",CHI,@SFO,RB,0.0,0.0,20.0,0.5,1.7,12.0,0.0,0.0,0.0,0.0,8.1
130,14221,"Williams, Quincy",NYJ,@MIA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,8.1
131,13641,"McCloud, Ray-Ray",ATL,@MIN,WR,0.0,0.0,4.0,0.0,3.5,36.0,0.1,0.0,0.0,0.0,8.0
132,16639,"Legette, Xavier",CAR,@PHI,WR,0.0,0.0,1.0,0.0,3.0,33.0,0.2,0.0,0.0,0.0,7.9
133,16213,"Kincaid, Dalton",BUF,@LAR,TE,0.0,0.0,0.0,0.0,3.4,36.0,0.1,0.0,0.0,0.0,7.9
134,14717,"McLaughlin, Chase",TBB,LVR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,7.9
135,14303,"Elliss, Kaden",ATL,@MIN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,7.9
136,14210,"Pratt, Germaine",CIN,@DAL,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.9
137,15777,"Austin III, Calvin",PIT,CLE,WR,0.0,0.0,1.0,0.0,2.1,34.0,0.3,0.0,0.0,0.0,7.8
138,15404,"Jones, Ernest",SEA,@ARI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,7.8
139,14080,"Singletary, Devin",NYG,NOS,RB,0.0,0.0,41.0,0.2,1.5,10.0,0.0,0.0,0.0,0.0,7.8
140,16628,"McMillan, Jalen",TBB,LVR,WR,0.0,0.0,4.0,0.0,3.1,33.0,0.1,0.0,0.0,0.0,7.7
141,16617,"Coleman, Keon",BUF,@LAR,WR,0.0,0.0,0.1,0.0,2.7,38.0,0.2,0.0,0.0,0.0,7.7
142,15331,"Freiermuth, Pat",PIT,CLE,TE,0.0,0.0,0.0,0.0,3.0,31.0,0.3,0.0,0.0,0.0,7.7
143,13987,"Spillane, Robert",LVR,@TBB,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,7.7
144,13850,"Edwards, Gus",LAC,@KCC,RB,0.0,0.0,34.0,0.4,1.1,7.0,0.0,0.0,0.0,0.0,7.7
145,16414,"Aubrey, Brandon",DAL,CIN,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,7.6
146,15846,"Walker, Quay",GBP,@DET,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,7.6
147,14983,"Bass, Tyler",BUF,@LAR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,7.6
148,13303,"Elliott, Jake",PHI,CAR,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,7.6
149,12239,"Kendricks, Eric",DAL,CIN,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,7.6
150,16846,"Bates, Jake",DET,GBP,K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,7.5
