Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,Fum Lost,Pts
50,13164,"Kupp, Cooper",LAR,@SEA,WR,0.0,0.0,2.0,0.0,5.5,65.0,0.3,0.0,14.4
51,13629,"Ridley, Calvin",TEN,NEP,WR,0.0,0.0,2.0,0.1,4.7,67.0,0.4,0.1,14.2
52,12801,"Hill, Tyreek",MIA,@BUF,WR,0.0,0.0,2.0,0.0,4.9,67.0,0.4,0.0,14.2
53,11675,"Adams, Davante",NYJ,HOU,WR,0.0,0.0,0.0,0.0,5.6,64.0,0.3,0.0,14.2
54,15754,"Olave, Chris",NOS,@CAR,WR,0.0,0.0,0.0,0.0,5.3,70.0,0.3,0.1,14.1
55,11644,"Carr, Derek",NOS,@CAR,QB,213.0,1.3,5.0,0.1,0.0,0.0,0.0,0.2,14.1
56,14071,"Montgomery, David",DET,@GBP,RB,0.0,0.0,58.0,0.8,1.7,15.0,0.0,0.1,14.0
57,13635,"Moore, D.J.",CHI,@ARI,WR,0.0,0.0,2.0,0.0,4.8,59.0,0.5,0.0,14.0
58,14778,"Tagovailoa, Tua",MIA,@BUF,QB,225.0,1.2,10.0,0.1,0.0,0.0,0.0,0.2,13.9
59,16747,"Tracy, Tyrone",NYG,WAS,RB,0.0,0.0,65.0,0.4,2.7,17.0,0.1,0.2,13.8
60,14842,"Pittman, Michael",IND,@MIN,WR,0.0,0.0,1.0,0.0,5.7,61.0,0.3,0.0,13.8
61,15259,"Stevenson, Rhamondre",NEP,@TEN,RB,0.0,0.0,57.0,0.5,3.4,17.0,0.0,0.2,13.7
62,16181,"Brown, Chase",CIN,LVR,RB,0.0,0.0,49.0,0.6,2.6,14.0,0.2,0.0,13.5
63,15751,"London, Drake",ATL,DAL,WR,0.0,0.0,0.0,0.0,5.1,61.0,0.4,0.1,13.4
64,16187,"Downs, Josh",IND,@MIN,WR,0.0,0.0,1.0,0.0,5.2,59.0,0.4,0.0,13.3
65,13630,"Sutton, Courtland",DEN,@BAL,WR,0.0,0.0,0.0,0.0,4.7,60.0,0.5,0.1,13.3
66,16614,"Harrison Jr., Marvin",ARI,CHI,WR,0.0,0.0,0.0,0.0,4.2,60.0,0.5,0.0,13.2
67,16627,"McConkey, Ladd",LAC,@CLE,WR,0.0,0.0,2.0,0.0,4.5,55.0,0.5,0.0,13.0
68,14109,"McLaurin, Terry",WAS,@NYG,WR,0.0,0.0,0.0,0.0,4.5,63.0,0.4,0.1,13.0
69,11232,"Hopkins, DeAndre",KCC,TBB,WR,0.0,0.0,1.0,0.1,4.1,54.0,0.5,0.0,12.8
70,14127,"Meyers, Jakobi",LVR,@CIN,WR,0.0,0.0,2.0,0.1,4.4,50.0,0.4,0.0,12.7
71,15753,"Wilson, Garrett",NYJ,HOU,WR,0.0,0.0,0.1,0.0,5.3,65.0,0.1,0.1,12.6
72,15721,"White, Rachaad",TBB,@KCC,RB,0.0,0.0,38.0,0.1,3.3,30.0,0.3,0.2,12.6
73,14800,"Dobbins, J.K.",LAC,@CLE,RB,0.0,0.0,59.0,0.5,2.6,14.0,0.0,0.1,12.6
74,14073,"Jacobs, Josh",GBP,DET,RB,0.0,0.0,69.0,0.3,2.0,14.0,0.1,0.1,12.6
75,14059,"Jones, Daniel",NYG,WAS,QB,182.0,0.6,31.0,0.1,0.0,0.0,0.0,0.1,12.6
76,16190,"Flowers, Zay",BAL,DEN,WR,0.0,0.0,4.0,0.0,4.8,61.0,0.2,0.0,12.5
77,13138,"Hunt, Kareem",KCC,TBB,RB,0.0,0.0,56.0,0.7,1.5,10.0,0.0,0.0,12.5
78,7836,"Rodgers, Aaron",NYJ,HOU,QB,201.0,1.1,7.0,0.0,0.0,0.0,0.0,0.1,12.5
79,16641,"Bowers, Brock",LVR,@CIN,TE,0.0,0.0,1.0,0.0,5.6,59.0,0.1,0.0,12.4
80,16185,"Smith-Njigba, Jaxon",SEA,LAR,WR,0.0,0.0,0.0,0.0,5.0,52.0,0.4,0.0,12.4
81,16184,"Reed, Jayden",GBP,DET,WR,0.0,0.0,7.0,0.1,3.7,52.0,0.4,0.0,12.4
82,16628,"McMillan, Jalen",TBB,@KCC,WR,0.0,0.0,1.0,0.0,3.7,47.0,0.6,0.0,12.1
83,15716,"Robinson, Brian",WAS,@NYG,RB,0.0,0.0,55.0,0.5,1.7,16.0,0.1,0.1,12.1
84,12140,"Winston, Jameis",CLE,LAC,QB,160.0,1.1,14.0,0.1,0.0,0.0,0.0,0.4,12.1
85,14067,"Minshew, Gardner",LVR,@CIN,QB,210.0,0.9,4.0,0.0,0.0,0.0,0.0,0.3,12.0
86,16580,"Maye, Drake",NEP,@TEN,QB,158.0,1.0,18.0,0.1,0.0,0.0,0.0,0.2,11.9
87,16214,"LaPorta, Sam",DET,@GBP,TE,0.0,0.0,0.0,0.0,4.3,49.0,0.4,0.0,11.9
88,16639,"Legette, Xavier",CAR,NOS,WR,0.0,0.0,1.0,0.0,4.2,46.0,0.5,0.0,11.8
89,15802,"Otton, Cade",TBB,@KCC,TE,0.0,0.0,-0.2,0.0,5.0,50.0,0.3,0.1,11.8
90,15794,"McBride, Trey",ARI,CHI,TE,0.0,0.0,0.0,0.0,5.4,57.0,0.1,0.0,11.6
91,16148,"Young, Bryce",CAR,NOS,QB,180.0,1.0,11.0,0.1,0.0,0.0,0.0,0.1,11.5
92,15329,"Pitts, Kyle",ATL,DAL,TE,0.0,0.0,-0.1,0.0,4.0,55.0,0.3,0.0,11.5
93,15253,"Etienne, Travis",JAC,@PHI,RB,0.0,0.0,42.0,0.5,2.5,18.0,0.0,0.1,11.4
94,13610,"Chubb, Nick",CLE,LAC,RB,0.0,0.0,58.0,0.3,2.1,14.0,0.1,0.0,11.4
95,10313,"Dalton, Andy",CAR,NOS,QB,181.0,1.0,10.0,0.1,0.0,0.0,0.0,0.1,11.4
96,16598,"Irving, Bucky",TBB,@KCC,RB,0.0,0.0,51.0,0.3,2.5,20.0,0.0,0.1,11.3
97,14223,"Mattison, Alexander",LVR,@CIN,RB,0.0,0.0,42.0,0.3,2.5,21.0,0.1,0.0,11.3
98,15256,"Williams, Javonte",DEN,@BAL,RB,0.0,0.0,46.0,0.2,3.1,18.0,0.1,0.2,11.2
99,14867,"Kmet, Cole",CHI,@ARI,TE,0.0,0.0,0.0,0.0,4.1,45.0,0.4,0.0,11.2
100,15319,"Palmer, Joshua",LAC,@CLE,WR,0.0,0.0,0.0,0.0,4.1,58.0,0.2,0.0,11.1
101,14823,"Dowdle, Rico",DAL,@ATL,RB,0.0,0.0,42.0,0.2,2.4,19.0,0.2,0.0,11.1
102,16149,"Levis, Will",TEN,NEP,QB,170.0,0.8,15.0,0.1,0.0,0.0,0.0,0.5,10.9
103,15761,"Shakir, Khalil",BUF,MIA,WR,0.0,0.0,1.0,0.0,4.3,54.0,0.2,0.0,10.9
104,13404,"Ekeler, Austin",WAS,@NYG,RB,0.0,0.0,40.0,0.2,2.8,26.0,0.0,0.1,10.9
105,16186,"Addison, Jordan",MIN,IND,WR,0.0,0.0,1.0,0.1,3.3,46.0,0.4,0.0,10.8
106,14138,"Hockenson, T.J.",MIN,IND,TE,0.0,0.0,0.0,0.0,4.3,40.0,0.4,0.1,10.7
107,13671,"Andrews, Mark",BAL,DEN,TE,0.0,0.0,0.0,0.0,3.4,41.0,0.5,0.0,10.6
108,14974,"Mooney, Darnell",ATL,DAL,WR,0.0,0.0,0.1,0.0,3.6,50.0,0.3,0.0,10.5
109,13189,"Engram, Evan",JAC,@PHI,TE,0.0,0.0,0.0,0.0,4.8,43.0,0.2,0.1,10.5
110,16287,"Tucker, Tre",LVR,@CIN,WR,0.0,0.0,4.0,0.1,3.4,45.0,0.3,0.0,10.2
111,15799,"Ferguson, Jake",DAL,@ATL,TE,0.0,0.0,0.0,0.0,4.8,44.0,0.1,0.0,10.1
112,15284,"Waddle, Jaylen",MIA,@BUF,WR,0.0,0.0,1.0,0.0,3.8,53.0,0.2,0.0,10.1
113,12447,"Mostert, Raheem",MIA,@BUF,RB,0.0,0.0,41.0,0.6,1.3,8.0,0.0,0.1,10.1
114,15789,"Watson, Christian",GBP,DET,WR,0.0,0.0,2.0,0.0,2.9,43.0,0.4,0.0,10.0
115,15779,"Doubs, Romeo",GBP,DET,WR,0.0,0.0,0.0,0.0,3.5,45.0,0.3,0.0,9.9
116,13192,"Njoku, David",CLE,LAC,TE,0.0,0.0,0.0,0.0,4.1,40.0,0.3,0.1,9.8
117,16620,"Worthy, Xavier",KCC,TBB,WR,0.0,0.0,4.0,0.2,3.0,35.0,0.3,0.0,9.7
118,15712,"Allgeier, Tyler",ATL,DAL,RB,0.0,0.0,54.0,0.2,1.2,11.0,0.0,0.0,9.5
119,15757,"Robinson, Wan'Dale",NYG,WAS,WR,0.0,0.0,2.0,0.0,4.6,35.0,0.2,0.0,9.4
120,16206,"Wilson, Michael",ARI,CHI,WR,0.0,0.0,2.0,0.0,3.5,40.0,0.3,0.1,9.3
121,12187,"Lockett, Tyler",SEA,LAR,WR,0.0,0.0,0.0,0.0,3.9,46.0,0.1,0.0,9.3
122,14845,"Davis, Gabriel",JAC,@PHI,WR,0.0,0.0,0.0,0.0,3.0,47.0,0.2,0.0,9.2
123,14833,"Jeudy, Jerry",CLE,LAC,WR,0.0,0.0,0.0,0.0,3.1,47.0,0.2,0.0,9.2
