PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
Josh Allen,QB,BUF,MIA,-277,49.50,-6.00,27.75,7700,23.68,3.1,32.9,6.5,0.0,6.5,5.1
Will Levis,QB,TEN,NE,-163,38.50,-3.00,20.75,4600,14.18,3.1,32.4,2.8,0.0,2.8,7.7
Daniel Jones,QB,NYG,WAS,169,44.50,4.00,20.25,5200,16.00,3.1,34.1,4.9,0.0,4.9,7.5
Geno Smith,QB,SEA,LAR,102,48.00,1.50,23.25,5800,17.28,3.0,34.2,2.8,0.0,2.8,6.4
Sam Darnold,QB,MIN,IND,-242,46.50,-5.50,26.00,6000,18.23,3.0,34.4,2.7,0.0,2.7,6.2
Matthew Stafford,QB,LAR,SEA,-122,48.00,-1.50,24.75,5700,17.23,3.0,34.4,0.9,0.0,0.9,6.2
Dak Prescott,QB,DAL,ATL,145,52.00,3.00,24.50,6300,18.83,3.0,33.1,3.2,0.0,3.2,5.8
Gardner Minshew,QB,LV,CIN,263,45.50,7.00,19.25,4500,13.67,3.0,33.6,2.9,0.0,2.9,8.1
Bryce Young,QB,CAR,NO,272,43.50,7.50,18.00,4400,12.95,2.9,31.6,2.9,0.0,2.9,7.8
Lamar Jackson,QB,BAL,DEN,-481,46.50,-9.50,28.00,8000,23.53,2.9,30.1,9.5,0.0,9.5,5.0
Justin Herbert,QB,LAC,CLE,-118,42.50,-1.50,22.00,5300,15.24,2.9,32.7,3.2,0.0,3.2,6.8
Jameis Winston,QB,CLE,LAC,100,42.50,1.50,20.50,5400,15.69,2.9,34.1,2.1,0.0,2.1,6.7
Mike Gesicki,TE,CIN,LV,-335,45.50,-7.00,26.25,3100,8.60,2.8,0.0,0.0,5.0,5.0,1.6
Joe Flacco,QB,IND,MIN,196,46.50,5.50,20.50,5700,15.91,2.8,34.2,1.9,0.0,1.9,6.3
Jayden Daniels,QB,WAS,NYG,-206,44.50,-4.00,24.25,7500,20.97,2.8,28.2,9.1,0.0,9.1,5.0
Jalen Hurts,QB,PHI,JAX,-351,46.00,-7.50,26.75,7800,22.02,2.8,29.0,8.9,0.0,8.9,4.9
