Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
1,14782,"Love, Jordan",GBP,@JAC,QB,269.0,2.5,12.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,22.5
2,13593,"Jackson, Lamar",BAL,@CLE,QB,231.0,1.7,57.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,22.5
3,14783,"Hurts, Jalen",PHI,@CIN,QB,228.0,1.3,36.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,22.0
4,13589,"Allen, Josh",BUF,@SEA,QB,223.0,1.7,29.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,21.5
5,13590,"Mayfield, Baker",TBB,ATL,QB,240.0,2.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,19.6
6,14836,"Jefferson, Justin",MIN,@LAR,WR,0.0,0.0,0.0,0.0,6.2,92.0,0.6,0.0,0.0,0.0,19.3
7,15698,"Purdy, Brock",SFO,DAL,QB,268.0,1.6,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,19.0
8,15281,"Chase, Ja'Marr",CIN,PHI,WR,0.0,0.0,1.0,0.0,6.2,87.0,0.7,0.0,0.0,0.0,19.0
9,15708,"Hall, Breece",NYJ,@NEP,RB,0.0,0.0,62.0,0.4,4.8,43.0,0.2,0.0,0.0,0.0,18.8
10,14832,"Lamb, CeeDee",DAL,@SFO,WR,0.0,0.0,6.0,0.1,6.5,86.0,0.5,0.0,0.0,0.0,18.8
11,12626,"Henry, Derrick",BAL,@CLE,RB,0.0,0.0,94.0,0.9,1.2,11.0,0.2,0.0,0.0,0.0,18.3
12,14777,"Burrow, Joe",CIN,PHI,QB,235.0,1.8,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.1
13,15710,"Williams, Kyren",LAR,MIN,RB,0.0,0.0,75.0,1.1,2.1,12.0,0.1,0.0,0.0,0.0,17.9
14,13604,"Barkley, Saquon",PHI,@CIN,RB,0.0,0.0,88.0,0.6,2.5,17.0,0.2,0.0,0.0,0.0,17.7
15,12620,"Prescott, Dak",DAL,@SFO,QB,252.0,1.7,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.7
16,15287,"St. Brown, Amon-Ra",DET,TEN,WR,0.0,0.0,1.0,0.0,6.4,76.0,0.6,0.0,0.0,0.0,17.4
17,13146,"Conner, James",ARI,@MIA,RB,0.0,0.0,84.0,0.6,2.7,21.0,0.1,0.0,0.0,0.0,17.4
18,16162,"Gibbs, Jahmyr",DET,TEN,RB,0.0,0.0,69.0,0.8,2.9,21.0,0.1,0.0,0.0,0.0,17.3
19,15711,"Walker III, Kenneth",SEA,BUF,RB,0.0,0.0,64.0,0.8,3.1,23.0,0.1,0.0,0.0,0.0,17.3
