Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
938,16728,"Pritchett, Nehemiah",SEA,@NYJ,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4
939,16711,"Isaac, Adisa",BAL,PHI,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4
940,16684,"Washington, Malik",MIA,@GBP,WR,0.0,0.0,1.0,0.0,0.7,4.0,0.0,0.0,0.0,0.0,1.4
941,16650,"Turner, Dallas",MIN,ARI,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4
942,16516,"Wheat, Tyrus",DAL,NYG,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4
943,16384,"Bagent, Tyson",CHI,@DET,QB,20.0,0.1,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.4
944,16158,"Thompson-Robinson, Dorian",CLE,@DEN,QB,22.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
945,16058,"Herring, Malik",KCC,LVR,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4
946,15766,"Moore, Skyy",KCC,LVR,WR,0.0,0.0,0.0,0.0,0.7,6.0,0.0,0.0,0.0,0.0,1.4
947,15752,"Burks, Treylon",TEN,@WAS,WR,0.0,0.0,0.0,0.0,0.7,7.0,0.0,0.0,0.0,0.0,1.4
948,14727,"Reynolds, Craig",DET,CHI,RB,0.0,0.0,8.0,0.0,0.2,3.0,0.0,0.0,0.0,0.0,1.4
949,14220,"Ximines, Oshane",NEP,IND,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4
950,13968,"Mullens, Nick",MIN,ARI,QB,28.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
951,13910,"Powell, Brandon",MIN,ARI,WR,0.0,0.0,0.0,0.0,0.6,7.0,0.0,0.0,0.0,0.0,1.4
952,12219,"Edwards, Mario",HOU,@JAC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4
953,8269,"Lewis, Marcedes",CHI,@DET,TE,0.0,0.0,0.0,0.0,0.4,2.0,0.1,0.0,0.0,0.0,1.4
954,16836,"Bailey, Levelle",DEN,CLE,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3
955,16746,"Ali, Rasheen",BAL,PHI,RB,0.0,0.0,3.0,0.0,0.3,2.0,0.1,0.0,0.0,0.0,1.3
956,16738,"Carlies, Jaylon",IND,@NEP,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3
957,16727,"Hicks, Jaden",KCC,LVR,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3
958,16710,"Hopper, Ty'Ron",GBP,MIA,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.3
959,16700,"Bishop, Cole",BUF,SFO,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3
960,16624,"Thrash, Jamari",CLE,@DEN,WR,0.0,0.0,0.0,0.0,0.7,5.0,0.0,0.0,0.0,0.0,1.3
961,16515,"Finley, AJ",SEA,@NYJ,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3
962,16376,"Johnson, Desjuan",LAR,@NOS,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.3
963,16302,"Lacy, Tyler",JAC,HOU,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3
964,16004,"Masterson, Luke",LVR,@KCC,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3
965,15918,"Jackson, Jordan",DEN,CLE,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3
966,15049,"Bachie, Joe",CIN,PIT,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3
967,14420,"Ingold, Alec",MIA,@GBP,RB,0.0,0.0,2.0,0.0,0.5,4.0,0.0,0.0,0.0,0.0,1.3
968,12771,"Day, Sheldon",WAS,TEN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.3
969,12756,"Ngakoue, Yannick",NEP,IND,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.3
970,12229,"Phillips, Jordan",BUF,SFO,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.3
971,10313,"Dalton, Andy",CAR,TBB,QB,21.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
972,16875,"Chatman, Elijah",NYG,@DAL,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2
973,16361,"Trice, Cory",PIT,@CIN,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2
974,16352,"Hellams, DeMarcco",ATL,LAC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2
975,16346,"Winters, Dee",SFO,@BUF,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2
976,16270,"Pickens, Zacch",CHI,@DET,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2
977,16202,"Bell, Ronnie",SFO,@BUF,WR,0.0,0.0,0.0,0.0,0.3,4.0,0.1,0.0,0.0,0.0,1.2
978,16176,"Vaughn, Deuce",DAL,NYG,RB,0.0,0.0,4.0,0.0,0.5,3.0,0.0,0.0,0.0,0.0,1.2
979,16168,"Abanikanda, Israel",NYJ,SEA,RB,0.0,0.0,6.0,0.0,0.4,2.0,0.0,0.0,0.0,0.0,1.2
980,15829,"Asamoah, Brian",MIN,ARI,LB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.2
981,15818,"Leal, DeMarvin",PIT,@CIN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2
982,15492,"Tonga, Khyiris",ARI,@MIN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2
983,15382,"Onwuzurike, Levi",DET,CHI,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2
984,14987,"Davis, Khalil",SFO,@BUF,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.2
985,13755,"Holmes, Jalyn",WAS,TEN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2
986,13736,"Stewart, M.J.",HOU,@JAC,DB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2
987,13691,"Hurst, Maurice",CLE,@DEN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2
988,13275,"Adams, Montravius",PIT,@CIN,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2
989,9853,"Hughes, Jerry",HOU,@JAC,DL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.2
990,16958,"Miller, Ryan",TBB,@CAR,WR,0.0,0.0,0.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,1.1
