Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
1,14783,"Hurts, Jalen",PHI,JAC,QB,252.0,1.3,31.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,24.7
2,15710,"Williams, Kyren",LAR,@SEA,RB,0.0,0.0,91.0,1.2,2.8,16.0,0.2,0.0,0.0,0.0,22.1
3,14832,"Lamb, CeeDee",DAL,@ATL,WR,0.0,0.0,5.0,0.1,7.2,94.0,0.6,0.0,0.0,0.0,21.0
4,13593,"Jackson, Lamar",BAL,DEN,QB,202.0,1.5,59.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,20.2
5,12620,"Prescott, Dak",DAL,@ATL,QB,282.0,1.9,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.6
6,13590,"Mayfield, Baker",TBB,@KCC,QB,237.0,2.0,16.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.0
7,14777,"Burrow, Joe",CIN,LVR,QB,255.0,1.8,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.9
8,16582,"Nix, Bo",DEN,@BAL,QB,222.0,1.4,25.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,18.8
9,13589,"Allen, Josh",BUF,MIA,QB,196.0,1.5,31.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,18.8
10,13116,"Mahomes, Patrick",KCC,TBB,QB,269.0,1.6,20.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,18.8
11,16161,"Robinson, Bijan",ATL,DAL,RB,0.0,0.0,72.0,0.4,4.1,33.0,0.2,0.0,0.0,0.0,18.4
12,13604,"Barkley, Saquon",PHI,JAC,RB,0.0,0.0,97.0,0.5,2.6,17.0,0.2,0.0,0.0,0.0,18.4
13,14836,"Jefferson, Justin",MIN,IND,WR,0.0,0.0,0.0,0.0,6.0,89.0,0.6,0.0,0.0,0.0,18.2
14,12626,"Henry, Derrick",BAL,DEN,RB,0.0,0.0,92.0,0.9,1.2,10.0,0.2,0.0,0.0,0.0,18.0
15,13132,"Kamara, Alvin",NOS,@CAR,RB,0.0,0.0,60.0,0.5,5.3,32.0,0.1,0.0,0.0,0.0,17.8
16,16167,"Achane, De'Von",MIA,@BUF,RB,0.0,0.0,68.0,0.4,3.7,30.0,0.3,0.0,0.0,0.0,17.6
17,16162,"Gibbs, Jahmyr",DET,@GBP,RB,0.0,0.0,73.0,0.8,2.8,20.0,0.1,0.0,0.0,0.0,17.6
18,14782,"Love, Jordan",GBP,DET,QB,219.0,1.9,13.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.6
19,16581,"Daniels, Jayden",WAS,@NYG,QB,209.0,0.9,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17.5
20,14104,"Brown, A.J.",PHI,JAC,WR,0.0,0.0,0.0,0.0,5.8,87.0,0.5,0.0,0.0,0.0,17.4
21,10700,"Cousins, Kirk",ATL,DAL,QB,267.0,1.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4
