Rank,Player ID,Player Name,Team,Opp,Position,Pass Yds,Pass TDs,Rush Yds,Rush TDs,Rec,Rec Yds,Rec TDs,FG,Pts Agn,Tack,Pts
1,13604,"Barkley, Saquon",PHI,PIT,RB,0.0,0.0,110.0,0.7,2.1,19.0,0.1,0.0,0.0,0.0,23.4
2,12626,"Henry, Derrick",BAL,@NYG,RB,0.0,0.0,107.0,1.0,1.3,12.0,0.1,0.0,0.0,0.0,23.0
3,13589,"Allen, Josh",BUF,@DET,QB,221.0,1.6,35.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,22.5
4,13593,"Jackson, Lamar",BAL,@NYG,QB,222.0,1.8,54.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,22.3
5,15281,"Chase, Ja'Marr",CIN,@TEN,WR,0.0,0.0,1.0,0.0,6.6,89.0,0.9,0.0,0.0,0.0,21.0
6,14783,"Hurts, Jalen",PHI,PIT,QB,176.0,1.1,47.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,20.5
7,14777,"Burrow, Joe",CIN,@TEN,QB,267.0,2.2,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20.3
8,15698,"Purdy, Brock",SFO,LAR,QB,276.0,1.6,17.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0
9,13116,"Mahomes, Patrick",KCC,@CLE,QB,280.0,1.8,18.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,19.8
10,16581,"Daniels, Jayden",WAS,@NOS,QB,212.0,1.2,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,19.2
11,15710,"Williams, Kyren",LAR,@SFO,RB,0.0,0.0,89.0,1.0,2.4,14.0,0.2,0.0,0.0,0.0,19.2
12,15287,"St. Brown, Amon-Ra",DET,BUF,WR,0.0,0.0,1.0,0.0,6.8,80.0,0.7,0.0,0.0,0.0,18.9
13,12801,"Hill, Tyreek",MIA,@HOU,WR,0.0,0.0,3.0,0.0,6.5,84.0,0.6,0.0,0.0,0.0,18.8
14,16162,"Gibbs, Jahmyr",DET,BUF,RB,0.0,0.0,76.0,0.8,2.8,24.0,0.1,0.0,0.0,0.0,18.4
15,14056,"Murray, Kyler",ARI,NEP,QB,236.0,1.2,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,18.4
16,13590,"Mayfield, Baker",TBB,@LAC,QB,237.0,1.8,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,18.3
17,14782,"Love, Jordan",GBP,@SEA,QB,232.0,1.7,12.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,17.9
18,16181,"Brown, Chase",CIN,@TEN,RB,0.0,0.0,60.0,0.5,4.0,30.0,0.3,0.0,0.0,0.0,17.8
19,13131,"Mixon, Joe",HOU,MIA,RB,0.0,0.0,69.0,0.8,2.7,23.0,0.1,0.0,0.0,0.0,17.7
20,15290,"Collins, Nico",HOU,MIA,WR,0.0,0.0,0.0,0.0,5.7,86.0,0.5,0.0,0.0,0.0,17.5
21,14778,"Tagovailoa, Tua",MIA,@HOU,QB,257.0,1.7,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5
22,13592,"Darnold, Sam",MIN,CHI,QB,233.0,1.8,14.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,17.5
