Pos,Name,Salary
Def,Miami,4000
QB,"Herbert, Justin",8200
RB,"Mixon, Joe",9400
RB,"Taylor, Jonathan",10500
WR,"Waddle, Jaylen",6900
WR,"Renfrow, Hunter",6400
TE,"Ertz, Zach",5500
WR,"Kupp, Cooper",9000
