Pos,Name,Salary
RB,"Kamara, Alvin",9000
WR,"Lamb, CeeDee",7800
WR,"Johnson, Diontae",7500
TE,"Kittle, George",7100
QB,"Herbert, Justin",8400
WR,"Jefferson, Justin",8500
RB,"Fournette, Leonard",7600
Def,Kansas City,3700
