Pos,Name,Salary
Def,New England,5000
RB,Jonathan Taylor,9800
QB,Justin Herbert,7800
WR,Elijah Moore,6400
RB,Austin Ekeler,8400
WR,Deebo Samuel,8000
WR,Justin Jefferson,8100
TE,Rob Gronkowski,6500
