Pos,Name,Salary
WR,"Adams, Davante",8700
RB,"Singletary, Devin",6000
WR,"Davis, Gabriel",5300
WR,"Waddle, Jaylen",7000
QB,"Burrow, Joe",7700
TE,"Andrews, Mark",8700
RB,"Burkhead, Rex",5600
WR,"Higgins, Tee",7000
Def,Miami,3600
